,date,value,name_B085R8VXH4
0,2020-05-23,5990.0,Acupuncture
1,2020-05-24,5990.0,Acupuncture
2,2020-05-25,5990.0,Acupuncture
3,2020-05-26,4947.0,Acupuncture
4,2020-05-27,4947.0,Acupuncture
5,2020-05-28,4398.0,Acupuncture
6,2020-05-29,4398.0,Acupuncture
7,2020-05-30,3510.0,Acupuncture
8,2020-05-31,3510.0,Acupuncture
9,2020-06-01,3689.0,Acupuncture
10,2020-06-02,3689.0,Acupuncture
11,2020-06-03,3689.0,Acupuncture
12,2020-06-04,3842.0,Acupuncture
13,2020-06-05,3842.0,Acupuncture
14,2020-06-06,3842.0,Acupuncture
15,2020-06-07,3842.0,Acupuncture
16,2020-06-08,3291.0,Acupuncture
17,2020-06-09,3291.0,Acupuncture
18,2020-06-10,3291.0,Acupuncture
19,2020-06-11,3418.0,Acupuncture
20,2020-06-12,3418.0,Acupuncture
21,2020-06-13,3418.0,Acupuncture
22,2020-06-14,3418.0,Acupuncture
23,2020-06-15,3418.0,Acupuncture
24,2020-06-16,4379.0,Acupuncture
25,2020-06-17,4379.0,Acupuncture
26,2020-06-18,4410.0,Acupuncture
27,2020-06-19,4410.0,Acupuncture
28,2020-06-20,3862.0,Acupuncture
29,2020-06-21,3862.0,Acupuncture
30,2020-06-22,4925.0,Acupuncture
31,2020-06-23,4925.0,Acupuncture
32,2020-06-24,4591.0,Acupuncture
33,2020-06-25,4591.0,Acupuncture
34,2020-06-26,4591.0,Acupuncture
35,2020-06-27,4591.0,Acupuncture
36,2020-06-28,3710.0,Acupuncture
37,2020-06-29,3655.0,Acupuncture
38,2020-06-30,3655.0,Acupuncture
39,2020-07-01,3655.0,Acupuncture
40,2020-07-02,3234.0,Acupuncture
41,2020-07-03,2987.0,Acupuncture
42,2020-07-04,2987.0,Acupuncture
43,2020-07-05,2987.0,Acupuncture
44,2020-07-06,2987.0,Acupuncture
45,2020-07-07,3518.0,Acupuncture
46,2020-07-08,3518.0,Acupuncture
47,2020-07-09,3518.0,Acupuncture
48,2020-07-10,4183.0,Acupuncture
49,2020-07-11,4183.0,Acupuncture
50,2020-07-12,3867.0,Acupuncture
51,2020-07-13,3867.0,Acupuncture
52,2020-07-14,6111.0,Acupuncture
53,2020-07-15,6111.0,Acupuncture
54,2020-07-16,4786.0,Acupuncture
55,2020-07-17,4243.0,Acupuncture
56,2020-07-18,4243.0,Acupuncture
57,2020-07-19,4243.0,Acupuncture
58,2020-07-20,4873.0,Acupuncture
59,2020-07-21,5008.0,Acupuncture
60,2020-07-22,5008.0,Acupuncture
61,2020-07-23,5008.0,Acupuncture
62,2020-07-24,3739.0,Acupuncture
63,2020-07-25,3739.0,Acupuncture
64,2020-07-26,3739.0,Acupuncture
65,2020-07-27,4315.0,Acupuncture
66,2020-07-28,4315.0,Acupuncture
67,2020-07-29,4315.0,Acupuncture
68,2020-07-30,4256.0,Acupuncture
69,2020-07-31,4256.0,Acupuncture
70,2020-08-01,4256.0,Acupuncture
71,2020-08-02,4708.0,Acupuncture
72,2020-08-03,5299.0,Acupuncture
73,2020-08-04,5299.0,Acupuncture
74,2020-08-05,5299.0,Acupuncture
