,date,value,name_B07BMTMMLK
0,2020-02-24,6206.0,First Aid Tape
1,2020-02-25,6206.0,First Aid Tape
2,2020-02-26,-1.0,First Aid Tape
3,2020-02-27,-1.0,First Aid Tape
4,2020-02-28,-1.0,First Aid Tape
5,2020-02-29,-1.0,First Aid Tape
6,2020-03-01,-1.0,First Aid Tape
7,2020-03-02,-1.0,First Aid Tape
8,2020-03-03,-1.0,First Aid Tape
9,2020-03-04,-1.0,First Aid Tape
10,2020-03-05,-1.0,First Aid Tape
11,2020-03-06,-1.0,First Aid Tape
12,2020-03-07,-1.0,First Aid Tape
13,2020-03-08,-1.0,First Aid Tape
14,2020-03-09,-1.0,First Aid Tape
15,2020-03-10,-1.0,First Aid Tape
16,2020-03-11,-1.0,First Aid Tape
17,2020-03-12,-1.0,First Aid Tape
18,2020-03-13,-1.0,First Aid Tape
19,2020-03-14,-1.0,First Aid Tape
20,2020-03-15,-1.0,First Aid Tape
21,2020-03-16,-1.0,First Aid Tape
22,2020-03-17,-1.0,First Aid Tape
23,2020-03-18,-1.0,First Aid Tape
24,2020-03-19,-1.0,First Aid Tape
25,2020-03-20,-1.0,First Aid Tape
26,2020-03-21,-1.0,First Aid Tape
27,2020-03-22,-1.0,First Aid Tape
28,2020-03-23,-1.0,First Aid Tape
29,2020-03-24,-1.0,First Aid Tape
30,2020-03-25,-1.0,First Aid Tape
31,2020-03-26,-1.0,First Aid Tape
32,2020-03-27,-1.0,First Aid Tape
33,2020-03-28,-1.0,First Aid Tape
34,2020-03-29,-1.0,First Aid Tape
35,2020-03-30,-1.0,First Aid Tape
36,2020-03-31,-1.0,First Aid Tape
37,2020-04-01,-1.0,First Aid Tape
38,2020-04-02,-1.0,First Aid Tape
39,2020-04-03,-1.0,First Aid Tape
40,2020-04-04,-1.0,First Aid Tape
41,2020-04-05,-1.0,First Aid Tape
42,2020-04-06,-1.0,First Aid Tape
43,2020-04-07,-1.0,First Aid Tape
44,2020-04-08,-1.0,First Aid Tape
45,2020-04-09,-1.0,First Aid Tape
46,2020-04-10,-1.0,First Aid Tape
47,2020-04-11,-1.0,First Aid Tape
48,2020-04-12,-1.0,First Aid Tape
49,2020-04-13,-1.0,First Aid Tape
50,2020-04-14,-1.0,First Aid Tape
51,2020-04-15,-1.0,First Aid Tape
52,2020-04-16,-1.0,First Aid Tape
53,2020-04-17,-1.0,First Aid Tape
54,2020-04-18,-1.0,First Aid Tape
55,2020-04-19,-1.0,First Aid Tape
56,2020-04-20,-1.0,First Aid Tape
57,2020-04-21,-1.0,First Aid Tape
58,2020-04-22,-1.0,First Aid Tape
59,2020-04-23,-1.0,First Aid Tape
60,2020-04-24,-1.0,First Aid Tape
61,2020-04-25,-1.0,First Aid Tape
62,2020-04-26,-1.0,First Aid Tape
63,2020-04-27,-1.0,First Aid Tape
64,2020-04-28,-1.0,First Aid Tape
65,2020-04-29,-1.0,First Aid Tape
66,2020-04-30,-1.0,First Aid Tape
67,2020-05-01,-1.0,First Aid Tape
68,2020-05-02,-1.0,First Aid Tape
69,2020-05-03,-1.0,First Aid Tape
70,2020-05-04,-1.0,First Aid Tape
71,2020-05-05,-1.0,First Aid Tape
72,2020-05-06,-1.0,First Aid Tape
73,2020-05-07,-1.0,First Aid Tape
74,2020-05-08,-1.0,First Aid Tape
75,2020-05-09,-1.0,First Aid Tape
76,2020-05-10,-1.0,First Aid Tape
77,2020-05-11,-1.0,First Aid Tape
78,2020-05-12,-1.0,First Aid Tape
79,2020-05-13,-1.0,First Aid Tape
80,2020-05-14,-1.0,First Aid Tape
81,2020-05-15,-1.0,First Aid Tape
82,2020-05-16,-1.0,First Aid Tape
83,2020-05-17,-1.0,First Aid Tape
84,2020-05-18,-1.0,First Aid Tape
85,2020-05-19,-1.0,First Aid Tape
86,2020-05-20,-1.0,First Aid Tape
87,2020-05-21,-1.0,First Aid Tape
88,2020-05-22,-1.0,First Aid Tape
89,2020-05-23,11497.0,First Aid Tape
90,2020-05-24,11497.0,First Aid Tape
91,2020-05-25,11497.0,First Aid Tape
92,2020-05-26,12185.0,First Aid Tape
93,2020-05-27,12185.0,First Aid Tape
94,2020-05-28,12185.0,First Aid Tape
95,2020-05-29,10624.0,First Aid Tape
96,2020-05-30,10624.0,First Aid Tape
97,2020-05-31,10624.0,First Aid Tape
98,2020-06-01,10911.0,First Aid Tape
99,2020-06-02,10911.0,First Aid Tape
