,date,value,name_B08PJKH15H
0,2020-12-17,17075.0,Health Care
1,2020-12-18,17075.0,Health Care
2,2020-12-19,17075.0,Health Care
3,2020-12-20,17075.0,Health Care
4,2020-12-21,17075.0,Health Care
5,2020-12-22,17419.0,Health Care
6,2020-12-23,17419.0,Health Care
7,2020-12-24,17419.0,Health Care
8,2020-12-25,17419.0,Health Care
9,2020-12-26,17419.0,Health Care
10,2020-12-27,16474.0,Health Care
11,2020-12-28,16474.0,Health Care
12,2020-12-29,21165.0,Health Care
13,2020-12-30,19650.0,Health Care
14,2020-12-31,19650.0,Health Care
15,2021-01-01,19650.0,Health Care
16,2021-01-02,19650.0,Health Care
17,2021-01-03,19650.0,Health Care
18,2021-01-04,19650.0,Health Care
19,2021-01-05,18765.0,Health Care
20,2021-01-06,18508.0,Health Care
21,2021-01-07,18508.0,Health Care
22,2021-01-08,18508.0,Health Care
23,2021-01-09,18508.0,Health Care
24,2021-01-10,18508.0,Health Care
25,2021-01-11,14969.0,Health Care
26,2021-01-12,14969.0,Health Care
27,2021-01-13,14969.0,Health Care
28,2021-01-14,15699.0,Health Care
29,2021-01-15,13400.0,Health Care
30,2021-01-16,13400.0,Health Care
31,2021-01-17,16433.0,Health Care
32,2021-01-18,16433.0,Health Care
33,2021-01-19,16433.0,Health Care
34,2021-01-20,16979.0,Health Care
35,2021-01-21,16979.0,Health Care
36,2021-01-22,16979.0,Health Care
37,2021-01-23,16979.0,Health Care
38,2021-01-24,16979.0,Health Care
39,2021-01-25,17200.0,Health Care
40,2021-01-26,6362.0,Health Care
41,2021-01-27,6362.0,Health Care
42,2021-01-28,6362.0,Health Care
43,2021-01-29,6362.0,Health Care
44,2021-01-30,6362.0,Health Care
45,2021-01-31,6362.0,Health Care
46,2021-02-01,15561.0,Health Care
47,2021-02-02,15561.0,Health Care
48,2021-02-03,15561.0,Health Care
49,2021-02-04,15561.0,Health Care
50,2021-02-05,8579.0,Health Care
51,2021-02-06,17664.0,Health Care
52,2021-02-07,17191.0,Health Care
53,2021-02-08,17191.0,Health Care
54,2021-02-09,17191.0,Health Care
55,2021-02-10,17995.0,Health Care
56,2021-02-11,17995.0,Health Care
57,2021-02-12,17995.0,Health Care
58,2021-02-13,17995.0,Health Care
59,2021-02-14,17995.0,Health Care
60,2021-02-15,17822.0,Health Care
61,2021-02-16,17822.0,Health Care
62,2021-02-17,17822.0,Health Care
63,2021-02-18,28307.0,Health Care
