,date,value,name_B073V4QZ2K
0,2020-05-24,7861.0,Medicinal Sleep Aids
1,2020-05-25,7861.0,Medicinal Sleep Aids
2,2020-05-26,7964.0,Medicinal Sleep Aids
3,2020-05-27,8333.0,Medicinal Sleep Aids
4,2020-05-28,8333.0,Medicinal Sleep Aids
5,2020-05-29,7011.0,Medicinal Sleep Aids
6,2020-05-30,7011.0,Medicinal Sleep Aids
7,2020-05-31,6615.0,Medicinal Sleep Aids
8,2020-06-01,7332.0,Medicinal Sleep Aids
9,2020-06-02,9436.0,Medicinal Sleep Aids
10,2020-06-03,7188.0,Medicinal Sleep Aids
11,2020-06-04,7537.0,Medicinal Sleep Aids
12,2020-06-05,7537.0,Medicinal Sleep Aids
13,2020-06-06,7688.0,Medicinal Sleep Aids
14,2020-06-07,7688.0,Medicinal Sleep Aids
15,2020-06-08,9173.0,Medicinal Sleep Aids
16,2020-06-09,9173.0,Medicinal Sleep Aids
17,2020-06-10,6886.0,Medicinal Sleep Aids
18,2020-06-11,6886.0,Medicinal Sleep Aids
19,2020-06-12,6886.0,Medicinal Sleep Aids
20,2020-06-13,7716.0,Medicinal Sleep Aids
21,2020-06-14,7716.0,Medicinal Sleep Aids
22,2020-06-15,8068.0,Medicinal Sleep Aids
23,2020-06-16,8068.0,Medicinal Sleep Aids
24,2020-06-17,8737.0,Medicinal Sleep Aids
25,2020-06-18,8737.0,Medicinal Sleep Aids
26,2020-06-19,6944.0,Medicinal Sleep Aids
27,2020-06-20,7415.0,Medicinal Sleep Aids
28,2020-06-21,7616.0,Medicinal Sleep Aids
29,2020-06-22,7721.0,Medicinal Sleep Aids
30,2020-06-23,8352.0,Medicinal Sleep Aids
31,2020-06-24,8474.0,Medicinal Sleep Aids
32,2020-06-25,7857.0,Medicinal Sleep Aids
33,2020-06-26,7857.0,Medicinal Sleep Aids
34,2020-06-27,7880.0,Medicinal Sleep Aids
35,2020-06-28,7880.0,Medicinal Sleep Aids
36,2020-06-29,7628.0,Medicinal Sleep Aids
37,2020-06-30,7628.0,Medicinal Sleep Aids
38,2020-07-01,6650.0,Medicinal Sleep Aids
39,2020-07-02,6650.0,Medicinal Sleep Aids
40,2020-07-03,10445.0,Medicinal Sleep Aids
41,2020-07-04,10017.0,Medicinal Sleep Aids
42,2020-07-05,11024.0,Medicinal Sleep Aids
43,2020-07-06,8116.0,Medicinal Sleep Aids
44,2020-07-07,8116.0,Medicinal Sleep Aids
45,2020-07-08,9103.0,Medicinal Sleep Aids
46,2020-07-09,8832.0,Medicinal Sleep Aids
47,2020-07-10,8832.0,Medicinal Sleep Aids
48,2020-07-11,9133.0,Medicinal Sleep Aids
49,2020-07-12,8867.0,Medicinal Sleep Aids
50,2020-07-13,9394.0,Medicinal Sleep Aids
51,2020-07-14,11244.0,Medicinal Sleep Aids
52,2020-07-15,11244.0,Medicinal Sleep Aids
53,2020-07-16,12199.0,Medicinal Sleep Aids
54,2020-07-17,12484.0,Medicinal Sleep Aids
55,2020-07-18,12484.0,Medicinal Sleep Aids
56,2020-07-19,11749.0,Medicinal Sleep Aids
57,2020-07-20,9748.0,Medicinal Sleep Aids
58,2020-07-21,9748.0,Medicinal Sleep Aids
59,2020-07-22,10338.0,Medicinal Sleep Aids
60,2020-07-23,10920.0,Medicinal Sleep Aids
61,2020-07-24,10920.0,Medicinal Sleep Aids
62,2020-07-25,10618.0,Medicinal Sleep Aids
63,2020-07-26,10618.0,Medicinal Sleep Aids
64,2020-07-27,12759.0,Medicinal Sleep Aids
65,2020-07-28,12759.0,Medicinal Sleep Aids
66,2020-07-29,11080.0,Medicinal Sleep Aids
67,2020-07-30,11080.0,Medicinal Sleep Aids
68,2020-07-31,13017.0,Medicinal Sleep Aids
69,2020-08-01,13017.0,Medicinal Sleep Aids
70,2020-08-02,12641.0,Medicinal Sleep Aids
71,2020-08-03,12661.0,Medicinal Sleep Aids
72,2020-08-04,13756.0,Medicinal Sleep Aids
73,2020-08-05,13756.0,Medicinal Sleep Aids
74,2020-08-06,11230.0,Medicinal Sleep Aids
75,2020-08-07,10961.0,Medicinal Sleep Aids
76,2020-08-08,12154.0,Medicinal Sleep Aids
77,2020-08-09,12154.0,Medicinal Sleep Aids
78,2020-08-10,10572.0,Medicinal Sleep Aids
79,2020-08-11,10572.0,Medicinal Sleep Aids
80,2020-08-12,10944.0,Medicinal Sleep Aids
81,2020-08-13,14203.0,Medicinal Sleep Aids
82,2020-08-14,11808.0,Medicinal Sleep Aids
83,2020-08-15,12205.0,Medicinal Sleep Aids
84,2020-08-16,12205.0,Medicinal Sleep Aids
85,2020-08-17,11915.0,Medicinal Sleep Aids
86,2020-08-18,11375.0,Medicinal Sleep Aids
87,2020-08-19,11115.0,Medicinal Sleep Aids
88,2020-08-20,11115.0,Medicinal Sleep Aids
89,2020-08-21,11409.0,Medicinal Sleep Aids
90,2020-08-22,11409.0,Medicinal Sleep Aids
91,2020-08-23,12286.0,Medicinal Sleep Aids
92,2020-08-24,12249.0,Medicinal Sleep Aids
93,2020-08-25,12249.0,Medicinal Sleep Aids
94,2020-08-26,10188.0,Medicinal Sleep Aids
95,2020-08-27,11033.0,Medicinal Sleep Aids
96,2020-08-28,12374.0,Medicinal Sleep Aids
97,2020-08-29,12374.0,Medicinal Sleep Aids
98,2020-08-30,13675.0,Medicinal Sleep Aids
99,2020-08-31,12557.0,Medicinal Sleep Aids
100,2020-09-01,12557.0,Medicinal Sleep Aids
101,2020-09-02,11370.0,Medicinal Sleep Aids
102,2020-09-03,10859.0,Medicinal Sleep Aids
103,2020-09-04,10859.0,Medicinal Sleep Aids
104,2020-09-05,13411.0,Medicinal Sleep Aids
105,2020-09-06,13411.0,Medicinal Sleep Aids
106,2020-09-07,10027.0,Medicinal Sleep Aids
107,2020-09-08,10656.0,Medicinal Sleep Aids
108,2020-09-09,10656.0,Medicinal Sleep Aids
109,2020-09-10,9116.0,Medicinal Sleep Aids
110,2020-09-11,10374.0,Medicinal Sleep Aids
111,2020-09-12,10374.0,Medicinal Sleep Aids
112,2020-09-13,9647.0,Medicinal Sleep Aids
113,2020-09-14,11066.0,Medicinal Sleep Aids
114,2020-09-15,11066.0,Medicinal Sleep Aids
115,2020-09-16,9186.0,Medicinal Sleep Aids
116,2020-09-17,11772.0,Medicinal Sleep Aids
117,2020-09-18,13092.0,Medicinal Sleep Aids
118,2020-09-19,11307.0,Medicinal Sleep Aids
119,2020-09-20,11307.0,Medicinal Sleep Aids
120,2020-09-21,10247.0,Medicinal Sleep Aids
121,2020-09-22,10803.0,Medicinal Sleep Aids
122,2020-09-23,11483.0,Medicinal Sleep Aids
123,2020-09-24,11483.0,Medicinal Sleep Aids
124,2020-09-25,9607.0,Medicinal Sleep Aids
125,2020-09-26,12190.0,Medicinal Sleep Aids
126,2020-09-27,12190.0,Medicinal Sleep Aids
127,2020-09-28,12303.0,Medicinal Sleep Aids
128,2020-09-29,9157.0,Medicinal Sleep Aids
129,2020-09-30,12393.0,Medicinal Sleep Aids
130,2020-10-01,11211.0,Medicinal Sleep Aids
131,2020-10-02,10100.0,Medicinal Sleep Aids
132,2020-10-03,9145.0,Medicinal Sleep Aids
133,2020-10-04,9145.0,Medicinal Sleep Aids
134,2020-10-05,8538.0,Medicinal Sleep Aids
135,2020-10-06,7980.0,Medicinal Sleep Aids
136,2020-10-07,7483.0,Medicinal Sleep Aids
137,2020-10-08,7483.0,Medicinal Sleep Aids
138,2020-10-09,8752.0,Medicinal Sleep Aids
139,2020-10-10,7352.0,Medicinal Sleep Aids
140,2020-10-11,7272.0,Medicinal Sleep Aids
141,2020-10-12,7538.0,Medicinal Sleep Aids
142,2020-10-13,2370.0,Medicinal Sleep Aids
143,2020-10-14,2661.0,Medicinal Sleep Aids
144,2020-10-15,2972.0,Medicinal Sleep Aids
145,2020-10-16,2972.0,Medicinal Sleep Aids
146,2020-10-17,6128.0,Medicinal Sleep Aids
147,2020-10-18,6128.0,Medicinal Sleep Aids
148,2020-10-19,8759.0,Medicinal Sleep Aids
149,2020-10-20,8759.0,Medicinal Sleep Aids
150,2020-10-21,8373.0,Medicinal Sleep Aids
151,2020-10-22,8891.0,Medicinal Sleep Aids
152,2020-10-23,8891.0,Medicinal Sleep Aids
153,2020-10-24,9281.0,Medicinal Sleep Aids
154,2020-10-25,9281.0,Medicinal Sleep Aids
155,2020-10-26,11030.0,Medicinal Sleep Aids
156,2020-10-27,10811.0,Medicinal Sleep Aids
157,2020-10-28,10787.0,Medicinal Sleep Aids
158,2020-10-29,10787.0,Medicinal Sleep Aids
159,2020-10-30,9988.0,Medicinal Sleep Aids
160,2020-10-31,9177.0,Medicinal Sleep Aids
161,2020-11-01,9177.0,Medicinal Sleep Aids
162,2020-11-02,9177.0,Medicinal Sleep Aids
163,2020-11-03,10027.0,Medicinal Sleep Aids
164,2020-11-04,10027.0,Medicinal Sleep Aids
165,2020-11-05,8558.0,Medicinal Sleep Aids
166,2020-11-06,8558.0,Medicinal Sleep Aids
167,2020-11-07,11723.0,Medicinal Sleep Aids
168,2020-11-08,11723.0,Medicinal Sleep Aids
