,date,value,name_B081568TXX
0,2019-11-12,333667.0,Sales & Invoice Forms
1,2019-11-13,429065.0,Sales & Invoice Forms
2,2019-11-14,429065.0,Sales & Invoice Forms
3,2019-11-15,429065.0,Sales & Invoice Forms
4,2019-11-16,603753.0,Sales & Invoice Forms
5,2019-11-17,603753.0,Sales & Invoice Forms
6,2019-11-18,603753.0,Sales & Invoice Forms
7,2019-11-19,-1.0,Sales & Invoice Forms
8,2019-11-20,-1.0,Sales & Invoice Forms
9,2019-11-21,-1.0,Sales & Invoice Forms
10,2019-11-22,-1.0,Sales & Invoice Forms
11,2019-11-23,245420.0,Sales & Invoice Forms
12,2019-11-24,245420.0,Sales & Invoice Forms
13,2019-11-25,245420.0,Sales & Invoice Forms
14,2019-11-26,245420.0,Sales & Invoice Forms
15,2019-11-27,473562.0,Sales & Invoice Forms
16,2019-11-28,473562.0,Sales & Invoice Forms
17,2019-11-29,578797.0,Sales & Invoice Forms
18,2019-11-30,578797.0,Sales & Invoice Forms
19,2019-12-01,690393.0,Sales & Invoice Forms
20,2019-12-02,690393.0,Sales & Invoice Forms
21,2019-12-03,771422.0,Sales & Invoice Forms
22,2019-12-04,771422.0,Sales & Invoice Forms
23,2019-12-05,847408.0,Sales & Invoice Forms
24,2019-12-06,891919.0,Sales & Invoice Forms
25,2019-12-07,891919.0,Sales & Invoice Forms
26,2019-12-08,945491.0,Sales & Invoice Forms
27,2019-12-09,945491.0,Sales & Invoice Forms
28,2019-12-10,945491.0,Sales & Invoice Forms
29,2019-12-11,945491.0,Sales & Invoice Forms
30,2019-12-12,945491.0,Sales & Invoice Forms
31,2019-12-13,1081069.0,Sales & Invoice Forms
32,2019-12-14,1081069.0,Sales & Invoice Forms
33,2019-12-15,1081069.0,Sales & Invoice Forms
34,2019-12-16,412732.0,Sales & Invoice Forms
35,2019-12-17,172985.0,Sales & Invoice Forms
36,2019-12-18,172985.0,Sales & Invoice Forms
37,2019-12-19,172985.0,Sales & Invoice Forms
38,2019-12-20,172985.0,Sales & Invoice Forms
39,2019-12-21,172985.0,Sales & Invoice Forms
40,2019-12-22,172985.0,Sales & Invoice Forms
41,2019-12-23,449317.0,Sales & Invoice Forms
42,2019-12-24,449317.0,Sales & Invoice Forms
43,2019-12-25,449317.0,Sales & Invoice Forms
44,2019-12-26,518006.0,Sales & Invoice Forms
45,2019-12-27,518006.0,Sales & Invoice Forms
46,2019-12-28,149673.0,Sales & Invoice Forms
47,2019-12-29,236706.0,Sales & Invoice Forms
48,2019-12-30,279130.0,Sales & Invoice Forms
49,2019-12-31,279130.0,Sales & Invoice Forms
50,2020-01-01,279130.0,Sales & Invoice Forms
51,2020-01-02,419722.0,Sales & Invoice Forms
52,2020-01-03,419722.0,Sales & Invoice Forms
53,2020-01-04,419722.0,Sales & Invoice Forms
54,2020-01-05,419722.0,Sales & Invoice Forms
55,2020-01-06,419722.0,Sales & Invoice Forms
56,2020-01-07,562249.0,Sales & Invoice Forms
57,2020-01-08,562249.0,Sales & Invoice Forms
58,2020-01-09,562249.0,Sales & Invoice Forms
59,2020-01-10,137326.0,Sales & Invoice Forms
60,2020-01-11,137326.0,Sales & Invoice Forms
61,2020-01-12,137326.0,Sales & Invoice Forms
62,2020-01-13,313945.0,Sales & Invoice Forms
63,2020-01-14,313945.0,Sales & Invoice Forms
64,2020-01-15,94768.0,Sales & Invoice Forms
65,2020-01-16,94768.0,Sales & Invoice Forms
66,2020-01-17,94768.0,Sales & Invoice Forms
67,2020-01-18,65383.0,Sales & Invoice Forms
68,2020-01-19,106253.0,Sales & Invoice Forms
69,2020-01-20,174679.0,Sales & Invoice Forms
70,2020-01-21,174679.0,Sales & Invoice Forms
71,2020-01-22,63811.0,Sales & Invoice Forms
72,2020-01-23,63884.0,Sales & Invoice Forms
73,2020-01-24,63884.0,Sales & Invoice Forms
74,2020-01-25,63884.0,Sales & Invoice Forms
75,2020-01-26,193501.0,Sales & Invoice Forms
76,2020-01-27,193501.0,Sales & Invoice Forms
77,2020-01-28,193501.0,Sales & Invoice Forms
78,2020-01-29,193501.0,Sales & Invoice Forms
79,2020-01-30,193501.0,Sales & Invoice Forms
80,2020-01-31,226653.0,Sales & Invoice Forms
81,2020-02-01,226653.0,Sales & Invoice Forms
82,2020-02-02,302503.0,Sales & Invoice Forms
83,2020-02-03,302503.0,Sales & Invoice Forms
84,2020-02-04,302503.0,Sales & Invoice Forms
85,2020-02-05,167214.0,Sales & Invoice Forms
86,2020-02-06,217938.0,Sales & Invoice Forms
87,2020-02-07,217938.0,Sales & Invoice Forms
88,2020-02-08,217938.0,Sales & Invoice Forms
89,2020-02-09,195773.0,Sales & Invoice Forms
90,2020-02-10,195773.0,Sales & Invoice Forms
91,2020-02-11,195773.0,Sales & Invoice Forms
92,2020-02-12,195773.0,Sales & Invoice Forms
93,2020-02-13,195773.0,Sales & Invoice Forms
94,2020-02-14,195773.0,Sales & Invoice Forms
95,2020-02-15,195773.0,Sales & Invoice Forms
96,2020-02-16,195773.0,Sales & Invoice Forms
97,2020-02-17,236753.0,Sales & Invoice Forms
98,2020-02-18,111344.0,Sales & Invoice Forms
99,2020-02-19,111344.0,Sales & Invoice Forms
100,2020-02-20,111344.0,Sales & Invoice Forms
101,2020-02-21,-1.0,Sales & Invoice Forms
102,2020-02-22,-1.0,Sales & Invoice Forms
103,2020-02-23,-1.0,Sales & Invoice Forms
104,2020-02-24,-1.0,Sales & Invoice Forms
105,2020-02-25,-1.0,Sales & Invoice Forms
106,2020-02-26,150636.0,Sales & Invoice Forms
107,2020-02-27,150636.0,Sales & Invoice Forms
108,2020-02-28,263699.0,Sales & Invoice Forms
109,2020-02-29,263699.0,Sales & Invoice Forms
110,2020-03-01,263699.0,Sales & Invoice Forms
111,2020-03-02,168886.0,Sales & Invoice Forms
112,2020-03-03,168886.0,Sales & Invoice Forms
113,2020-03-04,168886.0,Sales & Invoice Forms
114,2020-03-05,136135.0,Sales & Invoice Forms
115,2020-03-06,206052.0,Sales & Invoice Forms
116,2020-03-07,206052.0,Sales & Invoice Forms
117,2020-03-08,206052.0,Sales & Invoice Forms
118,2020-03-09,-1.0,Sales & Invoice Forms
