,date,value,name_B07GZXN3BR
0,2020-05-24,2983.0,Hip & Joint Care
1,2020-05-25,2983.0,Hip & Joint Care
2,2020-05-26,2983.0,Hip & Joint Care
3,2020-05-27,3598.0,Hip & Joint Care
4,2020-05-28,3598.0,Hip & Joint Care
5,2020-05-29,3598.0,Hip & Joint Care
6,2020-05-30,3275.0,Hip & Joint Care
7,2020-05-31,3275.0,Hip & Joint Care
8,2020-06-01,3275.0,Hip & Joint Care
9,2020-06-02,3590.0,Hip & Joint Care
10,2020-06-03,3590.0,Hip & Joint Care
11,2020-06-04,3558.0,Hip & Joint Care
12,2020-06-05,3558.0,Hip & Joint Care
13,2020-06-06,3029.0,Hip & Joint Care
14,2020-06-07,3029.0,Hip & Joint Care
15,2020-06-08,3503.0,Hip & Joint Care
16,2020-06-09,3511.0,Hip & Joint Care
17,2020-06-10,3286.0,Hip & Joint Care
18,2020-06-11,3286.0,Hip & Joint Care
19,2020-06-12,3492.0,Hip & Joint Care
20,2020-06-13,3492.0,Hip & Joint Care
21,2020-06-14,3492.0,Hip & Joint Care
22,2020-06-15,2972.0,Hip & Joint Care
23,2020-06-16,2972.0,Hip & Joint Care
24,2020-06-17,2972.0,Hip & Joint Care
25,2020-06-18,4096.0,Hip & Joint Care
26,2020-06-19,4096.0,Hip & Joint Care
27,2020-06-20,4096.0,Hip & Joint Care
28,2020-06-21,3947.0,Hip & Joint Care
29,2020-06-22,3947.0,Hip & Joint Care
30,2020-06-23,3947.0,Hip & Joint Care
31,2020-06-24,4348.0,Hip & Joint Care
32,2020-06-25,4348.0,Hip & Joint Care
33,2020-06-26,3679.0,Hip & Joint Care
34,2020-06-27,3679.0,Hip & Joint Care
35,2020-06-28,3679.0,Hip & Joint Care
36,2020-06-29,4386.0,Hip & Joint Care
37,2020-06-30,4386.0,Hip & Joint Care
38,2020-07-01,4085.0,Hip & Joint Care
39,2020-07-02,4085.0,Hip & Joint Care
40,2020-07-03,4085.0,Hip & Joint Care
41,2020-07-04,3601.0,Hip & Joint Care
42,2020-07-05,3601.0,Hip & Joint Care
43,2020-07-06,3601.0,Hip & Joint Care
44,2020-07-07,3321.0,Hip & Joint Care
45,2020-07-08,3321.0,Hip & Joint Care
46,2020-07-09,4114.0,Hip & Joint Care
47,2020-07-10,4114.0,Hip & Joint Care
48,2020-07-11,4114.0,Hip & Joint Care
49,2020-07-12,3808.0,Hip & Joint Care
