,date,value,name_B01IPMMM3C
0,2020-02-23,4051.0,"Braces, Splints & Supports"
1,2020-02-24,6044.0,"Braces, Splints & Supports"
2,2020-02-25,-1.0,"Braces, Splints & Supports"
3,2020-02-26,-1.0,"Braces, Splints & Supports"
4,2020-02-27,-1.0,"Braces, Splints & Supports"
5,2020-02-28,-1.0,"Braces, Splints & Supports"
6,2020-02-29,-1.0,"Braces, Splints & Supports"
7,2020-03-01,-1.0,"Braces, Splints & Supports"
8,2020-03-02,-1.0,"Braces, Splints & Supports"
9,2020-03-03,-1.0,"Braces, Splints & Supports"
10,2020-03-04,-1.0,"Braces, Splints & Supports"
11,2020-03-05,-1.0,"Braces, Splints & Supports"
12,2020-03-06,-1.0,"Braces, Splints & Supports"
13,2020-03-07,-1.0,"Braces, Splints & Supports"
14,2020-03-08,-1.0,"Braces, Splints & Supports"
15,2020-03-09,-1.0,"Braces, Splints & Supports"
16,2020-03-10,-1.0,"Braces, Splints & Supports"
17,2020-03-11,-1.0,"Braces, Splints & Supports"
18,2020-03-12,-1.0,"Braces, Splints & Supports"
19,2020-03-13,-1.0,"Braces, Splints & Supports"
20,2020-03-14,-1.0,"Braces, Splints & Supports"
21,2020-03-15,-1.0,"Braces, Splints & Supports"
22,2020-03-16,-1.0,"Braces, Splints & Supports"
23,2020-03-17,-1.0,"Braces, Splints & Supports"
24,2020-03-18,-1.0,"Braces, Splints & Supports"
25,2020-03-19,-1.0,"Braces, Splints & Supports"
26,2020-03-20,-1.0,"Braces, Splints & Supports"
27,2020-03-21,-1.0,"Braces, Splints & Supports"
28,2020-03-22,-1.0,"Braces, Splints & Supports"
29,2020-03-23,-1.0,"Braces, Splints & Supports"
30,2020-03-24,-1.0,"Braces, Splints & Supports"
31,2020-03-25,-1.0,"Braces, Splints & Supports"
32,2020-03-26,-1.0,"Braces, Splints & Supports"
33,2020-03-27,-1.0,"Braces, Splints & Supports"
34,2020-03-28,-1.0,"Braces, Splints & Supports"
35,2020-03-29,-1.0,"Braces, Splints & Supports"
36,2020-03-30,-1.0,"Braces, Splints & Supports"
37,2020-03-31,-1.0,"Braces, Splints & Supports"
38,2020-04-01,-1.0,"Braces, Splints & Supports"
39,2020-04-02,-1.0,"Braces, Splints & Supports"
40,2020-04-03,-1.0,"Braces, Splints & Supports"
41,2020-04-04,-1.0,"Braces, Splints & Supports"
42,2020-04-05,-1.0,"Braces, Splints & Supports"
43,2020-04-06,-1.0,"Braces, Splints & Supports"
44,2020-04-07,-1.0,"Braces, Splints & Supports"
45,2020-04-08,-1.0,"Braces, Splints & Supports"
46,2020-04-09,-1.0,"Braces, Splints & Supports"
47,2020-04-10,-1.0,"Braces, Splints & Supports"
48,2020-04-11,-1.0,"Braces, Splints & Supports"
49,2020-04-12,-1.0,"Braces, Splints & Supports"
50,2020-04-13,-1.0,"Braces, Splints & Supports"
51,2020-04-14,-1.0,"Braces, Splints & Supports"
52,2020-04-15,-1.0,"Braces, Splints & Supports"
53,2020-04-16,-1.0,"Braces, Splints & Supports"
54,2020-04-17,-1.0,"Braces, Splints & Supports"
55,2020-04-18,-1.0,"Braces, Splints & Supports"
56,2020-04-19,-1.0,"Braces, Splints & Supports"
57,2020-04-20,-1.0,"Braces, Splints & Supports"
58,2020-04-21,-1.0,"Braces, Splints & Supports"
59,2020-04-22,-1.0,"Braces, Splints & Supports"
60,2020-04-23,-1.0,"Braces, Splints & Supports"
61,2020-04-24,-1.0,"Braces, Splints & Supports"
62,2020-04-25,-1.0,"Braces, Splints & Supports"
63,2020-04-26,-1.0,"Braces, Splints & Supports"
64,2020-04-27,-1.0,"Braces, Splints & Supports"
65,2020-04-28,-1.0,"Braces, Splints & Supports"
66,2020-04-29,-1.0,"Braces, Splints & Supports"
67,2020-04-30,-1.0,"Braces, Splints & Supports"
68,2020-05-01,-1.0,"Braces, Splints & Supports"
69,2020-05-02,-1.0,"Braces, Splints & Supports"
70,2020-05-03,-1.0,"Braces, Splints & Supports"
71,2020-05-04,-1.0,"Braces, Splints & Supports"
72,2020-05-05,-1.0,"Braces, Splints & Supports"
73,2020-05-06,-1.0,"Braces, Splints & Supports"
74,2020-05-07,-1.0,"Braces, Splints & Supports"
