,date,value,name_B08L8TYTKJ
0,2020-10-18,73184.0,Health Care
1,2020-10-19,73184.0,Health Care
2,2020-10-20,104047.0,Health Care
3,2020-10-21,75876.0,Health Care
4,2020-10-22,75876.0,Health Care
5,2020-10-23,113310.0,Health Care
6,2020-10-24,113310.0,Health Care
7,2020-10-25,113310.0,Health Care
8,2020-10-26,103579.0,Health Care
9,2020-10-27,103579.0,Health Care
10,2020-10-28,103579.0,Health Care
11,2020-10-29,103579.0,Health Care
12,2020-10-30,103579.0,Health Care
13,2020-10-31,154895.0,Health Care
14,2020-11-01,154895.0,Health Care
15,2020-11-02,136550.0,Health Care
16,2020-11-03,170095.0,Health Care
17,2020-11-04,170095.0,Health Care
18,2020-11-05,93119.0,Health Care
19,2020-11-06,93119.0,Health Care
20,2020-11-07,43435.0,Health Care
21,2020-11-08,43435.0,Health Care
22,2020-11-09,43435.0,Health Care
23,2020-11-10,16480.0,Health Care
24,2020-11-11,16480.0,Health Care
25,2020-11-12,27265.0,Health Care
26,2020-11-13,36100.0,Health Care
27,2020-11-14,36100.0,Health Care
28,2020-11-15,34032.0,Health Care
29,2020-11-16,34032.0,Health Care
30,2020-11-17,34032.0,Health Care
31,2020-11-18,42577.0,Health Care
32,2020-11-19,41026.0,Health Care
33,2020-11-20,37485.0,Health Care
34,2020-11-21,37485.0,Health Care
35,2020-11-22,37485.0,Health Care
36,2020-11-23,28784.0,Health Care
37,2020-11-24,28784.0,Health Care
38,2020-11-25,28784.0,Health Care
39,2020-11-26,37264.0,Health Care
40,2020-11-27,37264.0,Health Care
41,2020-11-28,39308.0,Health Care
42,2020-11-29,39308.0,Health Care
43,2020-11-30,39308.0,Health Care
44,2020-12-01,52168.0,Health Care
45,2020-12-02,52168.0,Health Care
46,2020-12-03,52168.0,Health Care
47,2020-12-04,52168.0,Health Care
48,2020-12-05,53099.0,Health Care
49,2020-12-06,53099.0,Health Care
50,2020-12-07,56431.0,Health Care
51,2020-12-08,44248.0,Health Care
52,2020-12-09,41934.0,Health Care
53,2020-12-10,36933.0,Health Care
54,2020-12-11,29428.0,Health Care
55,2020-12-12,29428.0,Health Care
56,2020-12-13,29428.0,Health Care
57,2020-12-14,27951.0,Health Care
58,2020-12-15,21974.0,Health Care
59,2020-12-16,23537.0,Health Care
60,2020-12-17,23537.0,Health Care
61,2020-12-18,24934.0,Health Care
62,2020-12-19,31295.0,Health Care
63,2020-12-20,38935.0,Health Care
64,2020-12-21,44147.0,Health Care
