,date,value,name_B08FF5858G
0,2020-12-21,16531.0,Health Care
1,2020-12-22,16134.0,Health Care
2,2020-12-23,14658.0,Health Care
3,2020-12-24,17817.0,Health Care
4,2020-12-25,17817.0,Health Care
5,2020-12-26,17817.0,Health Care
6,2020-12-27,21077.0,Health Care
7,2020-12-28,21077.0,Health Care
8,2020-12-29,17810.0,Health Care
9,2020-12-30,17810.0,Health Care
10,2020-12-31,17810.0,Health Care
11,2021-01-01,19876.0,Health Care
12,2021-01-02,21067.0,Health Care
13,2021-01-03,21067.0,Health Care
14,2021-01-04,26195.0,Health Care
15,2021-01-05,26195.0,Health Care
16,2021-01-06,20405.0,Health Care
17,2021-01-07,20748.0,Health Care
18,2021-01-08,19803.0,Health Care
19,2021-01-09,18284.0,Health Care
20,2021-01-10,19540.0,Health Care
21,2021-01-11,23381.0,Health Care
22,2021-01-12,24672.0,Health Care
23,2021-01-13,22003.0,Health Care
24,2021-01-14,23877.0,Health Care
25,2021-01-15,21208.0,Health Care
26,2021-01-16,21208.0,Health Care
27,2021-01-17,22557.0,Health Care
28,2021-01-18,22557.0,Health Care
29,2021-01-19,20423.0,Health Care
30,2021-01-20,19609.0,Health Care
31,2021-01-21,22982.0,Health Care
32,2021-01-22,21679.0,Health Care
33,2021-01-23,21679.0,Health Care
34,2021-01-24,18575.0,Health Care
35,2021-01-25,21125.0,Health Care
36,2021-01-26,21125.0,Health Care
37,2021-01-27,21125.0,Health Care
38,2021-01-28,21125.0,Health Care
39,2021-01-29,13363.0,Health Care
40,2021-01-30,13363.0,Health Care
41,2021-01-31,13453.0,Health Care
42,2021-02-01,13453.0,Health Care
43,2021-02-02,12688.0,Health Care
44,2021-02-03,12688.0,Health Care
45,2021-02-04,12688.0,Health Care
46,2021-02-05,12688.0,Health Care
47,2021-02-06,12688.0,Health Care
48,2021-02-07,12688.0,Health Care
49,2021-02-08,12688.0,Health Care
50,2021-02-09,12688.0,Health Care
51,2021-02-10,12688.0,Health Care
52,2021-02-11,12688.0,Health Care
53,2021-02-12,12688.0,Health Care
54,2021-02-13,12688.0,Health Care
55,2021-02-14,12688.0,Health Care
56,2021-02-15,12688.0,Health Care
57,2021-02-16,12688.0,Health Care
58,2021-02-17,12688.0,Health Care
59,2021-02-18,12688.0,Health Care
60,2021-02-19,12688.0,Health Care
61,2021-02-20,12688.0,Health Care
62,2021-02-21,12688.0,Health Care
63,2021-02-22,12688.0,Health Care
64,2021-02-23,12688.0,Health Care
65,2021-02-24,12688.0,Health Care
66,2021-02-25,12688.0,Health Care
67,2021-02-26,12688.0,Health Care
68,2021-02-27,12688.0,Health Care
69,2021-02-28,12688.0,Health Care
70,2021-03-01,12688.0,Health Care
71,2021-03-02,12688.0,Health Care
72,2021-03-03,12688.0,Health Care
73,2021-03-04,12688.0,Health Care
74,2021-03-05,12688.0,Health Care
75,2021-03-06,12688.0,Health Care
76,2021-03-07,12688.0,Health Care
77,2021-03-08,12688.0,Health Care
78,2021-03-09,12688.0,Health Care
79,2021-03-10,12688.0,Health Care
80,2021-03-11,12688.0,Health Care
81,2021-03-12,12688.0,Health Care
82,2021-03-13,12688.0,Health Care
83,2021-03-14,12688.0,Health Care
84,2021-03-15,12688.0,Health Care
85,2021-03-16,12688.0,Health Care
86,2021-03-17,12688.0,Health Care
87,2021-03-18,12688.0,Health Care
88,2021-03-19,12688.0,Health Care
89,2021-03-20,12688.0,Health Care
90,2021-03-21,12688.0,Health Care
91,2021-03-22,12688.0,Health Care
92,2021-03-23,12688.0,Health Care
93,2021-03-24,12688.0,Health Care
94,2021-03-25,12688.0,Health Care
95,2021-03-26,12688.0,Health Care
96,2021-03-27,12688.0,Health Care
97,2021-03-28,12688.0,Health Care
98,2021-03-29,12688.0,Health Care
99,2021-03-30,12688.0,Health Care
100,2021-03-31,12688.0,Health Care
101,2021-04-01,12688.0,Health Care
102,2021-04-02,12688.0,Health Care
103,2021-04-03,12688.0,Health Care
104,2021-04-04,12688.0,Health Care
105,2021-04-05,12688.0,Health Care
106,2021-04-06,12688.0,Health Care
107,2021-04-07,12688.0,Health Care
108,2021-04-08,12688.0,Health Care
109,2021-04-09,12688.0,Health Care
110,2021-04-10,9673.0,Health Care
111,2021-04-11,9673.0,Health Care
112,2021-04-12,10933.0,Health Care
113,2021-04-13,10933.0,Health Care
114,2021-04-14,11050.0,Health Care
115,2021-04-15,11050.0,Health Care
116,2021-04-16,29651.0,Health Care
117,2021-04-17,37404.0,Health Care
118,2021-04-18,37404.0,Health Care
119,2021-04-19,38118.0,Health Care
120,2021-04-20,38118.0,Health Care
121,2021-04-21,38118.0,Health Care
122,2021-04-22,32530.0,Health Care
123,2021-04-23,43197.0,Health Care
124,2021-04-24,43197.0,Health Care
125,2021-04-25,30815.0,Health Care
126,2021-04-26,30815.0,Health Care
127,2021-04-27,30323.0,Health Care
128,2021-04-28,30323.0,Health Care
129,2021-04-29,30323.0,Health Care
130,2021-04-30,45393.0,Health Care
131,2021-05-01,45393.0,Health Care
132,2021-05-02,45393.0,Health Care
133,2021-05-03,32093.0,Health Care
134,2021-05-04,32093.0,Health Care
135,2021-05-05,32093.0,Health Care
136,2021-05-06,52396.0,Health Care
137,2021-05-07,52396.0,Health Care
138,2021-05-08,33994.0,Health Care
139,2021-05-09,33994.0,Health Care
140,2021-05-10,37635.0,Health Care
141,2021-05-11,44159.0,Health Care
142,2021-05-12,45409.0,Health Care
143,2021-05-13,67854.0,Health Care
144,2021-05-14,67854.0,Health Care
145,2021-05-15,67854.0,Health Care
146,2021-05-16,44357.0,Health Care
147,2021-05-17,60520.0,Health Care
148,2021-05-18,51842.0,Health Care
149,2021-05-19,51842.0,Health Care
150,2021-05-20,39413.0,Health Care
151,2021-05-21,35787.0,Health Care
152,2021-05-22,35787.0,Health Care
153,2021-05-23,35787.0,Health Care
154,2021-05-24,46364.0,Health Care
155,2021-05-25,46364.0,Health Care
156,2021-05-26,45542.0,Health Care
157,2021-05-27,45542.0,Health Care
158,2021-05-28,29122.0,Health Care
159,2021-05-29,29122.0,Health Care
160,2021-05-30,29122.0,Health Care
161,2021-05-31,50643.0,Health Care
162,2021-06-01,66096.0,Health Care
163,2021-06-02,49659.0,Health Care
164,2021-06-03,41621.0,Health Care
165,2021-06-04,41621.0,Health Care
166,2021-06-05,33808.0,Health Care
167,2021-06-06,33808.0,Health Care
168,2021-06-07,42119.0,Health Care
169,2021-06-08,42119.0,Health Care
170,2021-06-09,55950.0,Health Care
171,2021-06-10,43229.0,Health Care
172,2021-06-11,42902.0,Health Care
173,2021-06-12,42902.0,Health Care
174,2021-06-13,49499.0,Health Care
175,2021-06-14,49499.0,Health Care
176,2021-06-15,49499.0,Health Care
177,2021-06-16,18601.0,Health Care
178,2021-06-17,18601.0,Health Care
179,2021-06-18,14603.0,Health Care
180,2021-06-19,13735.0,Health Care
181,2021-06-20,13735.0,Health Care
182,2021-06-21,14685.0,Health Care
183,2021-06-22,39301.0,Health Care
184,2021-06-23,44757.0,Health Care
185,2021-06-24,42136.0,Health Care
186,2021-06-25,43589.0,Health Care
187,2021-06-26,44371.0,Health Care
188,2021-06-27,42313.0,Health Care
189,2021-06-28,34609.0,Health Care
190,2021-06-29,34609.0,Health Care
191,2021-06-30,34609.0,Health Care
192,2021-07-01,41057.0,Health Care
193,2021-07-02,31733.0,Health Care
194,2021-07-03,31733.0,Health Care
195,2021-07-04,36935.0,Health Care
196,2021-07-05,36935.0,Health Care
197,2021-07-06,39300.0,Health Care
198,2021-07-07,45928.0,Health Care
199,2021-07-08,45928.0,Health Care
200,2021-07-09,33226.0,Health Care
201,2021-07-10,42340.0,Health Care
