,date,value,name_B07X8QT534
0,2020-05-28,6953.0,Multidrug Tests
1,2020-05-29,7905.0,Multidrug Tests
2,2020-05-30,7905.0,Multidrug Tests
3,2020-05-31,8690.0,Multidrug Tests
4,2020-06-01,8690.0,Multidrug Tests
5,2020-06-02,7246.0,Multidrug Tests
6,2020-06-03,7246.0,Multidrug Tests
7,2020-06-04,7246.0,Multidrug Tests
8,2020-06-05,7246.0,Multidrug Tests
9,2020-06-06,6653.0,Multidrug Tests
10,2020-06-07,6653.0,Multidrug Tests
11,2020-06-08,7253.0,Multidrug Tests
12,2020-06-09,7253.0,Multidrug Tests
13,2020-06-10,7253.0,Multidrug Tests
14,2020-06-11,5025.0,Multidrug Tests
15,2020-06-12,5025.0,Multidrug Tests
16,2020-06-13,5025.0,Multidrug Tests
17,2020-06-14,5025.0,Multidrug Tests
18,2020-06-15,5025.0,Multidrug Tests
19,2020-06-16,8236.0,Multidrug Tests
20,2020-06-17,8236.0,Multidrug Tests
21,2020-06-18,8236.0,Multidrug Tests
22,2020-06-19,7702.0,Multidrug Tests
23,2020-06-20,6629.0,Multidrug Tests
24,2020-06-21,7638.0,Multidrug Tests
25,2020-06-22,7638.0,Multidrug Tests
26,2020-06-23,7638.0,Multidrug Tests
27,2020-06-24,12321.0,Multidrug Tests
28,2020-06-25,12321.0,Multidrug Tests
29,2020-06-26,9995.0,Multidrug Tests
30,2020-06-27,9995.0,Multidrug Tests
31,2020-06-28,10247.0,Multidrug Tests
32,2020-06-29,10247.0,Multidrug Tests
33,2020-06-30,8631.0,Multidrug Tests
34,2020-07-01,7502.0,Multidrug Tests
35,2020-07-02,7502.0,Multidrug Tests
36,2020-07-03,7502.0,Multidrug Tests
37,2020-07-04,7502.0,Multidrug Tests
38,2020-07-05,7502.0,Multidrug Tests
39,2020-07-06,7502.0,Multidrug Tests
40,2020-07-07,7502.0,Multidrug Tests
41,2020-07-08,6067.0,Multidrug Tests
42,2020-07-09,6143.0,Multidrug Tests
43,2020-07-10,6143.0,Multidrug Tests
44,2020-07-11,6143.0,Multidrug Tests
45,2020-07-12,7691.0,Multidrug Tests
46,2020-07-13,7813.0,Multidrug Tests
47,2020-07-14,7813.0,Multidrug Tests
48,2020-07-15,7813.0,Multidrug Tests
49,2020-07-16,7176.0,Multidrug Tests
50,2020-07-17,7176.0,Multidrug Tests
51,2020-07-18,7176.0,Multidrug Tests
52,2020-07-19,7176.0,Multidrug Tests
53,2020-07-20,8906.0,Multidrug Tests
54,2020-07-21,8906.0,Multidrug Tests
55,2020-07-22,8906.0,Multidrug Tests
56,2020-07-23,6752.0,Multidrug Tests
57,2020-07-24,6752.0,Multidrug Tests
58,2020-07-25,6752.0,Multidrug Tests
59,2020-07-26,8536.0,Multidrug Tests
60,2020-07-27,8536.0,Multidrug Tests
61,2020-07-28,8536.0,Multidrug Tests
62,2020-07-29,8034.0,Multidrug Tests
63,2020-07-30,8034.0,Multidrug Tests
64,2020-07-31,6876.0,Multidrug Tests
65,2020-08-01,6876.0,Multidrug Tests
66,2020-08-02,6876.0,Multidrug Tests
67,2020-08-03,7622.0,Multidrug Tests
68,2020-08-04,7622.0,Multidrug Tests
69,2020-08-05,7622.0,Multidrug Tests
70,2020-08-06,5936.0,Multidrug Tests
71,2020-08-07,5936.0,Multidrug Tests
72,2020-08-08,5936.0,Multidrug Tests
73,2020-08-09,5936.0,Multidrug Tests
74,2020-08-10,9508.0,Multidrug Tests
75,2020-08-11,9508.0,Multidrug Tests
76,2020-08-12,8651.0,Multidrug Tests
77,2020-08-13,8651.0,Multidrug Tests
78,2020-08-14,8651.0,Multidrug Tests
79,2020-08-15,6346.0,Multidrug Tests
80,2020-08-16,6346.0,Multidrug Tests
81,2020-08-17,6346.0,Multidrug Tests
82,2020-08-18,6950.0,Multidrug Tests
83,2020-08-19,6950.0,Multidrug Tests
84,2020-08-20,6950.0,Multidrug Tests
85,2020-08-21,10330.0,Multidrug Tests
86,2020-08-22,10330.0,Multidrug Tests
87,2020-08-23,10330.0,Multidrug Tests
88,2020-08-24,12334.0,Multidrug Tests
89,2020-08-25,11611.0,Multidrug Tests
90,2020-08-26,11611.0,Multidrug Tests
91,2020-08-27,9558.0,Multidrug Tests
92,2020-08-28,9558.0,Multidrug Tests
93,2020-08-29,9558.0,Multidrug Tests
94,2020-08-30,8642.0,Multidrug Tests
95,2020-08-31,8642.0,Multidrug Tests
96,2020-09-01,10189.0,Multidrug Tests
97,2020-09-02,10189.0,Multidrug Tests
98,2020-09-03,10189.0,Multidrug Tests
99,2020-09-04,10189.0,Multidrug Tests
100,2020-09-05,7904.0,Multidrug Tests
101,2020-09-06,7904.0,Multidrug Tests
102,2020-09-07,8841.0,Multidrug Tests
103,2020-09-08,8841.0,Multidrug Tests
104,2020-09-09,8841.0,Multidrug Tests
105,2020-09-10,5629.0,Multidrug Tests
106,2020-09-11,5629.0,Multidrug Tests
107,2020-09-12,5629.0,Multidrug Tests
108,2020-09-13,5709.0,Multidrug Tests
109,2020-09-14,5981.0,Multidrug Tests
110,2020-09-15,4879.0,Multidrug Tests
111,2020-09-16,4879.0,Multidrug Tests
112,2020-09-17,4879.0,Multidrug Tests
113,2020-09-18,4879.0,Multidrug Tests
114,2020-09-19,4879.0,Multidrug Tests
115,2020-09-20,5476.0,Multidrug Tests
116,2020-09-21,5476.0,Multidrug Tests
117,2020-09-22,5476.0,Multidrug Tests
118,2020-09-23,5576.0,Multidrug Tests
119,2020-09-24,4708.0,Multidrug Tests
120,2020-09-25,5525.0,Multidrug Tests
121,2020-09-26,5043.0,Multidrug Tests
122,2020-09-27,5043.0,Multidrug Tests
123,2020-09-28,6108.0,Multidrug Tests
124,2020-09-29,6108.0,Multidrug Tests
125,2020-09-30,6443.0,Multidrug Tests
126,2020-10-01,6443.0,Multidrug Tests
127,2020-10-02,6443.0,Multidrug Tests
128,2020-10-03,6262.0,Multidrug Tests
129,2020-10-04,6262.0,Multidrug Tests
130,2020-10-05,7585.0,Multidrug Tests
131,2020-10-06,7010.0,Multidrug Tests
132,2020-10-07,7659.0,Multidrug Tests
133,2020-10-08,7659.0,Multidrug Tests
134,2020-10-09,7706.0,Multidrug Tests
135,2020-10-10,7068.0,Multidrug Tests
136,2020-10-11,7068.0,Multidrug Tests
137,2020-10-12,7460.0,Multidrug Tests
138,2020-10-13,7460.0,Multidrug Tests
139,2020-10-14,7198.0,Multidrug Tests
140,2020-10-15,7198.0,Multidrug Tests
141,2020-10-16,7823.0,Multidrug Tests
142,2020-10-17,7823.0,Multidrug Tests
143,2020-10-18,7823.0,Multidrug Tests
144,2020-10-19,8005.0,Multidrug Tests
145,2020-10-20,6053.0,Multidrug Tests
146,2020-10-21,5750.0,Multidrug Tests
147,2020-10-22,5750.0,Multidrug Tests
148,2020-10-23,5750.0,Multidrug Tests
149,2020-10-24,4920.0,Multidrug Tests
150,2020-10-25,4920.0,Multidrug Tests
151,2020-10-26,5842.0,Multidrug Tests
152,2020-10-27,5263.0,Multidrug Tests
153,2020-10-28,5607.0,Multidrug Tests
154,2020-10-29,5718.0,Multidrug Tests
155,2020-10-30,5531.0,Multidrug Tests
156,2020-10-31,4370.0,Multidrug Tests
157,2020-11-01,4370.0,Multidrug Tests
158,2020-11-02,5409.0,Multidrug Tests
159,2020-11-03,5409.0,Multidrug Tests
160,2020-11-04,5409.0,Multidrug Tests
161,2020-11-05,4460.0,Multidrug Tests
162,2020-11-06,4460.0,Multidrug Tests
163,2020-11-07,3704.0,Multidrug Tests
164,2020-11-08,3704.0,Multidrug Tests
