,date,value,name_B06WCZSVBR
0,2020-05-30,19610.0,Urinary Tract Infection Treatments
1,2020-05-31,19610.0,Urinary Tract Infection Treatments
2,2020-06-01,19610.0,Urinary Tract Infection Treatments
3,2020-06-02,19610.0,Urinary Tract Infection Treatments
4,2020-06-03,15333.0,Urinary Tract Infection Treatments
5,2020-06-04,15333.0,Urinary Tract Infection Treatments
6,2020-06-05,15333.0,Urinary Tract Infection Treatments
7,2020-06-06,15333.0,Urinary Tract Infection Treatments
8,2020-06-07,15333.0,Urinary Tract Infection Treatments
9,2020-06-08,19568.0,Urinary Tract Infection Treatments
10,2020-06-09,19568.0,Urinary Tract Infection Treatments
11,2020-06-10,19568.0,Urinary Tract Infection Treatments
12,2020-06-11,21322.0,Urinary Tract Infection Treatments
13,2020-06-12,21322.0,Urinary Tract Infection Treatments
14,2020-06-13,21322.0,Urinary Tract Infection Treatments
15,2020-06-14,21322.0,Urinary Tract Infection Treatments
16,2020-06-15,21322.0,Urinary Tract Infection Treatments
17,2020-06-16,23809.0,Urinary Tract Infection Treatments
18,2020-06-17,23809.0,Urinary Tract Infection Treatments
19,2020-06-18,19903.0,Urinary Tract Infection Treatments
20,2020-06-19,19903.0,Urinary Tract Infection Treatments
21,2020-06-20,19903.0,Urinary Tract Infection Treatments
22,2020-06-21,19184.0,Urinary Tract Infection Treatments
23,2020-06-22,19184.0,Urinary Tract Infection Treatments
24,2020-06-23,19184.0,Urinary Tract Infection Treatments
25,2020-06-24,19184.0,Urinary Tract Infection Treatments
26,2020-06-25,22752.0,Urinary Tract Infection Treatments
27,2020-06-26,22752.0,Urinary Tract Infection Treatments
28,2020-06-27,22752.0,Urinary Tract Infection Treatments
29,2020-06-28,19159.0,Urinary Tract Infection Treatments
30,2020-06-29,19159.0,Urinary Tract Infection Treatments
31,2020-06-30,21100.0,Urinary Tract Infection Treatments
32,2020-07-01,21100.0,Urinary Tract Infection Treatments
33,2020-07-02,21100.0,Urinary Tract Infection Treatments
34,2020-07-03,21100.0,Urinary Tract Infection Treatments
35,2020-07-04,22260.0,Urinary Tract Infection Treatments
36,2020-07-05,22260.0,Urinary Tract Infection Treatments
37,2020-07-06,22260.0,Urinary Tract Infection Treatments
38,2020-07-07,22260.0,Urinary Tract Infection Treatments
39,2020-07-08,29272.0,Urinary Tract Infection Treatments
40,2020-07-09,29272.0,Urinary Tract Infection Treatments
41,2020-07-10,29272.0,Urinary Tract Infection Treatments
42,2020-07-11,29272.0,Urinary Tract Infection Treatments
43,2020-07-12,29272.0,Urinary Tract Infection Treatments
44,2020-07-13,29272.0,Urinary Tract Infection Treatments
45,2020-07-14,29272.0,Urinary Tract Infection Treatments
46,2020-07-15,29015.0,Urinary Tract Infection Treatments
47,2020-07-16,29015.0,Urinary Tract Infection Treatments
48,2020-07-17,29015.0,Urinary Tract Infection Treatments
49,2020-07-18,26611.0,Urinary Tract Infection Treatments
50,2020-07-19,26611.0,Urinary Tract Infection Treatments
51,2020-07-20,26611.0,Urinary Tract Infection Treatments
52,2020-07-21,26611.0,Urinary Tract Infection Treatments
53,2020-07-22,26611.0,Urinary Tract Infection Treatments
54,2020-07-23,19465.0,Urinary Tract Infection Treatments
55,2020-07-24,19465.0,Urinary Tract Infection Treatments
56,2020-07-25,19465.0,Urinary Tract Infection Treatments
57,2020-07-26,19465.0,Urinary Tract Infection Treatments
58,2020-07-27,19465.0,Urinary Tract Infection Treatments
59,2020-07-28,23601.0,Urinary Tract Infection Treatments
60,2020-07-29,23601.0,Urinary Tract Infection Treatments
61,2020-07-30,23601.0,Urinary Tract Infection Treatments
62,2020-07-31,23601.0,Urinary Tract Infection Treatments
63,2020-08-01,28659.0,Urinary Tract Infection Treatments
64,2020-08-02,28659.0,Urinary Tract Infection Treatments
65,2020-08-03,28659.0,Urinary Tract Infection Treatments
66,2020-08-04,28659.0,Urinary Tract Infection Treatments
67,2020-08-05,28659.0,Urinary Tract Infection Treatments
68,2020-08-06,17775.0,Urinary Tract Infection Treatments
