,date,value,name_B088M24FK8
0,2020-05-29,163259.0,Health Care
1,2020-05-30,211191.0,Health Care
2,2020-05-31,211191.0,Health Care
3,2020-06-01,190110.0,Health Care
4,2020-06-02,161614.0,Health Care
5,2020-06-03,73751.0,Health Care
6,2020-06-04,93682.0,Health Care
7,2020-06-05,129282.0,Health Care
8,2020-06-06,129282.0,Health Care
9,2020-06-07,104803.0,Health Care
10,2020-06-08,84458.0,Health Care
11,2020-06-09,120149.0,Health Care
12,2020-06-10,90493.0,Health Care
13,2020-06-11,69128.0,Health Care
14,2020-06-12,81998.0,Health Care
15,2020-06-13,110627.0,Health Care
16,2020-06-14,91787.0,Health Care
17,2020-06-15,78068.0,Health Care
18,2020-06-16,108628.0,Health Care
19,2020-06-17,125132.0,Health Care
20,2020-06-18,113004.0,Health Care
21,2020-06-19,113004.0,Health Care
22,2020-06-20,113004.0,Health Care
23,2020-06-21,113004.0,Health Care
24,2020-06-22,113004.0,Health Care
25,2020-06-23,227127.0,Health Care
26,2020-06-24,237940.0,Health Care
27,2020-06-25,246043.0,Health Care
28,2020-06-26,163906.0,Health Care
29,2020-06-27,143402.0,Health Care
30,2020-06-28,129667.0,Health Care
31,2020-06-29,73358.0,Health Care
32,2020-06-30,118885.0,Health Care
33,2020-07-01,85155.0,Health Care
34,2020-07-02,79444.0,Health Care
35,2020-07-03,86334.0,Health Care
36,2020-07-04,122425.0,Health Care
37,2020-07-05,122425.0,Health Care
38,2020-07-06,129747.0,Health Care
39,2020-07-07,97482.0,Health Care
40,2020-07-08,61400.0,Health Care
41,2020-07-09,54546.0,Health Care
42,2020-07-10,54627.0,Health Care
43,2020-07-11,74971.0,Health Care
44,2020-07-12,58642.0,Health Care
45,2020-07-13,54787.0,Health Care
46,2020-07-14,48629.0,Health Care
47,2020-07-15,37250.0,Health Care
48,2020-07-16,32247.0,Health Care
49,2020-07-17,42962.0,Health Care
50,2020-07-18,51023.0,Health Care
51,2020-07-19,56277.0,Health Care
52,2020-07-20,37647.0,Health Care
53,2020-07-21,38714.0,Health Care
54,2020-07-22,38714.0,Health Care
55,2020-07-23,38714.0,Health Care
56,2020-07-24,38714.0,Health Care
57,2020-07-25,38714.0,Health Care
58,2020-07-26,38714.0,Health Care
59,2020-07-27,38714.0,Health Care
60,2020-07-28,38714.0,Health Care
61,2020-07-29,38714.0,Health Care
62,2020-07-30,38714.0,Health Care
63,2020-07-31,38714.0,Health Care
64,2020-08-01,38714.0,Health Care
65,2020-08-02,38714.0,Health Care
66,2020-08-03,38714.0,Health Care
67,2020-08-04,38714.0,Health Care
68,2020-08-05,38714.0,Health Care
69,2020-08-06,38714.0,Health Care
70,2020-08-07,38714.0,Health Care
71,2020-08-08,-1.0,Health Care
