,date,value,name_B01BFHG9OM
0,2020-05-27,12522.0,Multidrug Tests
1,2020-05-28,12522.0,Multidrug Tests
2,2020-05-29,12522.0,Multidrug Tests
3,2020-05-30,12522.0,Multidrug Tests
4,2020-05-31,12522.0,Multidrug Tests
5,2020-06-01,12522.0,Multidrug Tests
6,2020-06-02,12522.0,Multidrug Tests
7,2020-06-03,8971.0,Multidrug Tests
8,2020-06-04,8971.0,Multidrug Tests
9,2020-06-05,8971.0,Multidrug Tests
10,2020-06-06,8971.0,Multidrug Tests
11,2020-06-07,13321.0,Multidrug Tests
12,2020-06-08,13321.0,Multidrug Tests
13,2020-06-09,13321.0,Multidrug Tests
14,2020-06-10,16593.0,Multidrug Tests
15,2020-06-11,13130.0,Multidrug Tests
16,2020-06-12,13130.0,Multidrug Tests
17,2020-06-13,13130.0,Multidrug Tests
18,2020-06-14,13130.0,Multidrug Tests
19,2020-06-15,13130.0,Multidrug Tests
20,2020-06-16,13343.0,Multidrug Tests
21,2020-06-17,13343.0,Multidrug Tests
22,2020-06-18,13343.0,Multidrug Tests
23,2020-06-19,11668.0,Multidrug Tests
24,2020-06-20,11668.0,Multidrug Tests
25,2020-06-21,11668.0,Multidrug Tests
26,2020-06-22,11668.0,Multidrug Tests
27,2020-06-23,11668.0,Multidrug Tests
28,2020-06-24,11668.0,Multidrug Tests
29,2020-06-25,11668.0,Multidrug Tests
30,2020-06-26,11668.0,Multidrug Tests
31,2020-06-27,14500.0,Multidrug Tests
32,2020-06-28,14500.0,Multidrug Tests
33,2020-06-29,19986.0,Multidrug Tests
34,2020-06-30,19986.0,Multidrug Tests
35,2020-07-01,19986.0,Multidrug Tests
36,2020-07-02,19986.0,Multidrug Tests
37,2020-07-03,19986.0,Multidrug Tests
38,2020-07-04,19986.0,Multidrug Tests
39,2020-07-05,20611.0,Multidrug Tests
40,2020-07-06,20611.0,Multidrug Tests
41,2020-07-07,20611.0,Multidrug Tests
42,2020-07-08,20611.0,Multidrug Tests
43,2020-07-09,20611.0,Multidrug Tests
44,2020-07-10,20611.0,Multidrug Tests
45,2020-07-11,18164.0,Multidrug Tests
46,2020-07-12,18164.0,Multidrug Tests
47,2020-07-13,23748.0,Multidrug Tests
48,2020-07-14,23748.0,Multidrug Tests
49,2020-07-15,23748.0,Multidrug Tests
50,2020-07-16,18448.0,Multidrug Tests
51,2020-07-17,18448.0,Multidrug Tests
52,2020-07-18,18448.0,Multidrug Tests
53,2020-07-19,18448.0,Multidrug Tests
54,2020-07-20,18448.0,Multidrug Tests
55,2020-07-21,20772.0,Multidrug Tests
56,2020-07-22,20772.0,Multidrug Tests
57,2020-07-23,20772.0,Multidrug Tests
58,2020-07-24,20772.0,Multidrug Tests
59,2020-07-25,26044.0,Multidrug Tests
60,2020-07-26,26044.0,Multidrug Tests
61,2020-07-27,26044.0,Multidrug Tests
62,2020-07-28,26044.0,Multidrug Tests
63,2020-07-29,19972.0,Multidrug Tests
64,2020-07-30,19972.0,Multidrug Tests
65,2020-07-31,19972.0,Multidrug Tests
66,2020-08-01,19972.0,Multidrug Tests
67,2020-08-02,19972.0,Multidrug Tests
68,2020-08-03,19972.0,Multidrug Tests
69,2020-08-04,19972.0,Multidrug Tests
70,2020-08-05,19972.0,Multidrug Tests
71,2020-08-06,24535.0,Multidrug Tests
72,2020-08-07,24535.0,Multidrug Tests
73,2020-08-08,24535.0,Multidrug Tests
74,2020-08-09,24535.0,Multidrug Tests
75,2020-08-10,28682.0,Multidrug Tests
76,2020-08-11,28682.0,Multidrug Tests
77,2020-08-12,28682.0,Multidrug Tests
78,2020-08-13,29492.0,Multidrug Tests
79,2020-08-14,29492.0,Multidrug Tests
80,2020-08-15,29492.0,Multidrug Tests
81,2020-08-16,33469.0,Multidrug Tests
82,2020-08-17,33469.0,Multidrug Tests
83,2020-08-18,33469.0,Multidrug Tests
84,2020-08-19,33469.0,Multidrug Tests
85,2020-08-20,33469.0,Multidrug Tests
86,2020-08-21,49067.0,Multidrug Tests
87,2020-08-22,49067.0,Multidrug Tests
88,2020-08-23,49067.0,Multidrug Tests
89,2020-08-24,61006.0,Multidrug Tests
90,2020-08-25,61006.0,Multidrug Tests
91,2020-08-26,61006.0,Multidrug Tests
92,2020-08-27,61006.0,Multidrug Tests
93,2020-08-28,61006.0,Multidrug Tests
94,2020-08-29,61006.0,Multidrug Tests
95,2020-08-30,61006.0,Multidrug Tests
96,2020-08-31,21179.0,Multidrug Tests
97,2020-09-01,21179.0,Multidrug Tests
98,2020-09-02,21179.0,Multidrug Tests
99,2020-09-03,21179.0,Multidrug Tests
100,2020-09-04,21179.0,Multidrug Tests
101,2020-09-05,14202.0,Multidrug Tests
102,2020-09-06,14202.0,Multidrug Tests
103,2020-09-07,21145.0,Multidrug Tests
104,2020-09-08,21145.0,Multidrug Tests
105,2020-09-09,21145.0,Multidrug Tests
106,2020-09-10,21145.0,Multidrug Tests
107,2020-09-11,16356.0,Multidrug Tests
108,2020-09-12,16356.0,Multidrug Tests
109,2020-09-13,16356.0,Multidrug Tests
110,2020-09-14,16147.0,Multidrug Tests
111,2020-09-15,16147.0,Multidrug Tests
112,2020-09-16,14510.0,Multidrug Tests
113,2020-09-17,14510.0,Multidrug Tests
114,2020-09-18,14510.0,Multidrug Tests
115,2020-09-19,14510.0,Multidrug Tests
116,2020-09-20,16578.0,Multidrug Tests
117,2020-09-21,16578.0,Multidrug Tests
118,2020-09-22,16578.0,Multidrug Tests
119,2020-09-23,14899.0,Multidrug Tests
120,2020-09-24,13037.0,Multidrug Tests
121,2020-09-25,13037.0,Multidrug Tests
122,2020-09-26,10723.0,Multidrug Tests
123,2020-09-27,10723.0,Multidrug Tests
124,2020-09-28,10723.0,Multidrug Tests
125,2020-09-29,10723.0,Multidrug Tests
126,2020-09-30,9668.0,Multidrug Tests
127,2020-10-01,9668.0,Multidrug Tests
128,2020-10-02,9668.0,Multidrug Tests
129,2020-10-03,8360.0,Multidrug Tests
130,2020-10-04,8360.0,Multidrug Tests
131,2020-10-05,11101.0,Multidrug Tests
132,2020-10-06,11288.0,Multidrug Tests
133,2020-10-07,11288.0,Multidrug Tests
134,2020-10-08,11288.0,Multidrug Tests
135,2020-10-09,8669.0,Multidrug Tests
136,2020-10-10,10958.0,Multidrug Tests
137,2020-10-11,10958.0,Multidrug Tests
138,2020-10-12,10958.0,Multidrug Tests
139,2020-10-13,10958.0,Multidrug Tests
140,2020-10-14,10958.0,Multidrug Tests
141,2020-10-15,14609.0,Multidrug Tests
