,date,value,name_B07SNHJZ9H
0,2020-03-04,-1.0,Back Braces
1,2020-03-05,-1.0,Back Braces
2,2020-03-06,-1.0,Back Braces
3,2020-03-07,-1.0,Back Braces
4,2020-03-08,-1.0,Back Braces
5,2020-03-09,-1.0,Back Braces
6,2020-03-10,-1.0,Back Braces
7,2020-03-11,-1.0,Back Braces
8,2020-03-12,-1.0,Back Braces
9,2020-03-13,-1.0,Back Braces
10,2020-03-14,-1.0,Back Braces
11,2020-03-15,-1.0,Back Braces
12,2020-03-16,-1.0,Back Braces
13,2020-03-17,-1.0,Back Braces
14,2020-03-18,-1.0,Back Braces
15,2020-03-19,-1.0,Back Braces
16,2020-03-20,-1.0,Back Braces
17,2020-03-21,-1.0,Back Braces
18,2020-03-22,-1.0,Back Braces
19,2020-03-23,-1.0,Back Braces
20,2020-03-24,-1.0,Back Braces
21,2020-03-25,-1.0,Back Braces
22,2020-03-26,-1.0,Back Braces
23,2020-03-27,-1.0,Back Braces
24,2020-03-28,-1.0,Back Braces
25,2020-03-29,-1.0,Back Braces
26,2020-03-30,-1.0,Back Braces
27,2020-03-31,-1.0,Back Braces
28,2020-04-01,-1.0,Back Braces
29,2020-04-02,-1.0,Back Braces
30,2020-04-03,-1.0,Back Braces
31,2020-04-04,-1.0,Back Braces
32,2020-04-05,-1.0,Back Braces
33,2020-04-06,-1.0,Back Braces
34,2020-04-07,-1.0,Back Braces
35,2020-04-08,-1.0,Back Braces
36,2020-04-09,-1.0,Back Braces
37,2020-04-10,-1.0,Back Braces
38,2020-04-11,-1.0,Back Braces
39,2020-04-12,-1.0,Back Braces
40,2020-04-13,-1.0,Back Braces
41,2020-04-14,-1.0,Back Braces
42,2020-04-15,-1.0,Back Braces
43,2020-04-16,-1.0,Back Braces
44,2020-04-17,-1.0,Back Braces
45,2020-04-18,-1.0,Back Braces
46,2020-04-19,-1.0,Back Braces
47,2020-04-20,-1.0,Back Braces
48,2020-04-21,-1.0,Back Braces
49,2020-04-22,-1.0,Back Braces
50,2020-04-23,-1.0,Back Braces
51,2020-04-24,-1.0,Back Braces
52,2020-04-25,-1.0,Back Braces
53,2020-04-26,-1.0,Back Braces
54,2020-04-27,-1.0,Back Braces
55,2020-04-28,-1.0,Back Braces
56,2020-04-29,-1.0,Back Braces
57,2020-04-30,-1.0,Back Braces
58,2020-05-01,-1.0,Back Braces
59,2020-05-02,-1.0,Back Braces
60,2020-05-03,-1.0,Back Braces
61,2020-05-04,-1.0,Back Braces
62,2020-05-05,-1.0,Back Braces
63,2020-05-06,-1.0,Back Braces
64,2020-05-07,-1.0,Back Braces
65,2020-05-08,-1.0,Back Braces
66,2020-05-09,-1.0,Back Braces
67,2020-05-10,-1.0,Back Braces
68,2020-05-11,-1.0,Back Braces
69,2020-05-12,-1.0,Back Braces
70,2020-05-13,-1.0,Back Braces
71,2020-05-14,-1.0,Back Braces
72,2020-05-15,-1.0,Back Braces
73,2020-05-16,-1.0,Back Braces
74,2020-05-17,-1.0,Back Braces
75,2020-05-18,-1.0,Back Braces
76,2020-05-19,-1.0,Back Braces
77,2020-05-20,-1.0,Back Braces
78,2020-05-21,-1.0,Back Braces
79,2020-05-22,31413.0,Back Braces
80,2020-05-23,31413.0,Back Braces
81,2020-05-24,31413.0,Back Braces
82,2020-05-25,23020.0,Back Braces
83,2020-05-26,23020.0,Back Braces
84,2020-05-27,23020.0,Back Braces
85,2020-05-28,23020.0,Back Braces
86,2020-05-29,23020.0,Back Braces
87,2020-05-30,23020.0,Back Braces
88,2020-05-31,23020.0,Back Braces
89,2020-06-01,23020.0,Back Braces
90,2020-06-02,23020.0,Back Braces
91,2020-06-03,29513.0,Back Braces
92,2020-06-04,29513.0,Back Braces
93,2020-06-05,29513.0,Back Braces
94,2020-06-06,29513.0,Back Braces
95,2020-06-07,29513.0,Back Braces
96,2020-06-08,29513.0,Back Braces
97,2020-06-09,26093.0,Back Braces
98,2020-06-10,26093.0,Back Braces
99,2020-06-11,26241.0,Back Braces
100,2020-06-12,26241.0,Back Braces
101,2020-06-13,26241.0,Back Braces
102,2020-06-14,26241.0,Back Braces
103,2020-06-15,26241.0,Back Braces
104,2020-06-16,26241.0,Back Braces
105,2020-06-17,26241.0,Back Braces
106,2020-06-18,24946.0,Back Braces
107,2020-06-19,24946.0,Back Braces
108,2020-06-20,24946.0,Back Braces
109,2020-06-21,24946.0,Back Braces
110,2020-06-22,24946.0,Back Braces
111,2020-06-23,27588.0,Back Braces
112,2020-06-24,27588.0,Back Braces
113,2020-06-25,27588.0,Back Braces
114,2020-06-26,27588.0,Back Braces
115,2020-06-27,27588.0,Back Braces
116,2020-06-28,24239.0,Back Braces
117,2020-06-29,24239.0,Back Braces
118,2020-06-30,24239.0,Back Braces
119,2020-07-01,37991.0,Back Braces
120,2020-07-02,31281.0,Back Braces
121,2020-07-03,31281.0,Back Braces
122,2020-07-04,31281.0,Back Braces
123,2020-07-05,31281.0,Back Braces
124,2020-07-06,26453.0,Back Braces
125,2020-07-07,26453.0,Back Braces
126,2020-07-08,36171.0,Back Braces
127,2020-07-09,40750.0,Back Braces
128,2020-07-10,40750.0,Back Braces
129,2020-07-11,40750.0,Back Braces
130,2020-07-12,40750.0,Back Braces
131,2020-07-13,40750.0,Back Braces
132,2020-07-14,35521.0,Back Braces
133,2020-07-15,35521.0,Back Braces
134,2020-07-16,35521.0,Back Braces
135,2020-07-17,35521.0,Back Braces
136,2020-07-18,35521.0,Back Braces
137,2020-07-19,35521.0,Back Braces
138,2020-07-20,35521.0,Back Braces
139,2020-07-21,35521.0,Back Braces
140,2020-07-22,35521.0,Back Braces
141,2020-07-23,39351.0,Back Braces
142,2020-07-24,39351.0,Back Braces
143,2020-07-25,39351.0,Back Braces
144,2020-07-26,41934.0,Back Braces
145,2020-07-27,41934.0,Back Braces
146,2020-07-28,41934.0,Back Braces
147,2020-07-29,41934.0,Back Braces
148,2020-07-30,54660.0,Back Braces
149,2020-07-31,49501.0,Back Braces
150,2020-08-01,42420.0,Back Braces
151,2020-08-02,42420.0,Back Braces
152,2020-08-03,42420.0,Back Braces
153,2020-08-04,42420.0,Back Braces
154,2020-08-05,42420.0,Back Braces
155,2020-08-06,42420.0,Back Braces
156,2020-08-07,37912.0,Back Braces
157,2020-08-08,37912.0,Back Braces
158,2020-08-09,37912.0,Back Braces
159,2020-08-10,33505.0,Back Braces
160,2020-08-11,36005.0,Back Braces
161,2020-08-12,41084.0,Back Braces
162,2020-08-13,41084.0,Back Braces
163,2020-08-14,41084.0,Back Braces
164,2020-08-15,41084.0,Back Braces
165,2020-08-16,40577.0,Back Braces
166,2020-08-17,33923.0,Back Braces
167,2020-08-18,33923.0,Back Braces
168,2020-08-19,33923.0,Back Braces
169,2020-08-20,33923.0,Back Braces
170,2020-08-21,33923.0,Back Braces
171,2020-08-22,33923.0,Back Braces
172,2020-08-23,33923.0,Back Braces
173,2020-08-24,33643.0,Back Braces
174,2020-08-25,33643.0,Back Braces
175,2020-08-26,33643.0,Back Braces
176,2020-08-27,33643.0,Back Braces
177,2020-08-28,33643.0,Back Braces
178,2020-08-29,33643.0,Back Braces
179,2020-08-30,33643.0,Back Braces
180,2020-08-31,33857.0,Back Braces
181,2020-09-01,33857.0,Back Braces
182,2020-09-02,38391.0,Back Braces
183,2020-09-03,38391.0,Back Braces
184,2020-09-04,38391.0,Back Braces
185,2020-09-05,35350.0,Back Braces
186,2020-09-06,35350.0,Back Braces
187,2020-09-07,35350.0,Back Braces
188,2020-09-08,37489.0,Back Braces
189,2020-09-09,37489.0,Back Braces
190,2020-09-10,37489.0,Back Braces
191,2020-09-11,37489.0,Back Braces
192,2020-09-12,37489.0,Back Braces
193,2020-09-13,37489.0,Back Braces
194,2020-09-14,28790.0,Back Braces
195,2020-09-15,28790.0,Back Braces
196,2020-09-16,43595.0,Back Braces
197,2020-09-17,43595.0,Back Braces
198,2020-09-18,43595.0,Back Braces
199,2020-09-19,43595.0,Back Braces
200,2020-09-20,43595.0,Back Braces
201,2020-09-21,36399.0,Back Braces
202,2020-09-22,34249.0,Back Braces
203,2020-09-23,34249.0,Back Braces
204,2020-09-24,34249.0,Back Braces
205,2020-09-25,34249.0,Back Braces
206,2020-09-26,34249.0,Back Braces
207,2020-09-27,39497.0,Back Braces
208,2020-09-28,46903.0,Back Braces
209,2020-09-29,46903.0,Back Braces
