,date,value,name_B0793BPPVN
0,2018-09-13,9600.0,Litter Mats
1,2018-09-14,9600.0,Litter Mats
2,2018-09-15,13606.0,Litter Mats
3,2018-09-16,11436.0,Litter Mats
4,2018-09-17,9671.0,Litter Mats
5,2018-09-18,10402.0,Litter Mats
6,2018-09-19,9942.0,Litter Mats
7,2018-09-20,9942.0,Litter Mats
8,2018-09-21,15049.0,Litter Mats
9,2018-09-22,15049.0,Litter Mats
10,2018-09-23,11775.0,Litter Mats
11,2018-09-24,6966.0,Litter Mats
12,2018-09-25,9361.0,Litter Mats
13,2018-09-26,10081.0,Litter Mats
14,2018-09-27,10081.0,Litter Mats
15,2018-09-28,10081.0,Litter Mats
16,2018-09-29,8953.0,Litter Mats
17,2018-09-30,8953.0,Litter Mats
18,2018-10-01,17967.0,Litter Mats
19,2018-10-02,19687.0,Litter Mats
20,2018-10-03,16419.0,Litter Mats
21,2018-10-04,11615.0,Litter Mats
22,2018-10-05,9413.0,Litter Mats
23,2018-10-06,15590.0,Litter Mats
24,2018-10-07,12927.0,Litter Mats
25,2018-10-08,-1.0,Litter Mats
26,2018-10-09,-1.0,Litter Mats
27,2018-10-10,-1.0,Litter Mats
28,2018-10-11,-1.0,Litter Mats
29,2018-10-12,-1.0,Litter Mats
30,2018-10-13,-1.0,Litter Mats
31,2018-10-14,-1.0,Litter Mats
32,2018-10-15,-1.0,Litter Mats
33,2018-10-16,-1.0,Litter Mats
34,2018-10-17,-1.0,Litter Mats
35,2018-10-18,-1.0,Litter Mats
36,2018-10-19,-1.0,Litter Mats
37,2018-10-20,-1.0,Litter Mats
38,2018-10-21,-1.0,Litter Mats
39,2018-10-22,-1.0,Litter Mats
40,2018-10-23,-1.0,Litter Mats
41,2018-10-24,-1.0,Litter Mats
42,2018-10-25,-1.0,Litter Mats
43,2018-10-26,-1.0,Litter Mats
44,2018-10-27,-1.0,Litter Mats
45,2018-10-28,-1.0,Litter Mats
46,2018-10-29,-1.0,Litter Mats
47,2018-10-30,-1.0,Litter Mats
48,2018-10-31,-1.0,Litter Mats
49,2018-11-01,-1.0,Litter Mats
50,2018-11-02,-1.0,Litter Mats
51,2018-11-03,-1.0,Litter Mats
52,2018-11-04,-1.0,Litter Mats
53,2018-11-05,-1.0,Litter Mats
54,2018-11-06,-1.0,Litter Mats
55,2018-11-07,-1.0,Litter Mats
56,2018-11-08,-1.0,Litter Mats
57,2018-11-09,-1.0,Litter Mats
58,2018-11-10,-1.0,Litter Mats
59,2018-11-11,-1.0,Litter Mats
60,2018-11-12,-1.0,Litter Mats
61,2018-11-13,-1.0,Litter Mats
62,2018-11-14,-1.0,Litter Mats
63,2018-11-15,-1.0,Litter Mats
64,2018-11-16,-1.0,Litter Mats
