,date,value,name_B08GJG873G
0,2020-10-14,41319.0,Health Care
1,2020-10-15,41319.0,Health Care
2,2020-10-16,41319.0,Health Care
3,2020-10-17,41319.0,Health Care
4,2020-10-18,41319.0,Health Care
5,2020-10-19,48912.0,Health Care
6,2020-10-20,48912.0,Health Care
7,2020-10-21,48912.0,Health Care
8,2020-10-22,37417.0,Health Care
9,2020-10-23,36558.0,Health Care
10,2020-10-24,36558.0,Health Care
11,2020-10-25,36558.0,Health Care
12,2020-10-26,33239.0,Health Care
13,2020-10-27,33239.0,Health Care
14,2020-10-28,33239.0,Health Care
15,2020-10-29,33239.0,Health Care
16,2020-10-30,33239.0,Health Care
17,2020-10-31,33239.0,Health Care
18,2020-11-01,33239.0,Health Care
19,2020-11-02,25628.0,Health Care
20,2020-11-03,17476.0,Health Care
21,2020-11-04,17476.0,Health Care
22,2020-11-05,17476.0,Health Care
23,2020-11-06,17476.0,Health Care
24,2020-11-07,15579.0,Health Care
25,2020-11-08,12755.0,Health Care
26,2020-11-09,12755.0,Health Care
27,2020-11-10,12755.0,Health Care
28,2020-11-11,12755.0,Health Care
29,2020-11-12,12755.0,Health Care
30,2020-11-13,12755.0,Health Care
31,2020-11-14,39374.0,Health Care
32,2020-11-15,49209.0,Health Care
33,2020-11-16,49209.0,Health Care
34,2020-11-17,49209.0,Health Care
35,2020-11-18,49209.0,Health Care
36,2020-11-19,51738.0,Health Care
37,2020-11-20,51738.0,Health Care
38,2020-11-21,51738.0,Health Care
39,2020-11-22,51738.0,Health Care
40,2020-11-23,55052.0,Health Care
41,2020-11-24,55052.0,Health Care
42,2020-11-25,55052.0,Health Care
43,2020-11-26,55052.0,Health Care
44,2020-11-27,55052.0,Health Care
45,2020-11-28,46102.0,Health Care
46,2020-11-29,46102.0,Health Care
47,2020-11-30,46102.0,Health Care
48,2020-12-01,28452.0,Health Care
49,2020-12-02,26081.0,Health Care
50,2020-12-03,26081.0,Health Care
51,2020-12-04,26081.0,Health Care
52,2020-12-05,26081.0,Health Care
53,2020-12-06,26081.0,Health Care
54,2020-12-07,26081.0,Health Care
55,2020-12-08,10370.0,Health Care
56,2020-12-09,9148.0,Health Care
57,2020-12-10,9148.0,Health Care
58,2020-12-11,9148.0,Health Care
59,2020-12-12,9148.0,Health Care
60,2020-12-13,9148.0,Health Care
61,2020-12-14,11764.0,Health Care
62,2020-12-15,14159.0,Health Care
63,2020-12-16,14159.0,Health Care
64,2020-12-17,14159.0,Health Care
65,2020-12-18,14159.0,Health Care
66,2020-12-19,14159.0,Health Care
67,2020-12-20,15178.0,Health Care
68,2020-12-21,15178.0,Health Care
69,2020-12-22,9896.0,Health Care
70,2020-12-23,9896.0,Health Care
71,2020-12-24,9896.0,Health Care
72,2020-12-25,21084.0,Health Care
73,2020-12-26,14107.0,Health Care
74,2020-12-27,14107.0,Health Care
75,2020-12-28,14107.0,Health Care
76,2020-12-29,15209.0,Health Care
77,2020-12-30,15209.0,Health Care
78,2020-12-31,15209.0,Health Care
79,2021-01-01,16889.0,Health Care
80,2021-01-02,16889.0,Health Care
81,2021-01-03,32145.0,Health Care
82,2021-01-04,32145.0,Health Care
83,2021-01-05,32145.0,Health Care
84,2021-01-06,18604.0,Health Care
85,2021-01-07,18604.0,Health Care
86,2021-01-08,18604.0,Health Care
87,2021-01-09,18604.0,Health Care
88,2021-01-10,19211.0,Health Care
89,2021-01-11,19211.0,Health Care
90,2021-01-12,19211.0,Health Care
91,2021-01-13,19211.0,Health Care
92,2021-01-14,21224.0,Health Care
93,2021-01-15,20804.0,Health Care
