,date,value,name_B0892JWNFB
0,2020-05-24,5861.0,Acidophilus
1,2020-05-25,5139.0,Acidophilus
2,2020-05-26,5373.0,Acidophilus
3,2020-05-27,5732.0,Acidophilus
4,2020-05-28,5282.0,Acidophilus
5,2020-05-29,5282.0,Acidophilus
6,2020-05-30,3968.0,Acidophilus
7,2020-05-31,3968.0,Acidophilus
8,2020-06-01,5152.0,Acidophilus
9,2020-06-02,4797.0,Acidophilus
10,2020-06-03,4797.0,Acidophilus
11,2020-06-04,5671.0,Acidophilus
12,2020-06-05,5671.0,Acidophilus
13,2020-06-06,5280.0,Acidophilus
14,2020-06-07,5280.0,Acidophilus
15,2020-06-08,5486.0,Acidophilus
16,2020-06-09,5486.0,Acidophilus
17,2020-06-10,6050.0,Acidophilus
18,2020-06-11,5003.0,Acidophilus
19,2020-06-12,5003.0,Acidophilus
20,2020-06-13,5003.0,Acidophilus
21,2020-06-14,5003.0,Acidophilus
22,2020-06-15,5712.0,Acidophilus
23,2020-06-16,5712.0,Acidophilus
24,2020-06-17,8200.0,Acidophilus
25,2020-06-18,8200.0,Acidophilus
26,2020-06-19,8200.0,Acidophilus
27,2020-06-20,7522.0,Acidophilus
28,2020-06-21,7522.0,Acidophilus
29,2020-06-22,7423.0,Acidophilus
30,2020-06-23,6617.0,Acidophilus
31,2020-06-24,6019.0,Acidophilus
32,2020-06-25,5965.0,Acidophilus
33,2020-06-26,5965.0,Acidophilus
34,2020-06-27,6168.0,Acidophilus
35,2020-06-28,6168.0,Acidophilus
36,2020-06-29,6168.0,Acidophilus
37,2020-06-30,5427.0,Acidophilus
38,2020-07-01,5427.0,Acidophilus
39,2020-07-02,5326.0,Acidophilus
40,2020-07-03,5252.0,Acidophilus
41,2020-07-04,6142.0,Acidophilus
42,2020-07-05,5551.0,Acidophilus
43,2020-07-06,5551.0,Acidophilus
44,2020-07-07,5551.0,Acidophilus
45,2020-07-08,5551.0,Acidophilus
46,2020-07-09,6530.0,Acidophilus
47,2020-07-10,6530.0,Acidophilus
48,2020-07-11,6530.0,Acidophilus
49,2020-07-12,6859.0,Acidophilus
50,2020-07-13,7324.0,Acidophilus
