,date,value,name_B095CRVGZG
0,2021-05-28,2830,"Braces, Splints & Supports"
1,2021-05-29,2462,"Braces, Splints & Supports"
2,2021-05-30,2248,"Braces, Splints & Supports"
3,2021-05-31,2635,"Braces, Splints & Supports"
4,2021-06-01,2942,"Braces, Splints & Supports"
5,2021-06-02,2776,"Braces, Splints & Supports"
6,2021-06-03,3056,"Braces, Splints & Supports"
7,2021-06-04,2605,"Braces, Splints & Supports"
8,2021-06-05,2349,"Braces, Splints & Supports"
9,2021-06-06,2699,"Braces, Splints & Supports"
10,2021-06-07,2880,"Braces, Splints & Supports"
11,2021-06-08,3071,"Braces, Splints & Supports"
12,2021-06-09,3249,"Braces, Splints & Supports"
13,2021-06-10,2393,"Braces, Splints & Supports"
14,2021-06-11,2659,"Braces, Splints & Supports"
15,2021-06-12,2603,"Braces, Splints & Supports"
16,2021-06-13,2903,"Braces, Splints & Supports"
17,2021-06-14,3565,"Braces, Splints & Supports"
18,2021-06-15,3374,"Braces, Splints & Supports"
19,2021-06-16,3746,"Braces, Splints & Supports"
20,2021-06-17,3640,"Braces, Splints & Supports"
21,2021-06-18,2993,"Braces, Splints & Supports"
22,2021-06-19,2638,"Braces, Splints & Supports"
23,2021-06-20,2842,"Braces, Splints & Supports"
24,2021-06-21,3946,"Braces, Splints & Supports"
25,2021-06-22,3679,"Braces, Splints & Supports"
26,2021-06-23,3669,"Braces, Splints & Supports"
27,2021-06-24,2960,"Braces, Splints & Supports"
28,2021-06-25,2616,"Braces, Splints & Supports"
29,2021-06-26,2395,"Braces, Splints & Supports"
30,2021-06-27,2556,"Braces, Splints & Supports"
31,2021-06-28,3036,"Braces, Splints & Supports"
32,2021-06-29,2700,"Braces, Splints & Supports"
33,2021-06-30,2733,"Braces, Splints & Supports"
34,2021-07-01,2504,"Braces, Splints & Supports"
35,2021-07-02,2813,"Braces, Splints & Supports"
36,2021-07-03,2691,"Braces, Splints & Supports"
37,2021-07-04,3402,"Braces, Splints & Supports"
38,2021-07-05,3537,"Braces, Splints & Supports"
39,2021-07-06,4098,"Braces, Splints & Supports"
40,2021-07-07,3927,"Braces, Splints & Supports"
41,2021-07-08,4137,"Braces, Splints & Supports"
42,2021-07-09,3499,"Braces, Splints & Supports"
43,2021-07-10,2757,"Braces, Splints & Supports"
44,2021-07-11,2900,"Braces, Splints & Supports"
