,date,value,name_B0953QDNDS
0,2021-05-19,72812.0,Adhesive Bandages
1,2021-05-20,67097.0,Adhesive Bandages
2,2021-05-21,67097.0,Adhesive Bandages
3,2021-05-22,79011.0,Adhesive Bandages
4,2021-05-23,51984.0,Adhesive Bandages
5,2021-05-24,51984.0,Adhesive Bandages
6,2021-05-25,40638.0,Adhesive Bandages
7,2021-05-26,31966.0,Adhesive Bandages
8,2021-05-27,31966.0,Adhesive Bandages
9,2021-05-28,27514.0,Adhesive Bandages
10,2021-05-29,27514.0,Adhesive Bandages
11,2021-05-30,27514.0,Adhesive Bandages
12,2021-05-31,29846.0,Adhesive Bandages
13,2021-06-01,29846.0,Adhesive Bandages
14,2021-06-02,23074.0,Adhesive Bandages
15,2021-06-03,15521.0,Adhesive Bandages
16,2021-06-04,17811.0,Adhesive Bandages
17,2021-06-05,18409.0,Adhesive Bandages
18,2021-06-06,17822.0,Adhesive Bandages
19,2021-06-07,13319.0,Adhesive Bandages
20,2021-06-08,15461.0,Adhesive Bandages
21,2021-06-09,15461.0,Adhesive Bandages
22,2021-06-10,15461.0,Adhesive Bandages
23,2021-06-11,15461.0,Adhesive Bandages
24,2021-06-12,15632.0,Adhesive Bandages
25,2021-06-13,15632.0,Adhesive Bandages
26,2021-06-14,15632.0,Adhesive Bandages
27,2021-06-15,18410.0,Adhesive Bandages
28,2021-06-16,14940.0,Adhesive Bandages
29,2021-06-17,17490.0,Adhesive Bandages
30,2021-06-18,25130.0,Adhesive Bandages
31,2021-06-19,25130.0,Adhesive Bandages
32,2021-06-20,18274.0,Adhesive Bandages
33,2021-06-21,24616.0,Adhesive Bandages
34,2021-06-22,31403.0,Adhesive Bandages
35,2021-06-23,28832.0,Adhesive Bandages
36,2021-06-24,28832.0,Adhesive Bandages
37,2021-06-25,19410.0,Adhesive Bandages
38,2021-06-26,19377.0,Adhesive Bandages
39,2021-06-27,19377.0,Adhesive Bandages
40,2021-06-28,19377.0,Adhesive Bandages
41,2021-06-29,28982.0,Adhesive Bandages
42,2021-06-30,28982.0,Adhesive Bandages
43,2021-07-01,26393.0,Adhesive Bandages
44,2021-07-02,26393.0,Adhesive Bandages
45,2021-07-03,26393.0,Adhesive Bandages
46,2021-07-04,39247.0,Adhesive Bandages
47,2021-07-05,39016.0,Adhesive Bandages
48,2021-07-06,39016.0,Adhesive Bandages
49,2021-07-07,41365.0,Adhesive Bandages
50,2021-07-08,29530.0,Adhesive Bandages
51,2021-07-09,35559.0,Adhesive Bandages
