,date,value,name_B07MYWXQ98
0,2020-05-26,4666.0,Health Care
1,2020-05-27,5110.0,Health Care
2,2020-05-28,5110.0,Health Care
3,2020-05-29,4491.0,Health Care
4,2020-05-30,4491.0,Health Care
5,2020-05-31,4491.0,Health Care
6,2020-06-01,4254.0,Health Care
7,2020-06-02,4254.0,Health Care
8,2020-06-03,3771.0,Health Care
9,2020-06-04,3771.0,Health Care
10,2020-06-05,3771.0,Health Care
11,2020-06-06,3771.0,Health Care
12,2020-06-07,6099.0,Health Care
13,2020-06-08,6099.0,Health Care
14,2020-06-09,6099.0,Health Care
15,2020-06-10,3175.0,Health Care
16,2020-06-11,3175.0,Health Care
17,2020-06-12,3175.0,Health Care
18,2020-06-13,2237.0,Health Care
19,2020-06-14,2237.0,Health Care
20,2020-06-15,1414.0,Health Care
21,2020-06-16,1414.0,Health Care
22,2020-06-17,1414.0,Health Care
23,2020-06-18,534.0,Health Care
24,2020-06-19,509.0,Health Care
25,2020-06-20,595.0,Health Care
26,2020-06-21,595.0,Health Care
27,2020-06-22,2099.0,Health Care
28,2020-06-23,3392.0,Health Care
29,2020-06-24,4933.0,Health Care
30,2020-06-25,5456.0,Health Care
31,2020-06-26,6485.0,Health Care
32,2020-06-27,6485.0,Health Care
33,2020-06-28,6990.0,Health Care
34,2020-06-29,6990.0,Health Care
35,2020-06-30,6297.0,Health Care
36,2020-07-01,4765.0,Health Care
37,2020-07-02,4045.0,Health Care
38,2020-07-03,4045.0,Health Care
39,2020-07-04,4045.0,Health Care
40,2020-07-05,4045.0,Health Care
41,2020-07-06,4045.0,Health Care
42,2020-07-07,6685.0,Health Care
43,2020-07-08,6685.0,Health Care
44,2020-07-09,10501.0,Health Care
45,2020-07-10,10732.0,Health Care
46,2020-07-11,9494.0,Health Care
47,2020-07-12,9494.0,Health Care
48,2020-07-13,11932.0,Health Care
49,2020-07-14,11491.0,Health Care
50,2020-07-15,11491.0,Health Care
51,2020-07-16,11491.0,Health Care
52,2020-07-17,11565.0,Health Care
53,2020-07-18,9988.0,Health Care
54,2020-07-19,9988.0,Health Care
55,2020-07-20,9389.0,Health Care
56,2020-07-21,9389.0,Health Care
57,2020-07-22,9389.0,Health Care
58,2020-07-23,11363.0,Health Care
59,2020-07-24,11363.0,Health Care
60,2020-07-25,11363.0,Health Care
61,2020-07-26,12627.0,Health Care
62,2020-07-27,12627.0,Health Care
63,2020-07-28,12627.0,Health Care
64,2020-07-29,12320.0,Health Care
65,2020-07-30,12320.0,Health Care
66,2020-07-31,10787.0,Health Care
67,2020-08-01,10787.0,Health Care
68,2020-08-02,10787.0,Health Care
69,2020-08-03,11566.0,Health Care
70,2020-08-04,11566.0,Health Care
71,2020-08-05,11566.0,Health Care
72,2020-08-06,7858.0,Health Care
73,2020-08-07,7858.0,Health Care
74,2020-08-08,7858.0,Health Care
75,2020-08-09,11308.0,Health Care
76,2020-08-10,10659.0,Health Care
77,2020-08-11,12002.0,Health Care
78,2020-08-12,12002.0,Health Care
79,2020-08-13,12002.0,Health Care
80,2020-08-14,12599.0,Health Care
81,2020-08-15,14833.0,Health Care
82,2020-08-16,16292.0,Health Care
83,2020-08-17,16292.0,Health Care
84,2020-08-18,16292.0,Health Care
85,2020-08-19,15202.0,Health Care
86,2020-08-20,15202.0,Health Care
87,2020-08-21,15202.0,Health Care
88,2020-08-22,15202.0,Health Care
89,2020-08-23,11876.0,Health Care
90,2020-08-24,11876.0,Health Care
91,2020-08-25,11876.0,Health Care
92,2020-08-26,17804.0,Health Care
93,2020-08-27,17804.0,Health Care
94,2020-08-28,17804.0,Health Care
95,2020-08-29,17804.0,Health Care
96,2020-08-30,18962.0,Health Care
97,2020-08-31,18962.0,Health Care
98,2020-09-01,14040.0,Health Care
99,2020-09-02,14040.0,Health Care
100,2020-09-03,14040.0,Health Care
101,2020-09-04,14040.0,Health Care
102,2020-09-05,15044.0,Health Care
103,2020-09-06,15044.0,Health Care
104,2020-09-07,14497.0,Health Care
105,2020-09-08,14497.0,Health Care
106,2020-09-09,14497.0,Health Care
107,2020-09-10,6525.0,Health Care
108,2020-09-11,6525.0,Health Care
109,2020-09-12,6525.0,Health Care
110,2020-09-13,6069.0,Health Care
111,2020-09-14,6069.0,Health Care
112,2020-09-15,6069.0,Health Care
113,2020-09-16,6375.0,Health Care
114,2020-09-17,6375.0,Health Care
115,2020-09-18,6375.0,Health Care
116,2020-09-19,7825.0,Health Care
117,2020-09-20,7825.0,Health Care
118,2020-09-21,7825.0,Health Care
119,2020-09-22,7825.0,Health Care
120,2020-09-23,6771.0,Health Care
121,2020-09-24,6771.0,Health Care
122,2020-09-25,6771.0,Health Care
123,2020-09-26,6843.0,Health Care
124,2020-09-27,6843.0,Health Care
125,2020-09-28,6843.0,Health Care
126,2020-09-29,6843.0,Health Care
127,2020-09-30,5897.0,Health Care
128,2020-10-01,5897.0,Health Care
129,2020-10-02,5897.0,Health Care
130,2020-10-03,6480.0,Health Care
131,2020-10-04,6480.0,Health Care
132,2020-10-05,5729.0,Health Care
133,2020-10-06,6385.0,Health Care
134,2020-10-07,6385.0,Health Care
135,2020-10-08,6385.0,Health Care
136,2020-10-09,6385.0,Health Care
137,2020-10-10,5580.0,Health Care
138,2020-10-11,5580.0,Health Care
139,2020-10-12,5974.0,Health Care
140,2020-10-13,5974.0,Health Care
141,2020-10-14,5974.0,Health Care
142,2020-10-15,1614.0,Health Care
143,2020-10-16,2162.0,Health Care
144,2020-10-17,2162.0,Health Care
145,2020-10-18,2162.0,Health Care
146,2020-10-19,6879.0,Health Care
147,2020-10-20,8244.0,Health Care
148,2020-10-21,7834.0,Health Care
149,2020-10-22,7834.0,Health Care
150,2020-10-23,7834.0,Health Care
151,2020-10-24,8958.0,Health Care
152,2020-10-25,8958.0,Health Care
153,2020-10-26,8124.0,Health Care
154,2020-10-27,8124.0,Health Care
155,2020-10-28,10374.0,Health Care
156,2020-10-29,10448.0,Health Care
157,2020-10-30,10448.0,Health Care
158,2020-10-31,8235.0,Health Care
159,2020-11-01,8235.0,Health Care
160,2020-11-02,8726.0,Health Care
161,2020-11-03,8992.0,Health Care
162,2020-11-04,8450.0,Health Care
163,2020-11-05,7627.0,Health Care
164,2020-11-06,7627.0,Health Care
165,2020-11-07,8654.0,Health Care
166,2020-11-08,8654.0,Health Care
167,2020-11-09,8654.0,Health Care
168,2020-11-10,7130.0,Health Care
169,2020-11-11,7130.0,Health Care
170,2020-11-12,7130.0,Health Care
171,2020-11-13,7213.0,Health Care
172,2020-11-14,7213.0,Health Care
173,2020-11-15,7147.0,Health Care
174,2020-11-16,7147.0,Health Care
175,2020-11-17,7147.0,Health Care
176,2020-11-18,7775.0,Health Care
177,2020-11-19,7775.0,Health Care
178,2020-11-20,7258.0,Health Care
179,2020-11-21,7258.0,Health Care
180,2020-11-22,7258.0,Health Care
181,2020-11-23,7258.0,Health Care
182,2020-11-24,3632.0,Health Care
183,2020-11-25,3632.0,Health Care
184,2020-11-26,1997.0,Health Care
185,2020-11-27,1997.0,Health Care
186,2020-11-28,1997.0,Health Care
187,2020-11-29,838.0,Health Care
188,2020-11-30,838.0,Health Care
189,2020-12-01,1800.0,Health Care
190,2020-12-02,2164.0,Health Care
191,2020-12-03,2164.0,Health Care
192,2020-12-04,3257.0,Health Care
193,2020-12-05,3257.0,Health Care
194,2020-12-06,3257.0,Health Care
195,2020-12-07,2375.0,Health Care
196,2020-12-08,2375.0,Health Care
197,2020-12-09,2221.0,Health Care
198,2020-12-10,2221.0,Health Care
199,2020-12-11,2221.0,Health Care
200,2020-12-12,1226.0,Health Care
201,2020-12-13,1226.0,Health Care
202,2020-12-14,909.0,Health Care
203,2020-12-15,909.0,Health Care
204,2020-12-16,909.0,Health Care
205,2020-12-17,545.0,Health Care
206,2020-12-18,545.0,Health Care
207,2020-12-19,450.0,Health Care
208,2020-12-20,381.0,Health Care
209,2020-12-21,382.0,Health Care
210,2020-12-22,382.0,Health Care
211,2020-12-23,382.0,Health Care
212,2020-12-24,252.0,Health Care
213,2020-12-25,252.0,Health Care
214,2020-12-26,252.0,Health Care
215,2020-12-27,1759.0,Health Care
216,2020-12-28,1759.0,Health Care
217,2020-12-29,1759.0,Health Care
218,2020-12-30,5110.0,Health Care
219,2020-12-31,5304.0,Health Care
220,2021-01-01,5491.0,Health Care
221,2021-01-02,6119.0,Health Care
222,2021-01-03,6746.0,Health Care
223,2021-01-04,7200.0,Health Care
224,2021-01-05,7903.0,Health Care
225,2021-01-06,8669.0,Health Care
226,2021-01-07,7854.0,Health Care
227,2021-01-08,8431.0,Health Care
228,2021-01-09,8524.0,Health Care
229,2021-01-10,8524.0,Health Care
230,2021-01-11,9443.0,Health Care
231,2021-01-12,10209.0,Health Care
232,2021-01-13,10129.0,Health Care
233,2021-01-14,11484.0,Health Care
234,2021-01-15,11939.0,Health Care
235,2021-01-16,10628.0,Health Care
236,2021-01-17,10628.0,Health Care
237,2021-01-18,12446.0,Health Care
238,2021-01-19,13823.0,Health Care
239,2021-01-20,13229.0,Health Care
240,2021-01-21,13229.0,Health Care
241,2021-01-22,13229.0,Health Care
242,2021-01-23,13239.0,Health Care
243,2021-01-24,13239.0,Health Care
244,2021-01-25,13239.0,Health Care
245,2021-01-26,10215.0,Health Care
246,2021-01-27,10215.0,Health Care
247,2021-01-28,10215.0,Health Care
248,2021-01-29,10215.0,Health Care
249,2021-01-30,6308.0,Health Care
250,2021-01-31,6550.0,Health Care
251,2021-02-01,6550.0,Health Care
252,2021-02-02,6225.0,Health Care
253,2021-02-03,6225.0,Health Care
254,2021-02-04,7556.0,Health Care
255,2021-02-05,5386.0,Health Care
256,2021-02-06,5920.0,Health Care
257,2021-02-07,5920.0,Health Care
258,2021-02-08,5845.0,Health Care
259,2021-02-09,4142.0,Health Care
260,2021-02-10,4142.0,Health Care
261,2021-02-11,3800.0,Health Care
262,2021-02-12,3845.0,Health Care
263,2021-02-13,4411.0,Health Care
264,2021-02-14,4411.0,Health Care
265,2021-02-15,6880.0,Health Care
266,2021-02-16,10406.0,Health Care
267,2021-02-17,13259.0,Health Care
268,2021-02-18,14881.0,Health Care
269,2021-02-19,13820.0,Health Care
270,2021-02-20,13117.0,Health Care
271,2021-02-21,13117.0,Health Care
272,2021-02-22,15720.0,Health Care
273,2021-02-23,15181.0,Health Care
274,2021-02-24,15411.0,Health Care
275,2021-02-25,18714.0,Health Care
276,2021-02-26,19235.0,Health Care
277,2021-02-27,17848.0,Health Care
278,2021-02-28,17637.0,Health Care
279,2021-03-01,20164.0,Health Care
280,2021-03-02,12584.0,Health Care
281,2021-03-03,8403.0,Health Care
282,2021-03-04,7271.0,Health Care
283,2021-03-05,7267.0,Health Care
284,2021-03-06,7810.0,Health Care
285,2021-03-07,7810.0,Health Care
286,2021-03-08,7434.0,Health Care
287,2021-03-09,10456.0,Health Care
288,2021-03-10,10456.0,Health Care
289,2021-03-11,12251.0,Health Care
290,2021-03-12,12591.0,Health Care
291,2021-03-13,14096.0,Health Care
292,2021-03-14,14096.0,Health Care
293,2021-03-15,13110.0,Health Care
294,2021-03-16,16633.0,Health Care
295,2021-03-17,16033.0,Health Care
296,2021-03-18,15113.0,Health Care
297,2021-03-19,13905.0,Health Care
298,2021-03-20,14779.0,Health Care
299,2021-03-21,14779.0,Health Care
300,2021-03-22,19383.0,Health Care
301,2021-03-23,21814.0,Health Care
302,2021-03-24,23440.0,Health Care
303,2021-03-25,21933.0,Health Care
304,2021-03-26,20491.0,Health Care
305,2021-03-27,23046.0,Health Care
306,2021-03-28,26010.0,Health Care
307,2021-03-29,30877.0,Health Care
308,2021-03-30,28189.0,Health Care
309,2021-03-31,22138.0,Health Care
310,2021-04-01,20607.0,Health Care
311,2021-04-02,18144.0,Health Care
312,2021-04-03,18144.0,Health Care
313,2021-04-04,17117.0,Health Care
314,2021-04-05,17102.0,Health Care
315,2021-04-06,17102.0,Health Care
316,2021-04-07,20676.0,Health Care
317,2021-04-08,19365.0,Health Care
318,2021-04-09,19670.0,Health Care
319,2021-04-10,19507.0,Health Care
320,2021-04-11,19507.0,Health Care
321,2021-04-12,22108.0,Health Care
