,date,value,name_B08H7DJWPK
0,2020-11-05,4779.0,Alternative Pain Relief
1,2020-11-06,4044.0,Alternative Pain Relief
2,2020-11-07,3931.0,Alternative Pain Relief
3,2020-11-08,3931.0,Alternative Pain Relief
4,2020-11-09,3931.0,Alternative Pain Relief
5,2020-11-10,3210.0,Alternative Pain Relief
6,2020-11-11,3519.0,Alternative Pain Relief
7,2020-11-12,3394.0,Alternative Pain Relief
8,2020-11-13,3394.0,Alternative Pain Relief
9,2020-11-14,3394.0,Alternative Pain Relief
10,2020-11-15,2990.0,Alternative Pain Relief
11,2020-11-16,2990.0,Alternative Pain Relief
12,2020-11-17,2990.0,Alternative Pain Relief
13,2020-11-18,3370.0,Alternative Pain Relief
14,2020-11-19,3370.0,Alternative Pain Relief
15,2020-11-20,3130.0,Alternative Pain Relief
16,2020-11-21,2637.0,Alternative Pain Relief
17,2020-11-22,2637.0,Alternative Pain Relief
18,2020-11-23,2144.0,Alternative Pain Relief
19,2020-11-24,2144.0,Alternative Pain Relief
20,2020-11-25,2176.0,Alternative Pain Relief
21,2020-11-26,2151.0,Alternative Pain Relief
22,2020-11-27,1262.0,Alternative Pain Relief
23,2020-11-28,1262.0,Alternative Pain Relief
24,2020-11-29,1138.0,Alternative Pain Relief
25,2020-11-30,1138.0,Alternative Pain Relief
26,2020-12-01,867.0,Alternative Pain Relief
27,2020-12-02,1247.0,Alternative Pain Relief
28,2020-12-03,1247.0,Alternative Pain Relief
29,2020-12-04,1349.0,Alternative Pain Relief
30,2020-12-05,1349.0,Alternative Pain Relief
31,2020-12-06,1309.0,Alternative Pain Relief
32,2020-12-07,1309.0,Alternative Pain Relief
33,2020-12-08,1490.0,Alternative Pain Relief
34,2020-12-09,1404.0,Alternative Pain Relief
35,2020-12-10,1495.0,Alternative Pain Relief
36,2020-12-11,1543.0,Alternative Pain Relief
37,2020-12-12,1440.0,Alternative Pain Relief
38,2020-12-13,1610.0,Alternative Pain Relief
39,2020-12-14,1487.0,Alternative Pain Relief
40,2020-12-15,1487.0,Alternative Pain Relief
41,2020-12-16,1798.0,Alternative Pain Relief
42,2020-12-17,1798.0,Alternative Pain Relief
43,2020-12-18,1783.0,Alternative Pain Relief
44,2020-12-19,1983.0,Alternative Pain Relief
45,2020-12-20,2128.0,Alternative Pain Relief
46,2020-12-21,2102.0,Alternative Pain Relief
47,2020-12-22,2524.0,Alternative Pain Relief
48,2020-12-23,2752.0,Alternative Pain Relief
49,2020-12-24,3401.0,Alternative Pain Relief
