,date,value,name_B08JJ44JR8
0,2020-11-30,214430.0,Acupuncture
1,2020-12-01,214430.0,Acupuncture
2,2020-12-02,214430.0,Acupuncture
3,2020-12-03,214430.0,Acupuncture
4,2020-12-04,214430.0,Acupuncture
5,2020-12-05,214430.0,Acupuncture
6,2020-12-06,214430.0,Acupuncture
7,2020-12-07,77691.0,Acupuncture
8,2020-12-08,77691.0,Acupuncture
9,2020-12-09,77691.0,Acupuncture
10,2020-12-10,81551.0,Acupuncture
11,2020-12-11,81551.0,Acupuncture
12,2020-12-12,50167.0,Acupuncture
13,2020-12-13,50167.0,Acupuncture
14,2020-12-14,50167.0,Acupuncture
15,2020-12-15,50167.0,Acupuncture
16,2020-12-16,50167.0,Acupuncture
17,2020-12-17,50167.0,Acupuncture
18,2020-12-18,59074.0,Acupuncture
19,2020-12-19,59074.0,Acupuncture
20,2020-12-20,76866.0,Acupuncture
21,2020-12-21,76866.0,Acupuncture
22,2020-12-22,76866.0,Acupuncture
23,2020-12-23,76866.0,Acupuncture
24,2020-12-24,76866.0,Acupuncture
25,2020-12-25,186721.0,Acupuncture
26,2020-12-26,186721.0,Acupuncture
27,2020-12-27,186721.0,Acupuncture
28,2020-12-28,186721.0,Acupuncture
29,2020-12-29,186721.0,Acupuncture
30,2020-12-30,186721.0,Acupuncture
31,2020-12-31,186721.0,Acupuncture
32,2021-01-01,265749.0,Acupuncture
33,2021-01-02,265749.0,Acupuncture
34,2021-01-03,265749.0,Acupuncture
35,2021-01-04,265749.0,Acupuncture
36,2021-01-05,297226.0,Acupuncture
37,2021-01-06,297226.0,Acupuncture
38,2021-01-07,297226.0,Acupuncture
39,2021-01-08,297226.0,Acupuncture
40,2021-01-09,297226.0,Acupuncture
41,2021-01-10,297226.0,Acupuncture
42,2021-01-11,297226.0,Acupuncture
43,2021-01-12,297226.0,Acupuncture
44,2021-01-13,297226.0,Acupuncture
45,2021-01-14,297226.0,Acupuncture
46,2021-01-15,297226.0,Acupuncture
47,2021-01-16,297226.0,Acupuncture
48,2021-01-17,297226.0,Acupuncture
49,2021-01-18,297226.0,Acupuncture
50,2021-01-19,297226.0,Acupuncture
51,2021-01-20,297226.0,Acupuncture
52,2021-01-21,379218.0,Acupuncture
53,2021-01-22,379218.0,Acupuncture
54,2021-01-23,379218.0,Acupuncture
55,2021-01-24,379218.0,Acupuncture
56,2021-01-25,379218.0,Acupuncture
57,2021-01-26,163394.0,Acupuncture
58,2021-01-27,163394.0,Acupuncture
59,2021-01-28,163394.0,Acupuncture
60,2021-01-29,163394.0,Acupuncture
61,2021-01-30,163394.0,Acupuncture
62,2021-01-31,163394.0,Acupuncture
63,2021-02-01,293857.0,Acupuncture
