,date,value,name_B07Q58ZWCS
0,2020-05-27,736.0,Adhesive Bandages
1,2020-05-28,743.0,Adhesive Bandages
2,2020-05-29,743.0,Adhesive Bandages
3,2020-05-30,743.0,Adhesive Bandages
4,2020-05-31,807.0,Adhesive Bandages
5,2020-06-01,807.0,Adhesive Bandages
6,2020-06-02,657.0,Adhesive Bandages
7,2020-06-03,811.0,Adhesive Bandages
8,2020-06-04,811.0,Adhesive Bandages
9,2020-06-05,611.0,Adhesive Bandages
10,2020-06-06,611.0,Adhesive Bandages
11,2020-06-07,611.0,Adhesive Bandages
12,2020-06-08,648.0,Adhesive Bandages
13,2020-06-09,726.0,Adhesive Bandages
14,2020-06-10,726.0,Adhesive Bandages
15,2020-06-11,726.0,Adhesive Bandages
16,2020-06-12,631.0,Adhesive Bandages
17,2020-06-13,631.0,Adhesive Bandages
18,2020-06-14,639.0,Adhesive Bandages
19,2020-06-15,639.0,Adhesive Bandages
20,2020-06-16,549.0,Adhesive Bandages
21,2020-06-17,464.0,Adhesive Bandages
22,2020-06-18,464.0,Adhesive Bandages
23,2020-06-19,464.0,Adhesive Bandages
24,2020-06-20,518.0,Adhesive Bandages
25,2020-06-21,518.0,Adhesive Bandages
26,2020-06-22,533.0,Adhesive Bandages
27,2020-06-23,533.0,Adhesive Bandages
28,2020-06-24,566.0,Adhesive Bandages
29,2020-06-25,566.0,Adhesive Bandages
30,2020-06-26,623.0,Adhesive Bandages
31,2020-06-27,553.0,Adhesive Bandages
32,2020-06-28,663.0,Adhesive Bandages
33,2020-06-29,663.0,Adhesive Bandages
34,2020-06-30,603.0,Adhesive Bandages
35,2020-07-01,585.0,Adhesive Bandages
36,2020-07-02,585.0,Adhesive Bandages
37,2020-07-03,585.0,Adhesive Bandages
38,2020-07-04,656.0,Adhesive Bandages
39,2020-07-05,586.0,Adhesive Bandages
40,2020-07-06,586.0,Adhesive Bandages
41,2020-07-07,551.0,Adhesive Bandages
42,2020-07-08,717.0,Adhesive Bandages
43,2020-07-09,717.0,Adhesive Bandages
44,2020-07-10,635.0,Adhesive Bandages
45,2020-07-11,635.0,Adhesive Bandages
46,2020-07-12,635.0,Adhesive Bandages
47,2020-07-13,640.0,Adhesive Bandages
48,2020-07-14,570.0,Adhesive Bandages
49,2020-07-15,570.0,Adhesive Bandages
50,2020-07-16,632.0,Adhesive Bandages
51,2020-07-17,632.0,Adhesive Bandages
52,2020-07-18,632.0,Adhesive Bandages
53,2020-07-19,508.0,Adhesive Bandages
54,2020-07-20,467.0,Adhesive Bandages
55,2020-07-21,467.0,Adhesive Bandages
56,2020-07-22,507.0,Adhesive Bandages
57,2020-07-23,507.0,Adhesive Bandages
58,2020-07-24,507.0,Adhesive Bandages
59,2020-07-25,467.0,Adhesive Bandages
60,2020-07-26,467.0,Adhesive Bandages
61,2020-07-27,456.0,Adhesive Bandages
62,2020-07-28,456.0,Adhesive Bandages
63,2020-07-29,456.0,Adhesive Bandages
64,2020-07-30,523.0,Adhesive Bandages
65,2020-07-31,523.0,Adhesive Bandages
66,2020-08-01,523.0,Adhesive Bandages
67,2020-08-02,479.0,Adhesive Bandages
68,2020-08-03,468.0,Adhesive Bandages
69,2020-08-04,555.0,Adhesive Bandages
70,2020-08-05,555.0,Adhesive Bandages
71,2020-08-06,572.0,Adhesive Bandages
72,2020-08-07,572.0,Adhesive Bandages
73,2020-08-08,466.0,Adhesive Bandages
74,2020-08-09,466.0,Adhesive Bandages
