,date,value,name_B08BBCZ1XJ
0,2020-12-20,39395.0,Acupuncture
1,2020-12-21,33334.0,Acupuncture
2,2020-12-22,39768.0,Acupuncture
3,2020-12-23,43509.0,Acupuncture
4,2020-12-24,37930.0,Acupuncture
5,2020-12-25,37930.0,Acupuncture
6,2020-12-26,37930.0,Acupuncture
7,2020-12-27,41070.0,Acupuncture
8,2020-12-28,41070.0,Acupuncture
9,2020-12-29,41070.0,Acupuncture
10,2020-12-30,41757.0,Acupuncture
11,2020-12-31,40716.0,Acupuncture
12,2021-01-01,40716.0,Acupuncture
13,2021-01-02,40716.0,Acupuncture
14,2021-01-03,40716.0,Acupuncture
15,2021-01-04,40716.0,Acupuncture
16,2021-01-05,44781.0,Acupuncture
17,2021-01-06,44781.0,Acupuncture
18,2021-01-07,44781.0,Acupuncture
19,2021-01-08,49783.0,Acupuncture
20,2021-01-09,51066.0,Acupuncture
21,2021-01-10,51066.0,Acupuncture
22,2021-01-11,51066.0,Acupuncture
23,2021-01-12,51066.0,Acupuncture
24,2021-01-13,61184.0,Acupuncture
25,2021-01-14,61184.0,Acupuncture
26,2021-01-15,61184.0,Acupuncture
27,2021-01-16,61184.0,Acupuncture
28,2021-01-17,61184.0,Acupuncture
29,2021-01-18,61184.0,Acupuncture
30,2021-01-19,35951.0,Acupuncture
31,2021-01-20,35951.0,Acupuncture
32,2021-01-21,27112.0,Acupuncture
33,2021-01-22,28901.0,Acupuncture
34,2021-01-23,31108.0,Acupuncture
35,2021-01-24,31108.0,Acupuncture
36,2021-01-25,31108.0,Acupuncture
37,2021-01-26,31108.0,Acupuncture
38,2021-01-27,31108.0,Acupuncture
39,2021-01-28,34223.0,Acupuncture
40,2021-01-29,34223.0,Acupuncture
41,2021-01-30,34223.0,Acupuncture
42,2021-01-31,34223.0,Acupuncture
43,2021-02-01,35970.0,Acupuncture
44,2021-02-02,35970.0,Acupuncture
45,2021-02-03,35970.0,Acupuncture
46,2021-02-04,35970.0,Acupuncture
47,2021-02-05,35970.0,Acupuncture
48,2021-02-06,35970.0,Acupuncture
49,2021-02-07,33667.0,Acupuncture
50,2021-02-08,33667.0,Acupuncture
51,2021-02-09,33667.0,Acupuncture
52,2021-02-10,25320.0,Acupuncture
53,2021-02-11,25320.0,Acupuncture
54,2021-02-12,25320.0,Acupuncture
55,2021-02-13,25320.0,Acupuncture
56,2021-02-14,25320.0,Acupuncture
57,2021-02-15,36738.0,Acupuncture
58,2021-02-16,36738.0,Acupuncture
59,2021-02-17,36738.0,Acupuncture
60,2021-02-18,36738.0,Acupuncture
61,2021-02-19,38005.0,Acupuncture
62,2021-02-20,38005.0,Acupuncture
63,2021-02-21,41783.0,Acupuncture
64,2021-02-22,41783.0,Acupuncture
65,2021-02-23,41783.0,Acupuncture
66,2021-02-24,29622.0,Acupuncture
67,2021-02-25,32742.0,Acupuncture
68,2021-02-26,32742.0,Acupuncture
69,2021-02-27,32742.0,Acupuncture
70,2021-02-28,32742.0,Acupuncture
71,2021-03-01,37206.0,Acupuncture
72,2021-03-02,32632.0,Acupuncture
73,2021-03-03,32632.0,Acupuncture
74,2021-03-04,49880.0,Acupuncture
75,2021-03-05,44655.0,Acupuncture
76,2021-03-06,44655.0,Acupuncture
77,2021-03-07,44655.0,Acupuncture
78,2021-03-08,42835.0,Acupuncture
79,2021-03-09,50513.0,Acupuncture
80,2021-03-10,70996.0,Acupuncture
81,2021-03-11,33589.0,Acupuncture
82,2021-03-12,33589.0,Acupuncture
83,2021-03-13,33589.0,Acupuncture
84,2021-03-14,33589.0,Acupuncture
85,2021-03-15,23624.0,Acupuncture
86,2021-03-16,23624.0,Acupuncture
87,2021-03-17,23624.0,Acupuncture
88,2021-03-18,24713.0,Acupuncture
89,2021-03-19,24713.0,Acupuncture
90,2021-03-20,24713.0,Acupuncture
91,2021-03-21,24713.0,Acupuncture
92,2021-03-22,23045.0,Acupuncture
93,2021-03-23,23045.0,Acupuncture
94,2021-03-24,23045.0,Acupuncture
95,2021-03-25,24212.0,Acupuncture
96,2021-03-26,24212.0,Acupuncture
97,2021-03-27,24212.0,Acupuncture
98,2021-03-28,24212.0,Acupuncture
99,2021-03-29,31090.0,Acupuncture
100,2021-03-30,31090.0,Acupuncture
101,2021-03-31,27261.0,Acupuncture
102,2021-04-01,27261.0,Acupuncture
103,2021-04-02,27261.0,Acupuncture
104,2021-04-03,27261.0,Acupuncture
105,2021-04-04,37169.0,Acupuncture
106,2021-04-05,37169.0,Acupuncture
107,2021-04-06,37169.0,Acupuncture
108,2021-04-07,37169.0,Acupuncture
109,2021-04-08,38904.0,Acupuncture
