,date,value,name_B08SR2Y182
0,2021-01-17,4550.0,Hip & Joint Care
1,2021-01-18,4982.0,Hip & Joint Care
2,2021-01-19,5722.0,Hip & Joint Care
3,2021-01-20,5722.0,Hip & Joint Care
4,2021-01-21,3798.0,Hip & Joint Care
5,2021-01-22,3798.0,Hip & Joint Care
6,2021-01-23,4939.0,Hip & Joint Care
7,2021-01-24,4939.0,Hip & Joint Care
8,2021-01-25,4179.0,Hip & Joint Care
9,2021-01-26,4179.0,Hip & Joint Care
10,2021-01-27,4179.0,Hip & Joint Care
11,2021-01-28,4343.0,Hip & Joint Care
12,2021-01-29,4343.0,Hip & Joint Care
13,2021-01-30,4945.0,Hip & Joint Care
14,2021-01-31,4945.0,Hip & Joint Care
15,2021-02-01,5095.0,Hip & Joint Care
16,2021-02-02,5095.0,Hip & Joint Care
17,2021-02-03,5810.0,Hip & Joint Care
18,2021-02-04,4625.0,Hip & Joint Care
19,2021-02-05,4625.0,Hip & Joint Care
20,2021-02-06,4625.0,Hip & Joint Care
21,2021-02-07,4018.0,Hip & Joint Care
22,2021-02-08,5112.0,Hip & Joint Care
23,2021-02-09,5112.0,Hip & Joint Care
24,2021-02-10,4678.0,Hip & Joint Care
25,2021-02-11,4678.0,Hip & Joint Care
26,2021-02-12,5892.0,Hip & Joint Care
27,2021-02-13,5892.0,Hip & Joint Care
28,2021-02-14,5892.0,Hip & Joint Care
29,2021-02-15,4521.0,Hip & Joint Care
30,2021-02-16,4521.0,Hip & Joint Care
31,2021-02-17,4521.0,Hip & Joint Care
32,2021-02-18,4873.0,Hip & Joint Care
33,2021-02-19,3837.0,Hip & Joint Care
34,2021-02-20,3837.0,Hip & Joint Care
35,2021-02-21,3567.0,Hip & Joint Care
36,2021-02-22,3567.0,Hip & Joint Care
37,2021-02-23,3567.0,Hip & Joint Care
38,2021-02-24,3655.0,Hip & Joint Care
39,2021-02-25,3679.0,Hip & Joint Care
40,2021-02-26,3679.0,Hip & Joint Care
41,2021-02-27,3679.0,Hip & Joint Care
42,2021-02-28,3836.0,Hip & Joint Care
43,2021-03-01,3572.0,Hip & Joint Care
44,2021-03-02,3572.0,Hip & Joint Care
45,2021-03-03,3873.0,Hip & Joint Care
46,2021-03-04,3649.0,Hip & Joint Care
47,2021-03-05,3649.0,Hip & Joint Care
48,2021-03-06,3649.0,Hip & Joint Care
49,2021-03-07,4273.0,Hip & Joint Care
50,2021-03-08,4273.0,Hip & Joint Care
51,2021-03-09,3994.0,Hip & Joint Care
52,2021-03-10,3994.0,Hip & Joint Care
53,2021-03-11,3926.0,Hip & Joint Care
54,2021-03-12,3926.0,Hip & Joint Care
55,2021-03-13,3659.0,Hip & Joint Care
56,2021-03-14,3659.0,Hip & Joint Care
57,2021-03-15,4149.0,Hip & Joint Care
58,2021-03-16,4259.0,Hip & Joint Care
59,2021-03-17,4030.0,Hip & Joint Care
60,2021-03-18,4030.0,Hip & Joint Care
61,2021-03-19,4045.0,Hip & Joint Care
62,2021-03-20,4045.0,Hip & Joint Care
63,2021-03-21,9245.0,Hip & Joint Care
64,2021-03-22,9245.0,Hip & Joint Care
65,2021-03-23,6875.0,Hip & Joint Care
66,2021-03-24,4747.0,Hip & Joint Care
67,2021-03-25,5240.0,Hip & Joint Care
68,2021-03-26,5353.0,Hip & Joint Care
69,2021-03-27,5381.0,Hip & Joint Care
70,2021-03-28,3729.0,Hip & Joint Care
71,2021-03-29,4133.0,Hip & Joint Care
72,2021-03-30,4340.0,Hip & Joint Care
73,2021-03-31,4516.0,Hip & Joint Care
74,2021-04-01,4633.0,Hip & Joint Care
75,2021-04-02,4950.0,Hip & Joint Care
76,2021-04-03,4185.0,Hip & Joint Care
77,2021-04-04,4185.0,Hip & Joint Care
78,2021-04-05,4265.0,Hip & Joint Care
79,2021-04-06,4265.0,Hip & Joint Care
