,date,value,name_B07LGYGXQM
0,2020-06-01,33220.0,Medical Supplies & Equipment
1,2020-06-02,33220.0,Medical Supplies & Equipment
2,2020-06-03,33220.0,Medical Supplies & Equipment
3,2020-06-04,33220.0,Medical Supplies & Equipment
4,2020-06-05,33220.0,Medical Supplies & Equipment
5,2020-06-06,29587.0,Medical Supplies & Equipment
6,2020-06-07,29587.0,Medical Supplies & Equipment
7,2020-06-08,29587.0,Medical Supplies & Equipment
8,2020-06-09,29309.0,Medical Supplies & Equipment
9,2020-06-10,29309.0,Medical Supplies & Equipment
10,2020-06-11,29309.0,Medical Supplies & Equipment
11,2020-06-12,25695.0,Medical Supplies & Equipment
12,2020-06-13,23707.0,Medical Supplies & Equipment
13,2020-06-14,23707.0,Medical Supplies & Equipment
14,2020-06-15,23707.0,Medical Supplies & Equipment
15,2020-06-16,24957.0,Medical Supplies & Equipment
16,2020-06-17,24957.0,Medical Supplies & Equipment
17,2020-06-18,24957.0,Medical Supplies & Equipment
18,2020-06-19,27208.0,Medical Supplies & Equipment
19,2020-06-20,27208.0,Medical Supplies & Equipment
20,2020-06-21,27208.0,Medical Supplies & Equipment
21,2020-06-22,27208.0,Medical Supplies & Equipment
22,2020-06-23,27351.0,Medical Supplies & Equipment
23,2020-06-24,27351.0,Medical Supplies & Equipment
24,2020-06-25,27351.0,Medical Supplies & Equipment
25,2020-06-26,29385.0,Medical Supplies & Equipment
26,2020-06-27,29385.0,Medical Supplies & Equipment
27,2020-06-28,29385.0,Medical Supplies & Equipment
28,2020-06-29,25378.0,Medical Supplies & Equipment
29,2020-06-30,25378.0,Medical Supplies & Equipment
30,2020-07-01,25378.0,Medical Supplies & Equipment
31,2020-07-02,26059.0,Medical Supplies & Equipment
32,2020-07-03,26059.0,Medical Supplies & Equipment
33,2020-07-04,26059.0,Medical Supplies & Equipment
34,2020-07-05,26059.0,Medical Supplies & Equipment
35,2020-07-06,32879.0,Medical Supplies & Equipment
36,2020-07-07,32879.0,Medical Supplies & Equipment
37,2020-07-08,32879.0,Medical Supplies & Equipment
38,2020-07-09,32879.0,Medical Supplies & Equipment
39,2020-07-10,34184.0,Medical Supplies & Equipment
40,2020-07-11,34184.0,Medical Supplies & Equipment
41,2020-07-12,34184.0,Medical Supplies & Equipment
42,2020-07-13,23686.0,Medical Supplies & Equipment
43,2020-07-14,23686.0,Medical Supplies & Equipment
44,2020-07-15,23686.0,Medical Supplies & Equipment
45,2020-07-16,29432.0,Medical Supplies & Equipment
46,2020-07-17,29432.0,Medical Supplies & Equipment
47,2020-07-18,29432.0,Medical Supplies & Equipment
48,2020-07-19,27904.0,Medical Supplies & Equipment
49,2020-07-20,27904.0,Medical Supplies & Equipment
50,2020-07-21,27904.0,Medical Supplies & Equipment
51,2020-07-22,27904.0,Medical Supplies & Equipment
52,2020-07-23,30053.0,Medical Supplies & Equipment
53,2020-07-24,30053.0,Medical Supplies & Equipment
54,2020-07-25,30053.0,Medical Supplies & Equipment
55,2020-07-26,20445.0,Medical Supplies & Equipment
56,2020-07-27,20445.0,Medical Supplies & Equipment
57,2020-07-28,25038.0,Medical Supplies & Equipment
58,2020-07-29,25038.0,Medical Supplies & Equipment
59,2020-07-30,28104.0,Medical Supplies & Equipment
60,2020-07-31,28104.0,Medical Supplies & Equipment
61,2020-08-01,28104.0,Medical Supplies & Equipment
62,2020-08-02,28104.0,Medical Supplies & Equipment
63,2020-08-03,35833.0,Medical Supplies & Equipment
64,2020-08-04,35833.0,Medical Supplies & Equipment
65,2020-08-05,26544.0,Medical Supplies & Equipment
66,2020-08-06,26544.0,Medical Supplies & Equipment
67,2020-08-07,26544.0,Medical Supplies & Equipment
68,2020-08-08,26544.0,Medical Supplies & Equipment
69,2020-08-09,26544.0,Medical Supplies & Equipment
70,2020-08-10,27789.0,Medical Supplies & Equipment
71,2020-08-11,27789.0,Medical Supplies & Equipment
72,2020-08-12,31840.0,Medical Supplies & Equipment
73,2020-08-13,31840.0,Medical Supplies & Equipment
74,2020-08-14,31840.0,Medical Supplies & Equipment
75,2020-08-15,29165.0,Medical Supplies & Equipment
76,2020-08-16,29165.0,Medical Supplies & Equipment
77,2020-08-17,21930.0,Medical Supplies & Equipment
78,2020-08-18,21930.0,Medical Supplies & Equipment
79,2020-08-19,21930.0,Medical Supplies & Equipment
80,2020-08-20,25576.0,Medical Supplies & Equipment
81,2020-08-21,25576.0,Medical Supplies & Equipment
82,2020-08-22,25576.0,Medical Supplies & Equipment
83,2020-08-23,25576.0,Medical Supplies & Equipment
84,2020-08-24,30228.0,Medical Supplies & Equipment
85,2020-08-25,30228.0,Medical Supplies & Equipment
