,date,value,name_B07P9PBNYW
0,2020-02-09,316482.0,Health Care
1,2020-02-10,122411.0,Health Care
2,2020-02-11,122411.0,Health Care
3,2020-02-12,132220.0,Health Care
4,2020-02-13,132220.0,Health Care
5,2020-02-14,269731.0,Health Care
6,2020-02-15,269731.0,Health Care
7,2020-02-16,122728.0,Health Care
8,2020-02-17,84463.0,Health Care
9,2020-02-18,178361.0,Health Care
10,2020-02-19,178361.0,Health Care
11,2020-02-20,178361.0,Health Care
12,2020-02-21,420533.0,Health Care
13,2020-02-22,260636.0,Health Care
14,2020-02-23,260636.0,Health Care
15,2020-02-24,219916.0,Health Care
16,2020-02-25,219916.0,Health Care
17,2020-02-26,136778.0,Health Care
18,2020-02-27,136778.0,Health Care
19,2020-02-28,136778.0,Health Care
20,2020-02-29,299572.0,Health Care
21,2020-03-01,315996.0,Health Care
22,2020-03-02,145596.0,Health Care
23,2020-03-03,163483.0,Health Care
24,2020-03-04,163483.0,Health Care
25,2020-03-05,96188.0,Health Care
26,2020-03-06,96188.0,Health Care
27,2020-03-07,109341.0,Health Care
28,2020-03-08,109341.0,Health Care
29,2020-03-09,131187.0,Health Care
30,2020-03-10,131187.0,Health Care
31,2020-03-11,137169.0,Health Care
32,2020-03-12,137169.0,Health Care
33,2020-03-13,179778.0,Health Care
34,2020-03-14,194142.0,Health Care
35,2020-03-15,194142.0,Health Care
36,2020-03-16,211661.0,Health Care
37,2020-03-17,211661.0,Health Care
38,2020-03-18,150709.0,Health Care
39,2020-03-19,123915.0,Health Care
40,2020-03-20,123915.0,Health Care
41,2020-03-21,125863.0,Health Care
42,2020-03-22,125863.0,Health Care
43,2020-03-23,141029.0,Health Care
44,2020-03-24,141029.0,Health Care
45,2020-03-25,80539.0,Health Care
46,2020-03-26,51751.0,Health Care
47,2020-03-27,65656.0,Health Care
48,2020-03-28,94644.0,Health Care
49,2020-03-29,94644.0,Health Care
50,2020-03-30,57668.0,Health Care
51,2020-03-31,57668.0,Health Care
52,2020-04-01,128811.0,Health Care
53,2020-04-02,187137.0,Health Care
54,2020-04-03,187137.0,Health Care
55,2020-04-04,219214.0,Health Care
56,2020-04-05,210854.0,Health Care
57,2020-04-06,175711.0,Health Care
58,2020-04-07,175711.0,Health Care
59,2020-04-08,263902.0,Health Care
60,2020-04-09,170967.0,Health Care
61,2020-04-10,240553.0,Health Care
62,2020-04-11,202718.0,Health Care
63,2020-04-12,202718.0,Health Care
64,2020-04-13,202718.0,Health Care
65,2020-04-14,202718.0,Health Care
66,2020-04-15,231280.0,Health Care
67,2020-04-16,250277.0,Health Care
68,2020-04-17,141719.0,Health Care
69,2020-04-18,175834.0,Health Care
70,2020-04-19,94452.0,Health Care
71,2020-04-20,94452.0,Health Care
72,2020-04-21,94452.0,Health Care
73,2020-04-22,44857.0,Health Care
74,2020-04-23,44857.0,Health Care
75,2020-04-24,35060.0,Health Care
76,2020-04-25,35060.0,Health Care
77,2020-04-26,39360.0,Health Care
78,2020-04-27,30824.0,Health Care
79,2020-04-28,30824.0,Health Care
80,2020-04-29,30824.0,Health Care
81,2020-04-30,30824.0,Health Care
82,2020-05-01,30824.0,Health Care
83,2020-05-02,30824.0,Health Care
84,2020-05-03,30824.0,Health Care
85,2020-05-04,30824.0,Health Care
86,2020-05-05,30824.0,Health Care
87,2020-05-06,30824.0,Health Care
88,2020-05-07,-1.0,Health Care
