,date,value,name_B07D85FRMG
0,2020-06-03,4829.0,Basic Cases
1,2020-06-04,4829.0,Basic Cases
2,2020-06-05,4829.0,Basic Cases
3,2020-06-06,4829.0,Basic Cases
4,2020-06-07,4829.0,Basic Cases
5,2020-06-08,4829.0,Basic Cases
6,2020-06-09,4829.0,Basic Cases
7,2020-06-10,4600.0,Basic Cases
8,2020-06-11,4600.0,Basic Cases
9,2020-06-12,4600.0,Basic Cases
10,2020-06-13,4600.0,Basic Cases
11,2020-06-14,3606.0,Basic Cases
12,2020-06-15,3606.0,Basic Cases
13,2020-06-16,3606.0,Basic Cases
14,2020-06-17,3606.0,Basic Cases
15,2020-06-18,3606.0,Basic Cases
16,2020-06-19,3606.0,Basic Cases
17,2020-06-20,3606.0,Basic Cases
18,2020-06-21,3606.0,Basic Cases
19,2020-06-22,3606.0,Basic Cases
20,2020-06-23,3606.0,Basic Cases
21,2020-06-24,6445.0,Basic Cases
22,2020-06-25,6445.0,Basic Cases
23,2020-06-26,6445.0,Basic Cases
24,2020-06-27,6445.0,Basic Cases
25,2020-06-28,6445.0,Basic Cases
26,2020-06-29,10994.0,Basic Cases
27,2020-06-30,10994.0,Basic Cases
28,2020-07-01,10994.0,Basic Cases
29,2020-07-02,10994.0,Basic Cases
30,2020-07-03,10994.0,Basic Cases
31,2020-07-04,7382.0,Basic Cases
32,2020-07-05,7382.0,Basic Cases
33,2020-07-06,8564.0,Basic Cases
34,2020-07-07,8564.0,Basic Cases
35,2020-07-08,13329.0,Basic Cases
36,2020-07-09,13329.0,Basic Cases
37,2020-07-10,13329.0,Basic Cases
38,2020-07-11,27051.0,Basic Cases
39,2020-07-12,27051.0,Basic Cases
40,2020-07-13,27051.0,Basic Cases
41,2020-07-14,27051.0,Basic Cases
42,2020-07-15,27051.0,Basic Cases
43,2020-07-16,27603.0,Basic Cases
44,2020-07-17,27603.0,Basic Cases
45,2020-07-18,17290.0,Basic Cases
46,2020-07-19,17290.0,Basic Cases
47,2020-07-20,7699.0,Basic Cases
48,2020-07-21,7699.0,Basic Cases
49,2020-07-22,7699.0,Basic Cases
50,2020-07-23,7699.0,Basic Cases
51,2020-07-24,7699.0,Basic Cases
52,2020-07-25,7699.0,Basic Cases
53,2020-07-26,7699.0,Basic Cases
54,2020-07-27,7699.0,Basic Cases
55,2020-07-28,7699.0,Basic Cases
56,2020-07-29,10441.0,Basic Cases
57,2020-07-30,10441.0,Basic Cases
58,2020-07-31,10441.0,Basic Cases
59,2020-08-01,10441.0,Basic Cases
60,2020-08-02,10441.0,Basic Cases
61,2020-08-03,10441.0,Basic Cases
62,2020-08-04,16055.0,Basic Cases
63,2020-08-05,16055.0,Basic Cases
64,2020-08-06,3741.0,Basic Cases
65,2020-08-07,9915.0,Basic Cases
66,2020-08-08,9915.0,Basic Cases
67,2020-08-09,9915.0,Basic Cases
68,2020-08-10,9915.0,Basic Cases
69,2020-08-11,9915.0,Basic Cases
70,2020-08-12,9915.0,Basic Cases
71,2020-08-13,9915.0,Basic Cases
72,2020-08-14,9915.0,Basic Cases
73,2020-08-15,15466.0,Basic Cases
74,2020-08-16,15466.0,Basic Cases
75,2020-08-17,15466.0,Basic Cases
76,2020-08-18,15466.0,Basic Cases
77,2020-08-19,15466.0,Basic Cases
78,2020-08-20,15197.0,Basic Cases
79,2020-08-21,15197.0,Basic Cases
80,2020-08-22,15197.0,Basic Cases
81,2020-08-23,15197.0,Basic Cases
82,2020-08-24,15197.0,Basic Cases
83,2020-08-25,15197.0,Basic Cases
84,2020-08-26,15197.0,Basic Cases
85,2020-08-27,15197.0,Basic Cases
86,2020-08-28,15197.0,Basic Cases
87,2020-08-29,15197.0,Basic Cases
88,2020-08-30,15197.0,Basic Cases
89,2020-08-31,35045.0,Basic Cases
90,2020-09-01,35045.0,Basic Cases
91,2020-09-02,35045.0,Basic Cases
92,2020-09-03,35045.0,Basic Cases
93,2020-09-04,35045.0,Basic Cases
94,2020-09-05,35045.0,Basic Cases
95,2020-09-06,20596.0,Basic Cases
96,2020-09-07,20596.0,Basic Cases
97,2020-09-08,20596.0,Basic Cases
98,2020-09-09,20596.0,Basic Cases
99,2020-09-10,20596.0,Basic Cases
100,2020-09-11,20596.0,Basic Cases
101,2020-09-12,20596.0,Basic Cases
102,2020-09-13,20596.0,Basic Cases
103,2020-09-14,24081.0,Basic Cases
104,2020-09-15,24081.0,Basic Cases
105,2020-09-16,24081.0,Basic Cases
106,2020-09-17,24081.0,Basic Cases
107,2020-09-18,24081.0,Basic Cases
108,2020-09-19,24081.0,Basic Cases
109,2020-09-20,24081.0,Basic Cases
110,2020-09-21,24081.0,Basic Cases
111,2020-09-22,24081.0,Basic Cases
112,2020-09-23,24081.0,Basic Cases
113,2020-09-24,24081.0,Basic Cases
114,2020-09-25,24081.0,Basic Cases
115,2020-09-26,24081.0,Basic Cases
116,2020-09-27,24081.0,Basic Cases
117,2020-09-28,24081.0,Basic Cases
118,2020-09-29,24081.0,Basic Cases
119,2020-09-30,24081.0,Basic Cases
120,2020-10-01,24081.0,Basic Cases
121,2020-10-02,24081.0,Basic Cases
122,2020-10-03,24081.0,Basic Cases
123,2020-10-04,24081.0,Basic Cases
124,2020-10-05,24081.0,Basic Cases
125,2020-10-06,24081.0,Basic Cases
126,2020-10-07,24081.0,Basic Cases
127,2020-10-08,24081.0,Basic Cases
128,2020-10-09,24081.0,Basic Cases
129,2020-10-10,24081.0,Basic Cases
130,2020-10-11,24081.0,Basic Cases
131,2020-10-12,24081.0,Basic Cases
132,2020-10-13,24081.0,Basic Cases
133,2020-10-14,24081.0,Basic Cases
134,2020-10-15,24081.0,Basic Cases
135,2020-10-16,24081.0,Basic Cases
136,2020-10-17,24081.0,Basic Cases
137,2020-10-18,24081.0,Basic Cases
138,2020-10-19,24081.0,Basic Cases
139,2020-10-20,24081.0,Basic Cases
140,2020-10-21,24081.0,Basic Cases
141,2020-10-22,24081.0,Basic Cases
142,2020-10-23,24081.0,Basic Cases
143,2020-10-24,24081.0,Basic Cases
144,2020-10-25,24081.0,Basic Cases
