,date,value,name_B08SQSM4HG
0,2021-02-06,52562.0,Medicinal Sleep Aids
1,2021-02-07,52562.0,Medicinal Sleep Aids
2,2021-02-08,52562.0,Medicinal Sleep Aids
3,2021-02-09,52562.0,Medicinal Sleep Aids
4,2021-02-10,52562.0,Medicinal Sleep Aids
5,2021-02-11,53647.0,Medicinal Sleep Aids
6,2021-02-12,53647.0,Medicinal Sleep Aids
7,2021-02-13,53647.0,Medicinal Sleep Aids
8,2021-02-14,53647.0,Medicinal Sleep Aids
9,2021-02-15,53647.0,Medicinal Sleep Aids
10,2021-02-16,53647.0,Medicinal Sleep Aids
11,2021-02-17,53647.0,Medicinal Sleep Aids
12,2021-02-18,53647.0,Medicinal Sleep Aids
13,2021-02-19,53647.0,Medicinal Sleep Aids
14,2021-02-20,53647.0,Medicinal Sleep Aids
15,2021-02-21,53647.0,Medicinal Sleep Aids
16,2021-02-22,53647.0,Medicinal Sleep Aids
17,2021-02-23,54253.0,Medicinal Sleep Aids
18,2021-02-24,45547.0,Medicinal Sleep Aids
19,2021-02-25,45547.0,Medicinal Sleep Aids
20,2021-02-26,45547.0,Medicinal Sleep Aids
21,2021-02-27,37827.0,Medicinal Sleep Aids
22,2021-02-28,37827.0,Medicinal Sleep Aids
23,2021-03-01,37827.0,Medicinal Sleep Aids
24,2021-03-02,45359.0,Medicinal Sleep Aids
25,2021-03-03,45359.0,Medicinal Sleep Aids
26,2021-03-04,45359.0,Medicinal Sleep Aids
27,2021-03-05,45359.0,Medicinal Sleep Aids
28,2021-03-06,45359.0,Medicinal Sleep Aids
29,2021-03-07,45359.0,Medicinal Sleep Aids
30,2021-03-08,45359.0,Medicinal Sleep Aids
31,2021-03-09,33389.0,Medicinal Sleep Aids
32,2021-03-10,33389.0,Medicinal Sleep Aids
33,2021-03-11,33389.0,Medicinal Sleep Aids
34,2021-03-12,33389.0,Medicinal Sleep Aids
35,2021-03-13,21084.0,Medicinal Sleep Aids
36,2021-03-14,21084.0,Medicinal Sleep Aids
37,2021-03-15,21084.0,Medicinal Sleep Aids
38,2021-03-16,21084.0,Medicinal Sleep Aids
39,2021-03-17,23940.0,Medicinal Sleep Aids
40,2021-03-18,20956.0,Medicinal Sleep Aids
41,2021-03-19,20956.0,Medicinal Sleep Aids
42,2021-03-20,20956.0,Medicinal Sleep Aids
43,2021-03-21,49825.0,Medicinal Sleep Aids
44,2021-03-22,49825.0,Medicinal Sleep Aids
45,2021-03-23,49825.0,Medicinal Sleep Aids
46,2021-03-24,49825.0,Medicinal Sleep Aids
47,2021-03-25,49825.0,Medicinal Sleep Aids
48,2021-03-26,49825.0,Medicinal Sleep Aids
49,2021-03-27,49825.0,Medicinal Sleep Aids
50,2021-03-28,43280.0,Medicinal Sleep Aids
51,2021-03-29,43280.0,Medicinal Sleep Aids
52,2021-03-30,43280.0,Medicinal Sleep Aids
53,2021-03-31,43280.0,Medicinal Sleep Aids
54,2021-04-01,43280.0,Medicinal Sleep Aids
55,2021-04-02,43280.0,Medicinal Sleep Aids
56,2021-04-03,43280.0,Medicinal Sleep Aids
57,2021-04-04,43280.0,Medicinal Sleep Aids
58,2021-04-05,43280.0,Medicinal Sleep Aids
59,2021-04-06,26357.0,Medicinal Sleep Aids
60,2021-04-07,26357.0,Medicinal Sleep Aids
61,2021-04-08,27567.0,Medicinal Sleep Aids
62,2021-04-09,27567.0,Medicinal Sleep Aids
63,2021-04-10,27567.0,Medicinal Sleep Aids
64,2021-04-11,27567.0,Medicinal Sleep Aids
65,2021-04-12,27567.0,Medicinal Sleep Aids
66,2021-04-13,14423.0,Medicinal Sleep Aids
67,2021-04-14,14423.0,Medicinal Sleep Aids
68,2021-04-15,14423.0,Medicinal Sleep Aids
69,2021-04-16,10276.0,Medicinal Sleep Aids
70,2021-04-17,10276.0,Medicinal Sleep Aids
71,2021-04-18,10276.0,Medicinal Sleep Aids
72,2021-04-19,13547.0,Medicinal Sleep Aids
73,2021-04-20,13547.0,Medicinal Sleep Aids
74,2021-04-21,12342.0,Medicinal Sleep Aids
75,2021-04-22,12342.0,Medicinal Sleep Aids
76,2021-04-23,10516.0,Medicinal Sleep Aids
77,2021-04-24,10516.0,Medicinal Sleep Aids
78,2021-04-25,10516.0,Medicinal Sleep Aids
79,2021-04-26,10224.0,Medicinal Sleep Aids
80,2021-04-27,10224.0,Medicinal Sleep Aids
81,2021-04-28,10224.0,Medicinal Sleep Aids
82,2021-04-29,10224.0,Medicinal Sleep Aids
83,2021-04-30,10837.0,Medicinal Sleep Aids
84,2021-05-01,10837.0,Medicinal Sleep Aids
85,2021-05-02,10837.0,Medicinal Sleep Aids
86,2021-05-03,10837.0,Medicinal Sleep Aids
87,2021-05-04,10837.0,Medicinal Sleep Aids
88,2021-05-05,7921.0,Medicinal Sleep Aids
89,2021-05-06,7921.0,Medicinal Sleep Aids
90,2021-05-07,10678.0,Medicinal Sleep Aids
91,2021-05-08,10678.0,Medicinal Sleep Aids
92,2021-05-09,10678.0,Medicinal Sleep Aids
