,date,value,name_B0965YL1Y3
0,2021-05-31,549,Weight Loss
1,2021-06-01,652,Weight Loss
2,2021-06-02,717,Weight Loss
3,2021-06-03,38,Weight Loss
4,2021-06-04,28,Weight Loss
5,2021-06-05,169,Weight Loss
6,2021-06-06,187,Weight Loss
7,2021-06-07,199,Weight Loss
8,2021-06-08,204,Weight Loss
9,2021-06-09,222,Weight Loss
10,2021-06-10,23,Weight Loss
11,2021-06-11,20,Weight Loss
12,2021-06-12,19,Weight Loss
13,2021-06-13,26,Weight Loss
14,2021-06-14,28,Weight Loss
15,2021-06-15,34,Weight Loss
16,2021-06-16,29,Weight Loss
17,2021-06-17,27,Weight Loss
18,2021-06-18,22,Weight Loss
19,2021-06-19,26,Weight Loss
20,2021-06-20,30,Weight Loss
21,2021-06-21,54,Weight Loss
22,2021-06-22,56,Weight Loss
23,2021-06-23,40,Weight Loss
24,2021-06-24,30,Weight Loss
25,2021-06-25,24,Weight Loss
26,2021-06-26,26,Weight Loss
27,2021-06-27,33,Weight Loss
28,2021-06-28,37,Weight Loss
29,2021-06-29,35,Weight Loss
30,2021-06-30,35,Weight Loss
31,2021-07-01,148,Weight Loss
32,2021-07-02,153,Weight Loss
33,2021-07-03,130,Weight Loss
34,2021-07-04,53,Weight Loss
35,2021-07-05,54,Weight Loss
36,2021-07-06,57,Weight Loss
37,2021-07-07,52,Weight Loss
38,2021-07-08,42,Weight Loss
39,2021-07-09,33,Weight Loss
40,2021-07-10,41,Weight Loss
41,2021-07-11,34,Weight Loss
