,date,value,name_B08PQB951B
0,2020-12-10,12563.0,Health Care
1,2020-12-11,12929.0,Health Care
2,2020-12-12,12929.0,Health Care
3,2020-12-13,12929.0,Health Care
4,2020-12-14,12929.0,Health Care
5,2020-12-15,12929.0,Health Care
6,2020-12-16,16671.0,Health Care
7,2020-12-17,16671.0,Health Care
8,2020-12-18,16671.0,Health Care
9,2020-12-19,28586.0,Health Care
10,2020-12-20,28586.0,Health Care
11,2020-12-21,40535.0,Health Care
12,2020-12-22,40535.0,Health Care
13,2020-12-23,40535.0,Health Care
14,2020-12-24,40535.0,Health Care
15,2020-12-25,37586.0,Health Care
16,2020-12-26,37586.0,Health Care
17,2020-12-27,37586.0,Health Care
18,2020-12-28,44310.0,Health Care
19,2020-12-29,44310.0,Health Care
20,2020-12-30,69713.0,Health Care
21,2020-12-31,69713.0,Health Care
22,2021-01-01,69713.0,Health Care
23,2021-01-02,69713.0,Health Care
24,2021-01-03,127255.0,Health Care
25,2021-01-04,127255.0,Health Care
26,2021-01-05,127255.0,Health Care
27,2021-01-06,93067.0,Health Care
28,2021-01-07,93067.0,Health Care
29,2021-01-08,93067.0,Health Care
30,2021-01-09,93067.0,Health Care
31,2021-01-10,93067.0,Health Care
32,2021-01-11,93067.0,Health Care
33,2021-01-12,108022.0,Health Care
34,2021-01-13,108022.0,Health Care
35,2021-01-14,108022.0,Health Care
36,2021-01-15,158981.0,Health Care
37,2021-01-16,158981.0,Health Care
38,2021-01-17,158981.0,Health Care
39,2021-01-18,198593.0,Health Care
40,2021-01-19,198593.0,Health Care
41,2021-01-20,198593.0,Health Care
42,2021-01-21,205317.0,Health Care
43,2021-01-22,205317.0,Health Care
44,2021-01-23,205317.0,Health Care
45,2021-01-24,205317.0,Health Care
46,2021-01-25,205317.0,Health Care
47,2021-01-26,212409.0,Health Care
48,2021-01-27,212409.0,Health Care
49,2021-01-28,212409.0,Health Care
50,2021-01-29,212409.0,Health Care
51,2021-01-30,212409.0,Health Care
52,2021-01-31,212409.0,Health Care
53,2021-02-01,212409.0,Health Care
54,2021-02-02,212409.0,Health Care
55,2021-02-03,222287.0,Health Care
56,2021-02-04,222287.0,Health Care
57,2021-02-05,222287.0,Health Care
58,2021-02-06,222287.0,Health Care
59,2021-02-07,222287.0,Health Care
60,2021-02-08,222287.0,Health Care
61,2021-02-09,222287.0,Health Care
62,2021-02-10,222287.0,Health Care
63,2021-02-11,222287.0,Health Care
64,2021-02-12,222287.0,Health Care
65,2021-02-13,222287.0,Health Care
66,2021-02-14,222287.0,Health Care
