,date,value,name_B07V6T2J41
0,2020-05-25,5149.0,Breathalyzers
1,2020-05-26,8095.0,Breathalyzers
2,2020-05-27,8095.0,Breathalyzers
3,2020-05-28,8095.0,Breathalyzers
4,2020-05-29,8095.0,Breathalyzers
5,2020-05-30,8095.0,Breathalyzers
6,2020-05-31,7323.0,Breathalyzers
7,2020-06-01,7323.0,Breathalyzers
8,2020-06-02,7323.0,Breathalyzers
9,2020-06-03,7323.0,Breathalyzers
10,2020-06-04,7323.0,Breathalyzers
11,2020-06-05,11559.0,Breathalyzers
12,2020-06-06,11453.0,Breathalyzers
13,2020-06-07,8036.0,Breathalyzers
14,2020-06-08,12025.0,Breathalyzers
15,2020-06-09,10981.0,Breathalyzers
16,2020-06-10,11237.0,Breathalyzers
17,2020-06-11,11237.0,Breathalyzers
18,2020-06-12,10333.0,Breathalyzers
19,2020-06-13,9590.0,Breathalyzers
20,2020-06-14,8852.0,Breathalyzers
21,2020-06-15,10503.0,Breathalyzers
22,2020-06-16,10503.0,Breathalyzers
23,2020-06-17,10503.0,Breathalyzers
24,2020-06-18,8498.0,Breathalyzers
25,2020-06-19,8498.0,Breathalyzers
26,2020-06-20,9121.0,Breathalyzers
27,2020-06-21,9121.0,Breathalyzers
28,2020-06-22,9121.0,Breathalyzers
29,2020-06-23,9121.0,Breathalyzers
30,2020-06-24,9121.0,Breathalyzers
31,2020-06-25,12006.0,Breathalyzers
32,2020-06-26,15169.0,Breathalyzers
33,2020-06-27,15169.0,Breathalyzers
34,2020-06-28,16419.0,Breathalyzers
35,2020-06-29,16419.0,Breathalyzers
36,2020-06-30,15430.0,Breathalyzers
37,2020-07-01,15430.0,Breathalyzers
38,2020-07-02,11458.0,Breathalyzers
39,2020-07-03,11458.0,Breathalyzers
40,2020-07-04,14138.0,Breathalyzers
41,2020-07-05,12396.0,Breathalyzers
42,2020-07-06,15223.0,Breathalyzers
43,2020-07-07,15223.0,Breathalyzers
44,2020-07-08,15223.0,Breathalyzers
45,2020-07-09,15223.0,Breathalyzers
46,2020-07-10,15223.0,Breathalyzers
47,2020-07-11,9495.0,Breathalyzers
48,2020-07-12,9495.0,Breathalyzers
49,2020-07-13,9495.0,Breathalyzers
50,2020-07-14,9495.0,Breathalyzers
51,2020-07-15,9495.0,Breathalyzers
52,2020-07-16,14752.0,Breathalyzers
53,2020-07-17,15778.0,Breathalyzers
54,2020-07-18,13278.0,Breathalyzers
55,2020-07-19,13278.0,Breathalyzers
56,2020-07-20,14924.0,Breathalyzers
57,2020-07-21,14924.0,Breathalyzers
58,2020-07-22,15837.0,Breathalyzers
59,2020-07-23,15837.0,Breathalyzers
60,2020-07-24,13991.0,Breathalyzers
61,2020-07-25,13991.0,Breathalyzers
62,2020-07-26,13991.0,Breathalyzers
63,2020-07-27,20653.0,Breathalyzers
64,2020-07-28,22494.0,Breathalyzers
65,2020-07-29,22494.0,Breathalyzers
66,2020-07-30,22494.0,Breathalyzers
67,2020-07-31,22764.0,Breathalyzers
68,2020-08-01,16682.0,Breathalyzers
69,2020-08-02,16682.0,Breathalyzers
70,2020-08-03,16682.0,Breathalyzers
71,2020-08-04,7759.0,Breathalyzers
72,2020-08-05,8309.0,Breathalyzers
73,2020-08-06,8309.0,Breathalyzers
74,2020-08-07,8309.0,Breathalyzers
75,2020-08-08,10121.0,Breathalyzers
76,2020-08-09,10121.0,Breathalyzers
77,2020-08-10,10121.0,Breathalyzers
78,2020-08-11,16324.0,Breathalyzers
79,2020-08-12,16324.0,Breathalyzers
80,2020-08-13,16324.0,Breathalyzers
81,2020-08-14,16324.0,Breathalyzers
82,2020-08-15,19971.0,Breathalyzers
83,2020-08-16,19971.0,Breathalyzers
84,2020-08-17,19971.0,Breathalyzers
85,2020-08-18,16164.0,Breathalyzers
86,2020-08-19,16499.0,Breathalyzers
87,2020-08-20,16499.0,Breathalyzers
88,2020-08-21,16499.0,Breathalyzers
89,2020-08-22,16499.0,Breathalyzers
90,2020-08-23,16499.0,Breathalyzers
91,2020-08-24,16538.0,Breathalyzers
92,2020-08-25,16538.0,Breathalyzers
93,2020-08-26,19691.0,Breathalyzers
94,2020-08-27,19691.0,Breathalyzers
95,2020-08-28,19691.0,Breathalyzers
96,2020-08-29,19691.0,Breathalyzers
97,2020-08-30,19691.0,Breathalyzers
98,2020-08-31,19691.0,Breathalyzers
99,2020-09-01,18211.0,Breathalyzers
100,2020-09-02,18211.0,Breathalyzers
101,2020-09-03,18211.0,Breathalyzers
102,2020-09-04,18211.0,Breathalyzers
103,2020-09-05,16005.0,Breathalyzers
104,2020-09-06,16005.0,Breathalyzers
105,2020-09-07,15244.0,Breathalyzers
106,2020-09-08,15244.0,Breathalyzers
107,2020-09-09,15244.0,Breathalyzers
108,2020-09-10,15244.0,Breathalyzers
109,2020-09-11,15244.0,Breathalyzers
110,2020-09-12,15244.0,Breathalyzers
111,2020-09-13,14571.0,Breathalyzers
112,2020-09-14,14571.0,Breathalyzers
113,2020-09-15,14571.0,Breathalyzers
114,2020-09-16,16384.0,Breathalyzers
115,2020-09-17,14864.0,Breathalyzers
116,2020-09-18,14864.0,Breathalyzers
117,2020-09-19,14864.0,Breathalyzers
118,2020-09-20,14864.0,Breathalyzers
119,2020-09-21,17765.0,Breathalyzers
120,2020-09-22,21788.0,Breathalyzers
121,2020-09-23,21788.0,Breathalyzers
122,2020-09-24,19903.0,Breathalyzers
123,2020-09-25,19903.0,Breathalyzers
124,2020-09-26,19903.0,Breathalyzers
125,2020-09-27,19903.0,Breathalyzers
126,2020-09-28,22745.0,Breathalyzers
127,2020-09-29,22745.0,Breathalyzers
128,2020-09-30,22745.0,Breathalyzers
129,2020-10-01,22439.0,Breathalyzers
130,2020-10-02,22439.0,Breathalyzers
131,2020-10-03,22439.0,Breathalyzers
132,2020-10-04,22439.0,Breathalyzers
133,2020-10-05,22439.0,Breathalyzers
134,2020-10-06,24444.0,Breathalyzers
135,2020-10-07,17920.0,Breathalyzers
136,2020-10-08,17920.0,Breathalyzers
137,2020-10-09,17920.0,Breathalyzers
138,2020-10-10,22680.0,Breathalyzers
139,2020-10-11,22680.0,Breathalyzers
140,2020-10-12,22680.0,Breathalyzers
