,date,value,name_B08532LRTM
0,2020-05-27,15492.0,Health Care
1,2020-05-28,14452.0,Health Care
2,2020-05-29,20368.0,Health Care
3,2020-05-30,20368.0,Health Care
4,2020-05-31,20368.0,Health Care
5,2020-06-01,19576.0,Health Care
6,2020-06-02,20515.0,Health Care
7,2020-06-03,20515.0,Health Care
8,2020-06-04,20515.0,Health Care
9,2020-06-05,19726.0,Health Care
10,2020-06-06,22168.0,Health Care
11,2020-06-07,22168.0,Health Care
12,2020-06-08,22168.0,Health Care
13,2020-06-09,23724.0,Health Care
14,2020-06-10,29574.0,Health Care
15,2020-06-11,29574.0,Health Care
16,2020-06-12,29574.0,Health Care
17,2020-06-13,20179.0,Health Care
18,2020-06-14,21034.0,Health Care
19,2020-06-15,21034.0,Health Care
20,2020-06-16,21034.0,Health Care
21,2020-06-17,21034.0,Health Care
22,2020-06-18,21034.0,Health Care
23,2020-06-19,14317.0,Health Care
24,2020-06-20,12940.0,Health Care
25,2020-06-21,12940.0,Health Care
26,2020-06-22,12940.0,Health Care
27,2020-06-23,12940.0,Health Care
28,2020-06-24,19575.0,Health Care
29,2020-06-25,19575.0,Health Care
30,2020-06-26,19575.0,Health Care
31,2020-06-27,20097.0,Health Care
32,2020-06-28,20097.0,Health Care
33,2020-06-29,20097.0,Health Care
34,2020-06-30,27598.0,Health Care
35,2020-07-01,29151.0,Health Care
36,2020-07-02,25168.0,Health Care
37,2020-07-03,23038.0,Health Care
38,2020-07-04,19109.0,Health Care
39,2020-07-05,26664.0,Health Care
40,2020-07-06,24133.0,Health Care
41,2020-07-07,24133.0,Health Care
42,2020-07-08,24133.0,Health Care
43,2020-07-09,24133.0,Health Care
44,2020-07-10,22827.0,Health Care
45,2020-07-11,22827.0,Health Care
46,2020-07-12,22827.0,Health Care
47,2020-07-13,22827.0,Health Care
48,2020-07-14,8575.0,Health Care
49,2020-07-15,8575.0,Health Care
50,2020-07-16,8575.0,Health Care
51,2020-07-17,16959.0,Health Care
52,2020-07-18,16240.0,Health Care
53,2020-07-19,16240.0,Health Care
54,2020-07-20,17528.0,Health Care
55,2020-07-21,11302.0,Health Care
56,2020-07-22,12566.0,Health Care
57,2020-07-23,11546.0,Health Care
58,2020-07-24,13989.0,Health Care
59,2020-07-25,13989.0,Health Care
60,2020-07-26,13989.0,Health Care
61,2020-07-27,13507.0,Health Care
62,2020-07-28,11239.0,Health Care
63,2020-07-29,11239.0,Health Care
64,2020-07-30,11239.0,Health Care
65,2020-07-31,15924.0,Health Care
