,date,value,name_B00Q4SB2AY
136,2020-07-10,18094.0,Ankle Braces
137,2020-07-11,18094.0,Ankle Braces
138,2020-07-12,18094.0,Ankle Braces
139,2020-07-13,21709.0,Ankle Braces
140,2020-07-14,20330.0,Ankle Braces
141,2020-07-15,20330.0,Ankle Braces
142,2020-07-16,20330.0,Ankle Braces
143,2020-07-17,22638.0,Ankle Braces
144,2020-07-18,22638.0,Ankle Braces
145,2020-07-19,24761.0,Ankle Braces
146,2020-07-20,22273.0,Ankle Braces
147,2020-07-21,22273.0,Ankle Braces
148,2020-07-22,20031.0,Ankle Braces
149,2020-07-23,20031.0,Ankle Braces
150,2020-07-24,20031.0,Ankle Braces
151,2020-07-25,23671.0,Ankle Braces
152,2020-07-26,25830.0,Ankle Braces
153,2020-07-27,29447.0,Ankle Braces
154,2020-07-28,22801.0,Ankle Braces
155,2020-07-29,23118.0,Ankle Braces
156,2020-07-30,23118.0,Ankle Braces
157,2020-07-31,21642.0,Ankle Braces
158,2020-08-01,21642.0,Ankle Braces
159,2020-08-02,20803.0,Ankle Braces
160,2020-08-03,20803.0,Ankle Braces
161,2020-08-04,20815.0,Ankle Braces
162,2020-08-05,19928.0,Ankle Braces
163,2020-08-06,19928.0,Ankle Braces
164,2020-08-07,22012.0,Ankle Braces
165,2020-08-08,22012.0,Ankle Braces
166,2020-08-09,22012.0,Ankle Braces
167,2020-08-10,22012.0,Ankle Braces
168,2020-08-11,23135.0,Ankle Braces
169,2020-08-12,19478.0,Ankle Braces
170,2020-08-13,19478.0,Ankle Braces
171,2020-08-14,19478.0,Ankle Braces
172,2020-08-15,28273.0,Ankle Braces
173,2020-08-16,28273.0,Ankle Braces
174,2020-08-17,28273.0,Ankle Braces
175,2020-08-18,22731.0,Ankle Braces
176,2020-08-19,22731.0,Ankle Braces
177,2020-08-20,22731.0,Ankle Braces
178,2020-08-21,23736.0,Ankle Braces
179,2020-08-22,17893.0,Ankle Braces
180,2020-08-23,20992.0,Ankle Braces
181,2020-08-24,20992.0,Ankle Braces
182,2020-08-25,20992.0,Ankle Braces
183,2020-08-26,20992.0,Ankle Braces
184,2020-08-27,23148.0,Ankle Braces
185,2020-08-28,23148.0,Ankle Braces
186,2020-08-29,24216.0,Ankle Braces
187,2020-08-30,19361.0,Ankle Braces
188,2020-08-31,27026.0,Ankle Braces
189,2020-09-01,24113.0,Ankle Braces
190,2020-09-02,24113.0,Ankle Braces
191,2020-09-03,24113.0,Ankle Braces
192,2020-09-04,22714.0,Ankle Braces
193,2020-09-05,22714.0,Ankle Braces
194,2020-09-06,26587.0,Ankle Braces
195,2020-09-07,31526.0,Ankle Braces
196,2020-09-08,31526.0,Ankle Braces
197,2020-09-09,25874.0,Ankle Braces
198,2020-09-10,21567.0,Ankle Braces
199,2020-09-11,21567.0,Ankle Braces
200,2020-09-12,21567.0,Ankle Braces
201,2020-09-13,20923.0,Ankle Braces
202,2020-09-14,21317.0,Ankle Braces
203,2020-09-15,21345.0,Ankle Braces
204,2020-09-16,21345.0,Ankle Braces
205,2020-09-17,17303.0,Ankle Braces
206,2020-09-18,17164.0,Ankle Braces
207,2020-09-19,17164.0,Ankle Braces
208,2020-09-20,22822.0,Ankle Braces
209,2020-09-21,26720.0,Ankle Braces
210,2020-09-22,21363.0,Ankle Braces
211,2020-09-23,16211.0,Ankle Braces
212,2020-09-24,20715.0,Ankle Braces
213,2020-09-25,20715.0,Ankle Braces
214,2020-09-26,20715.0,Ankle Braces
215,2020-09-27,20715.0,Ankle Braces
216,2020-09-28,20109.0,Ankle Braces
217,2020-09-29,20109.0,Ankle Braces
218,2020-09-30,20109.0,Ankle Braces
219,2020-10-01,20109.0,Ankle Braces
220,2020-10-02,16622.0,Ankle Braces
221,2020-10-03,18255.0,Ankle Braces
222,2020-10-04,18255.0,Ankle Braces
223,2020-10-05,18255.0,Ankle Braces
224,2020-10-06,19241.0,Ankle Braces
225,2020-10-07,19241.0,Ankle Braces
226,2020-10-08,19135.0,Ankle Braces
227,2020-10-09,19135.0,Ankle Braces
228,2020-10-10,21956.0,Ankle Braces
229,2020-10-11,18821.0,Ankle Braces
230,2020-10-12,21937.0,Ankle Braces
231,2020-10-13,21429.0,Ankle Braces
232,2020-10-14,26246.0,Ankle Braces
233,2020-10-15,26246.0,Ankle Braces
234,2020-10-16,17632.0,Ankle Braces
235,2020-10-17,18898.0,Ankle Braces
236,2020-10-18,17717.0,Ankle Braces
237,2020-10-19,18198.0,Ankle Braces
238,2020-10-20,17103.0,Ankle Braces
239,2020-10-21,17103.0,Ankle Braces
240,2020-10-22,19434.0,Ankle Braces
241,2020-10-23,19434.0,Ankle Braces
242,2020-10-24,19434.0,Ankle Braces
243,2020-10-25,16850.0,Ankle Braces
244,2020-10-26,19860.0,Ankle Braces
245,2020-10-27,19860.0,Ankle Braces
246,2020-10-28,22214.0,Ankle Braces
247,2020-10-29,20669.0,Ankle Braces
248,2020-10-30,18356.0,Ankle Braces
249,2020-10-31,16128.0,Ankle Braces
250,2020-11-01,17190.0,Ankle Braces
251,2020-11-02,19775.0,Ankle Braces
252,2020-11-03,20055.0,Ankle Braces
253,2020-11-04,18226.0,Ankle Braces
254,2020-11-05,18226.0,Ankle Braces
255,2020-11-06,18226.0,Ankle Braces
256,2020-11-07,15345.0,Ankle Braces
257,2020-11-08,15345.0,Ankle Braces
258,2020-11-09,15345.0,Ankle Braces
259,2020-11-10,19191.0,Ankle Braces
260,2020-11-11,17560.0,Ankle Braces
261,2020-11-12,19050.0,Ankle Braces
262,2020-11-13,18254.0,Ankle Braces
263,2020-11-14,21761.0,Ankle Braces
264,2020-11-15,25333.0,Ankle Braces
265,2020-11-16,20040.0,Ankle Braces
266,2020-11-17,20277.0,Ankle Braces
267,2020-11-18,16040.0,Ankle Braces
268,2020-11-19,16522.0,Ankle Braces
269,2020-11-20,19301.0,Ankle Braces
270,2020-11-21,19301.0,Ankle Braces
271,2020-11-22,16893.0,Ankle Braces
272,2020-11-23,19379.0,Ankle Braces
273,2020-11-24,19379.0,Ankle Braces
274,2020-11-25,19379.0,Ankle Braces
275,2020-11-26,17550.0,Ankle Braces
276,2020-11-27,22585.0,Ankle Braces
277,2020-11-28,19916.0,Ankle Braces
278,2020-11-29,20370.0,Ankle Braces
279,2020-11-30,23409.0,Ankle Braces
280,2020-12-01,20397.0,Ankle Braces
281,2020-12-02,18851.0,Ankle Braces
282,2020-12-03,18851.0,Ankle Braces
283,2020-12-04,18851.0,Ankle Braces
284,2020-12-05,18989.0,Ankle Braces
285,2020-12-06,18989.0,Ankle Braces
286,2020-12-07,23627.0,Ankle Braces
287,2020-12-08,22483.0,Ankle Braces
288,2020-12-09,21073.0,Ankle Braces
289,2020-12-10,22561.0,Ankle Braces
290,2020-12-11,16874.0,Ankle Braces
291,2020-12-12,19961.0,Ankle Braces
292,2020-12-13,21027.0,Ankle Braces
293,2020-12-14,23051.0,Ankle Braces
294,2020-12-15,22928.0,Ankle Braces
295,2020-12-16,22401.0,Ankle Braces
296,2020-12-17,23328.0,Ankle Braces
297,2020-12-18,24144.0,Ankle Braces
298,2020-12-19,20457.0,Ankle Braces
299,2020-12-20,25505.0,Ankle Braces
300,2020-12-21,26477.0,Ankle Braces
301,2020-12-22,28201.0,Ankle Braces
302,2020-12-23,28201.0,Ankle Braces
303,2020-12-24,26114.0,Ankle Braces
304,2020-12-25,24072.0,Ankle Braces
305,2020-12-26,25808.0,Ankle Braces
306,2020-12-27,28885.0,Ankle Braces
307,2020-12-28,26584.0,Ankle Braces
308,2020-12-29,20969.0,Ankle Braces
309,2020-12-30,23438.0,Ankle Braces
310,2020-12-31,18455.0,Ankle Braces
311,2021-01-01,18087.0,Ankle Braces
312,2021-01-02,21119.0,Ankle Braces
313,2021-01-03,26158.0,Ankle Braces
314,2021-01-04,26522.0,Ankle Braces
315,2021-01-05,22636.0,Ankle Braces
316,2021-01-06,29924.0,Ankle Braces
317,2021-01-07,25189.0,Ankle Braces
318,2021-01-08,20931.0,Ankle Braces
319,2021-01-09,22453.0,Ankle Braces
320,2021-01-10,20879.0,Ankle Braces
321,2021-01-11,32462.0,Ankle Braces
322,2021-01-12,32462.0,Ankle Braces
323,2021-01-13,32462.0,Ankle Braces
324,2021-01-14,21028.0,Ankle Braces
325,2021-01-15,15751.0,Ankle Braces
326,2021-01-16,19035.0,Ankle Braces
327,2021-01-17,21046.0,Ankle Braces
328,2021-01-18,24343.0,Ankle Braces
329,2021-01-19,17575.0,Ankle Braces
330,2021-01-20,17959.0,Ankle Braces
331,2021-01-21,17959.0,Ankle Braces
332,2021-01-22,19851.0,Ankle Braces
333,2021-01-23,18319.0,Ankle Braces
334,2021-01-24,16061.0,Ankle Braces
335,2021-01-25,21112.0,Ankle Braces
336,2021-01-26,21112.0,Ankle Braces
337,2021-01-27,21112.0,Ankle Braces
338,2021-01-28,21112.0,Ankle Braces
339,2021-01-29,20251.0,Ankle Braces
340,2021-01-30,19364.0,Ankle Braces
341,2021-01-31,19364.0,Ankle Braces
342,2021-02-01,29101.0,Ankle Braces
343,2021-02-02,21933.0,Ankle Braces
344,2021-02-03,20372.0,Ankle Braces
345,2021-02-04,20372.0,Ankle Braces
346,2021-02-05,20372.0,Ankle Braces
347,2021-02-06,17280.0,Ankle Braces
348,2021-02-07,17280.0,Ankle Braces
349,2021-02-08,17280.0,Ankle Braces
350,2021-02-09,17280.0,Ankle Braces
351,2021-02-10,18953.0,Ankle Braces
352,2021-02-11,20379.0,Ankle Braces
353,2021-02-12,20479.0,Ankle Braces
354,2021-02-13,19018.0,Ankle Braces
355,2021-02-14,19018.0,Ankle Braces
356,2021-02-15,17731.0,Ankle Braces
357,2021-02-16,22673.0,Ankle Braces
358,2021-02-17,22673.0,Ankle Braces
359,2021-02-18,20482.0,Ankle Braces
360,2021-02-19,20482.0,Ankle Braces
361,2021-02-20,19165.0,Ankle Braces
362,2021-02-21,19274.0,Ankle Braces
363,2021-02-22,22889.0,Ankle Braces
364,2021-02-23,18510.0,Ankle Braces
365,2021-02-24,21870.0,Ankle Braces
366,2021-02-25,23238.0,Ankle Braces
367,2021-02-26,18892.0,Ankle Braces
368,2021-02-27,16524.0,Ankle Braces
369,2021-02-28,19290.0,Ankle Braces
370,2021-03-01,19777.0,Ankle Braces
371,2021-03-02,20987.0,Ankle Braces
372,2021-03-03,21414.0,Ankle Braces
373,2021-03-04,17705.0,Ankle Braces
374,2021-03-05,15880.0,Ankle Braces
375,2021-03-06,15875.0,Ankle Braces
376,2021-03-07,17065.0,Ankle Braces
377,2021-03-08,18593.0,Ankle Braces
378,2021-03-09,15864.0,Ankle Braces
379,2021-03-10,14747.0,Ankle Braces
380,2021-03-11,15212.0,Ankle Braces
381,2021-03-12,13501.0,Ankle Braces
382,2021-03-13,13514.0,Ankle Braces
383,2021-03-14,16102.0,Ankle Braces
384,2021-03-15,20718.0,Ankle Braces
385,2021-03-16,18478.0,Ankle Braces
386,2021-03-17,19290.0,Ankle Braces
387,2021-03-18,19095.0,Ankle Braces
388,2021-03-19,19095.0,Ankle Braces
389,2021-03-20,19095.0,Ankle Braces
390,2021-03-21,19800.0,Ankle Braces
391,2021-03-22,19720.0,Ankle Braces
392,2021-03-23,15869.0,Ankle Braces
393,2021-03-24,16510.0,Ankle Braces
394,2021-03-25,13158.0,Ankle Braces
395,2021-03-26,12279.0,Ankle Braces
396,2021-03-27,15201.0,Ankle Braces
397,2021-03-28,15201.0,Ankle Braces
398,2021-03-29,17843.0,Ankle Braces
399,2021-03-30,12614.0,Ankle Braces
400,2021-03-31,16355.0,Ankle Braces
401,2021-04-01,19056.0,Ankle Braces
402,2021-04-02,19260.0,Ankle Braces
403,2021-04-03,19260.0,Ankle Braces
404,2021-04-04,19028.0,Ankle Braces
405,2021-04-05,21088.0,Ankle Braces
406,2021-04-06,19110.0,Ankle Braces
407,2021-04-07,19308.0,Ankle Braces
408,2021-04-08,18037.0,Ankle Braces
409,2021-04-09,17346.0,Ankle Braces
410,2021-04-10,18332.0,Ankle Braces
411,2021-04-11,18724.0,Ankle Braces
412,2021-04-12,18724.0,Ankle Braces
413,2021-04-13,15707.0,Ankle Braces
414,2021-04-14,13772.0,Ankle Braces
415,2021-04-15,13772.0,Ankle Braces
416,2021-04-16,12756.0,Ankle Braces
417,2021-04-17,15627.0,Ankle Braces
418,2021-04-18,15627.0,Ankle Braces
419,2021-04-19,16816.0,Ankle Braces
420,2021-04-20,14990.0,Ankle Braces
421,2021-04-21,15447.0,Ankle Braces
422,2021-04-22,15589.0,Ankle Braces
423,2021-04-23,18218.0,Ankle Braces
424,2021-04-24,18407.0,Ankle Braces
425,2021-04-25,18407.0,Ankle Braces
426,2021-04-26,20365.0,Ankle Braces
427,2021-04-27,16494.0,Ankle Braces
428,2021-04-28,14898.0,Ankle Braces
429,2021-04-29,15691.0,Ankle Braces
430,2021-04-30,15109.0,Ankle Braces
431,2021-05-01,14275.0,Ankle Braces
432,2021-05-02,16504.0,Ankle Braces
433,2021-05-03,15143.0,Ankle Braces
434,2021-05-04,15133.0,Ankle Braces
435,2021-05-05,19122.0,Ankle Braces
436,2021-05-06,19122.0,Ankle Braces
437,2021-05-07,14703.0,Ankle Braces
438,2021-05-08,16852.0,Ankle Braces
439,2021-05-09,16623.0,Ankle Braces
440,2021-05-10,16623.0,Ankle Braces
441,2021-05-11,17233.0,Ankle Braces
442,2021-05-12,16177.0,Ankle Braces
443,2021-05-13,18528.0,Ankle Braces
444,2021-05-14,14506.0,Ankle Braces
445,2021-05-15,14506.0,Ankle Braces
446,2021-05-16,19922.0,Ankle Braces
447,2021-05-17,21003.0,Ankle Braces
448,2021-05-18,17113.0,Ankle Braces
449,2021-05-19,17004.0,Ankle Braces
450,2021-05-20,16092.0,Ankle Braces
451,2021-05-21,18111.0,Ankle Braces
452,2021-05-22,16513.0,Ankle Braces
453,2021-05-23,18291.0,Ankle Braces
454,2021-05-24,18272.0,Ankle Braces
455,2021-05-25,14020.0,Ankle Braces
456,2021-05-26,14924.0,Ankle Braces
457,2021-05-27,13050.0,Ankle Braces
458,2021-05-28,16129.0,Ankle Braces
459,2021-05-29,16129.0,Ankle Braces
460,2021-05-30,16129.0,Ankle Braces
461,2021-05-31,18569.0,Ankle Braces
462,2021-06-01,18069.0,Ankle Braces
463,2021-06-02,16328.0,Ankle Braces
464,2021-06-03,17199.0,Ankle Braces
465,2021-06-04,14843.0,Ankle Braces
466,2021-06-05,17842.0,Ankle Braces
467,2021-06-06,17547.0,Ankle Braces
468,2021-06-07,14474.0,Ankle Braces
469,2021-06-08,16662.0,Ankle Braces
470,2021-06-09,15962.0,Ankle Braces
471,2021-06-10,15789.0,Ankle Braces
472,2021-06-11,16964.0,Ankle Braces
473,2021-06-12,15177.0,Ankle Braces
474,2021-06-13,17353.0,Ankle Braces
475,2021-06-14,17266.0,Ankle Braces
476,2021-06-15,16972.0,Ankle Braces
477,2021-06-16,21812.0,Ankle Braces
478,2021-06-17,15419.0,Ankle Braces
479,2021-06-18,17844.0,Ankle Braces
480,2021-06-19,17844.0,Ankle Braces
481,2021-06-20,15543.0,Ankle Braces
482,2021-06-21,16246.0,Ankle Braces
483,2021-06-22,21457.0,Ankle Braces
484,2021-06-23,25705.0,Ankle Braces
485,2021-06-24,21687.0,Ankle Braces
486,2021-06-25,20386.0,Ankle Braces
487,2021-06-26,20386.0,Ankle Braces
488,2021-06-27,20386.0,Ankle Braces
489,2021-06-28,22157.0,Ankle Braces
490,2021-06-29,22157.0,Ankle Braces
491,2021-06-30,26369.0,Ankle Braces
492,2021-07-01,22888.0,Ankle Braces
493,2021-07-02,22888.0,Ankle Braces
494,2021-07-03,15699.0,Ankle Braces
495,2021-07-04,19714.0,Ankle Braces
496,2021-07-05,23890.0,Ankle Braces
497,2021-07-06,17493.0,Ankle Braces
498,2021-07-07,15056.0,Ankle Braces
499,2021-07-08,14315.0,Ankle Braces
500,2021-07-09,16409.0,Ankle Braces
501,2021-07-10,11591.0,Ankle Braces
502,2021-07-11,16771.0,Ankle Braces
