,date,value,name_B08ZXK2RHW
0,2021-03-26,111240.0,Health Care
1,2021-03-27,133481.0,Health Care
2,2021-03-28,133481.0,Health Care
3,2021-03-29,171545.0,Health Care
4,2021-03-30,171545.0,Health Care
5,2021-03-31,155749.0,Health Care
6,2021-04-01,155749.0,Health Care
7,2021-04-02,155749.0,Health Care
8,2021-04-03,155749.0,Health Care
9,2021-04-04,155749.0,Health Care
10,2021-04-05,148887.0,Health Care
11,2021-04-06,75850.0,Health Care
12,2021-04-07,75850.0,Health Care
13,2021-04-08,114603.0,Health Care
14,2021-04-09,114603.0,Health Care
15,2021-04-10,114603.0,Health Care
16,2021-04-11,114603.0,Health Care
17,2021-04-12,114603.0,Health Care
18,2021-04-13,169829.0,Health Care
19,2021-04-14,169829.0,Health Care
20,2021-04-15,169829.0,Health Care
21,2021-04-16,169829.0,Health Care
22,2021-04-17,169829.0,Health Care
23,2021-04-18,222491.0,Health Care
24,2021-04-19,222491.0,Health Care
25,2021-04-20,222491.0,Health Care
26,2021-04-21,179312.0,Health Care
27,2021-04-22,179312.0,Health Care
28,2021-04-23,179312.0,Health Care
29,2021-04-24,154818.0,Health Care
30,2021-04-25,154818.0,Health Care
31,2021-04-26,154818.0,Health Care
32,2021-04-27,154818.0,Health Care
33,2021-04-28,154818.0,Health Care
34,2021-04-29,154818.0,Health Care
35,2021-04-30,154818.0,Health Care
36,2021-05-01,154818.0,Health Care
37,2021-05-02,154818.0,Health Care
38,2021-05-03,154818.0,Health Care
39,2021-05-04,154818.0,Health Care
40,2021-05-05,154818.0,Health Care
41,2021-05-06,154818.0,Health Care
42,2021-05-07,284721.0,Health Care
43,2021-05-08,284721.0,Health Care
44,2021-05-09,284721.0,Health Care
45,2021-05-10,215683.0,Health Care
46,2021-05-11,215683.0,Health Care
47,2021-05-12,215683.0,Health Care
48,2021-05-13,124921.0,Health Care
49,2021-05-14,150482.0,Health Care
50,2021-05-15,150482.0,Health Care
51,2021-05-16,150482.0,Health Care
52,2021-05-17,136236.0,Health Care
53,2021-05-18,136236.0,Health Care
54,2021-05-19,136236.0,Health Care
55,2021-05-20,136236.0,Health Care
56,2021-05-21,136236.0,Health Care
57,2021-05-22,136236.0,Health Care
58,2021-05-23,136236.0,Health Care
59,2021-05-24,136236.0,Health Care
60,2021-05-25,136236.0,Health Care
61,2021-05-26,44136.0,Health Care
62,2021-05-27,44136.0,Health Care
63,2021-05-28,44136.0,Health Care
64,2021-05-29,44136.0,Health Care
65,2021-05-30,44136.0,Health Care
66,2021-05-31,17208.0,Health Care
67,2021-06-01,17208.0,Health Care
68,2021-06-02,57588.0,Health Care
69,2021-06-03,57588.0,Health Care
70,2021-06-04,57588.0,Health Care
71,2021-06-05,57588.0,Health Care
72,2021-06-06,57588.0,Health Care
73,2021-06-07,57588.0,Health Care
74,2021-06-08,57588.0,Health Care
75,2021-06-09,57588.0,Health Care
76,2021-06-10,57588.0,Health Care
77,2021-06-11,57588.0,Health Care
78,2021-06-12,57588.0,Health Care
79,2021-06-13,57588.0,Health Care
80,2021-06-14,57588.0,Health Care
81,2021-06-15,57588.0,Health Care
82,2021-06-16,223026.0,Health Care
83,2021-06-17,223026.0,Health Care
84,2021-06-18,223026.0,Health Care
85,2021-06-19,195047.0,Health Care
86,2021-06-20,195047.0,Health Care
87,2021-06-21,195047.0,Health Care
88,2021-06-22,138196.0,Health Care
89,2021-06-23,138196.0,Health Care
90,2021-06-24,138196.0,Health Care
91,2021-06-25,138196.0,Health Care
92,2021-06-26,138196.0,Health Care
93,2021-06-27,138196.0,Health Care
94,2021-06-28,212716.0,Health Care
95,2021-06-29,212716.0,Health Care
96,2021-06-30,212716.0,Health Care
97,2021-07-01,212716.0,Health Care
98,2021-07-02,212716.0,Health Care
99,2021-07-03,212716.0,Health Care
100,2021-07-04,212716.0,Health Care
101,2021-07-05,225574.0,Health Care
102,2021-07-06,225574.0,Health Care
103,2021-07-07,225574.0,Health Care
104,2021-07-08,225574.0,Health Care
105,2021-07-09,287065.0,Health Care
