,date,value,name_B077QNWBQ7
0,2020-02-21,5575.0,Back Braces
1,2020-02-22,5575.0,Back Braces
2,2020-02-23,5575.0,Back Braces
3,2020-02-24,5575.0,Back Braces
4,2020-02-25,6342.0,Back Braces
5,2020-02-26,-1.0,Back Braces
6,2020-02-27,-1.0,Back Braces
7,2020-02-28,-1.0,Back Braces
8,2020-02-29,-1.0,Back Braces
9,2020-03-01,-1.0,Back Braces
10,2020-03-02,-1.0,Back Braces
11,2020-03-03,-1.0,Back Braces
12,2020-03-04,-1.0,Back Braces
13,2020-03-05,-1.0,Back Braces
14,2020-03-06,-1.0,Back Braces
15,2020-03-07,-1.0,Back Braces
16,2020-03-08,-1.0,Back Braces
17,2020-03-09,-1.0,Back Braces
18,2020-03-10,-1.0,Back Braces
19,2020-03-11,-1.0,Back Braces
20,2020-03-12,-1.0,Back Braces
21,2020-03-13,-1.0,Back Braces
22,2020-03-14,-1.0,Back Braces
23,2020-03-15,-1.0,Back Braces
24,2020-03-16,-1.0,Back Braces
25,2020-03-17,-1.0,Back Braces
26,2020-03-18,-1.0,Back Braces
27,2020-03-19,-1.0,Back Braces
28,2020-03-20,-1.0,Back Braces
29,2020-03-21,-1.0,Back Braces
30,2020-03-22,-1.0,Back Braces
31,2020-03-23,-1.0,Back Braces
32,2020-03-24,-1.0,Back Braces
33,2020-03-25,-1.0,Back Braces
34,2020-03-26,-1.0,Back Braces
35,2020-03-27,-1.0,Back Braces
36,2020-03-28,-1.0,Back Braces
37,2020-03-29,-1.0,Back Braces
38,2020-03-30,-1.0,Back Braces
39,2020-03-31,-1.0,Back Braces
40,2020-04-01,-1.0,Back Braces
41,2020-04-02,-1.0,Back Braces
42,2020-04-03,-1.0,Back Braces
43,2020-04-04,-1.0,Back Braces
44,2020-04-05,-1.0,Back Braces
45,2020-04-06,-1.0,Back Braces
46,2020-04-07,-1.0,Back Braces
47,2020-04-08,-1.0,Back Braces
48,2020-04-09,-1.0,Back Braces
49,2020-04-10,-1.0,Back Braces
50,2020-04-11,-1.0,Back Braces
51,2020-04-12,-1.0,Back Braces
52,2020-04-13,-1.0,Back Braces
53,2020-04-14,-1.0,Back Braces
54,2020-04-15,-1.0,Back Braces
55,2020-04-16,-1.0,Back Braces
56,2020-04-17,-1.0,Back Braces
57,2020-04-18,-1.0,Back Braces
58,2020-04-19,-1.0,Back Braces
59,2020-04-20,-1.0,Back Braces
60,2020-04-21,-1.0,Back Braces
61,2020-04-22,-1.0,Back Braces
62,2020-04-23,-1.0,Back Braces
63,2020-04-24,-1.0,Back Braces
64,2020-04-25,-1.0,Back Braces
65,2020-04-26,-1.0,Back Braces
66,2020-04-27,-1.0,Back Braces
67,2020-04-28,-1.0,Back Braces
68,2020-04-29,-1.0,Back Braces
69,2020-04-30,-1.0,Back Braces
70,2020-05-01,-1.0,Back Braces
71,2020-05-02,-1.0,Back Braces
72,2020-05-03,-1.0,Back Braces
73,2020-05-04,-1.0,Back Braces
74,2020-05-05,-1.0,Back Braces
75,2020-05-06,-1.0,Back Braces
76,2020-05-07,-1.0,Back Braces
77,2020-05-08,-1.0,Back Braces
78,2020-05-09,-1.0,Back Braces
79,2020-05-10,-1.0,Back Braces
80,2020-05-11,-1.0,Back Braces
81,2020-05-12,-1.0,Back Braces
82,2020-05-13,-1.0,Back Braces
83,2020-05-14,-1.0,Back Braces
84,2020-05-15,-1.0,Back Braces
85,2020-05-16,-1.0,Back Braces
86,2020-05-17,-1.0,Back Braces
87,2020-05-18,-1.0,Back Braces
88,2020-05-19,-1.0,Back Braces
89,2020-05-20,-1.0,Back Braces
90,2020-05-21,-1.0,Back Braces
91,2020-05-22,7282.0,Back Braces
92,2020-05-23,7282.0,Back Braces
93,2020-05-24,7282.0,Back Braces
94,2020-05-25,7213.0,Back Braces
95,2020-05-26,8203.0,Back Braces
96,2020-05-27,7097.0,Back Braces
97,2020-05-28,7434.0,Back Braces
98,2020-05-29,7434.0,Back Braces
99,2020-05-30,7434.0,Back Braces
100,2020-05-31,7434.0,Back Braces
101,2020-06-01,7434.0,Back Braces
102,2020-06-02,8635.0,Back Braces
103,2020-06-03,9110.0,Back Braces
104,2020-06-04,9110.0,Back Braces
105,2020-06-05,8852.0,Back Braces
106,2020-06-06,9903.0,Back Braces
107,2020-06-07,9947.0,Back Braces
108,2020-06-08,9947.0,Back Braces
109,2020-06-09,11246.0,Back Braces
110,2020-06-10,11194.0,Back Braces
111,2020-06-11,12307.0,Back Braces
112,2020-06-12,11223.0,Back Braces
113,2020-06-13,10704.0,Back Braces
114,2020-06-14,10344.0,Back Braces
115,2020-06-15,10271.0,Back Braces
116,2020-06-16,9364.0,Back Braces
117,2020-06-17,9364.0,Back Braces
118,2020-06-18,9364.0,Back Braces
119,2020-06-19,10366.0,Back Braces
120,2020-06-20,10020.0,Back Braces
121,2020-06-21,10451.0,Back Braces
122,2020-06-22,8806.0,Back Braces
123,2020-06-23,9906.0,Back Braces
124,2020-06-24,10340.0,Back Braces
125,2020-06-25,11973.0,Back Braces
126,2020-06-26,10513.0,Back Braces
127,2020-06-27,10760.0,Back Braces
128,2020-06-28,11614.0,Back Braces
129,2020-06-29,10915.0,Back Braces
130,2020-06-30,12391.0,Back Braces
131,2020-07-01,13599.0,Back Braces
132,2020-07-02,13599.0,Back Braces
133,2020-07-03,11267.0,Back Braces
134,2020-07-04,12393.0,Back Braces
135,2020-07-05,12393.0,Back Braces
136,2020-07-06,12393.0,Back Braces
137,2020-07-07,12816.0,Back Braces
138,2020-07-08,13152.0,Back Braces
139,2020-07-09,9545.0,Back Braces
140,2020-07-10,10538.0,Back Braces
141,2020-07-11,11633.0,Back Braces
142,2020-07-12,11633.0,Back Braces
143,2020-07-13,11944.0,Back Braces
144,2020-07-14,13497.0,Back Braces
145,2020-07-15,13497.0,Back Braces
146,2020-07-16,12288.0,Back Braces
147,2020-07-17,11912.0,Back Braces
148,2020-07-18,12773.0,Back Braces
149,2020-07-19,12773.0,Back Braces
150,2020-07-20,12773.0,Back Braces
151,2020-07-21,13034.0,Back Braces
152,2020-07-22,13441.0,Back Braces
153,2020-07-23,16914.0,Back Braces
154,2020-07-24,16564.0,Back Braces
155,2020-07-25,16564.0,Back Braces
156,2020-07-26,16564.0,Back Braces
157,2020-07-27,18423.0,Back Braces
158,2020-07-28,15188.0,Back Braces
159,2020-07-29,14097.0,Back Braces
160,2020-07-30,13587.0,Back Braces
161,2020-07-31,16241.0,Back Braces
162,2020-08-01,18404.0,Back Braces
163,2020-08-02,20186.0,Back Braces
164,2020-08-03,20122.0,Back Braces
165,2020-08-04,19305.0,Back Braces
166,2020-08-05,19305.0,Back Braces
167,2020-08-06,19305.0,Back Braces
168,2020-08-07,12552.0,Back Braces
169,2020-08-08,13653.0,Back Braces
170,2020-08-09,9676.0,Back Braces
171,2020-08-10,8936.0,Back Braces
172,2020-08-11,8690.0,Back Braces
173,2020-08-12,8690.0,Back Braces
174,2020-08-13,7601.0,Back Braces
175,2020-08-14,7135.0,Back Braces
176,2020-08-15,6912.0,Back Braces
177,2020-08-16,6664.0,Back Braces
178,2020-08-17,6771.0,Back Braces
179,2020-08-18,6485.0,Back Braces
180,2020-08-19,5902.0,Back Braces
181,2020-08-20,5221.0,Back Braces
182,2020-08-21,5585.0,Back Braces
183,2020-08-22,5585.0,Back Braces
184,2020-08-23,5585.0,Back Braces
185,2020-08-24,7007.0,Back Braces
186,2020-08-25,6287.0,Back Braces
187,2020-08-26,6287.0,Back Braces
188,2020-08-27,8058.0,Back Braces
189,2020-08-28,8534.0,Back Braces
190,2020-08-29,9621.0,Back Braces
191,2020-08-30,9621.0,Back Braces
192,2020-08-31,9621.0,Back Braces
193,2020-09-01,10230.0,Back Braces
