ds,yhat,yhat_lower,yhat_upper,file_name
2020-06-02,4951.5692279495415,4055.1596242347573,5843.701014819868,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-03,4920.197500003271,4005.4639798004696,5855.097353311215,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-04,4941.147161743262,3978.559177002471,5880.060309014132,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-05,5016.858805512748,4167.075707097785,5886.068797612006,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-06,5126.415822624405,4188.464922089431,5981.094712094346,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-07,5177.982402097554,4282.390151783223,6111.643472812467,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-08,5170.863313373478,4216.275426965115,6065.385840392965,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-09,4981.420324739927,4118.638474768278,5942.414281601849,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-10,4949.833944962536,4072.3040709005254,5782.113880817689,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-11,4970.88420702449,4095.596912531292,5820.24975084923,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-12,5047.025566324527,4130.0589092290675,5970.896634030392,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-13,5157.214901521395,4251.40525536848,6068.646032638765,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-14,5209.064610802654,4221.584635764137,6100.261015529595,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-15,5201.876192294986,4336.337051336562,6114.95605661113,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-16,5011.271419063387,4172.027051973815,5883.036810021152,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-17,4979.47038665691,4107.824438923607,5820.5701869937375,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-18,5000.621248211045,4109.805892708605,5919.684370369839,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-19,5077.192322151831,4196.868771194779,6041.269379044649,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-20,5188.013974480471,4315.909519899307,6089.3791980704,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-21,5240.146814371804,4402.15458200094,6120.409679548485,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-22,5232.889066945965,4299.691637306104,6091.973073954934,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-23,5041.122510098535,4125.008830067493,5902.827230540783,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-24,5009.106825902698,4088.4061335396314,5900.88350039494,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-25,5030.3582877997205,4157.092600596207,5978.5226876189245,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-26,5107.359077229952,4186.767248872981,6019.331833932005,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-27,5218.813047565066,4281.669206632347,6102.684268945936,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-28,5271.229018109559,4372.904631662027,6202.276896785097,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-29,5263.901941807142,4361.529368921427,6111.4498299699,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-06-30,5070.973601376336,4164.711314343554,6028.234744630454,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-01,5038.743265429575,4106.378515222632,5992.04704650928,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-02,5060.095327630494,4105.398417247793,5859.071853428381,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-03,5903.491518450725,4960.960041335109,6802.873800170977,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-04,5917.687649446751,5038.163614488088,6847.528823428004,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-05,5302.311221973534,4462.865599844643,6212.890983900107,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-06,5294.914816646837,4389.209722221591,6217.1642466062785,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-07,5100.82469249043,4182.534882737171,6013.102735141934,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-08,5068.379704652543,4118.081467664124,5982.593762696979,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-09,5089.832367054223,4241.2435967534275,5996.340488283944,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-10,5167.6925872792945,4274.159335983799,6105.633981506844,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-11,5280.411193436379,4432.004493622895,6200.733157284905,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-12,5333.393425093415,4414.170795856538,6175.121219572809,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-13,5325.927690849483,4431.984642895385,6228.900662014677,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-14,5130.675783093905,4214.680672465738,6087.057562489575,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-15,5098.016143469879,4220.269308421938,6034.869719068863,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-16,5119.569406173103,4256.085083355429,6044.788905464335,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-17,5197.859341896403,4323.270490097118,6083.902513304114,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-18,5311.2102660671135,4400.927463291437,6199.090917330658,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-19,5364.475628390088,4432.47266147987,6285.227014332615,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-20,5356.9405652873065,4391.491474662355,6244.444248405317,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-21,5160.526873980415,4258.546335795781,6003.813766464988,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-22,5127.652582624483,4172.707903662485,6049.230995729675,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-23,5149.306445686324,4291.0940566900335,6103.882264322501,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-24,5228.026096856988,4274.168614843451,6077.875799128713,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-25,5342.009338989962,4523.071832050837,6221.039410850797,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-26,5395.557831922396,4506.199739730281,6322.831929837587,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-27,5387.953439901555,4501.984099714829,6292.046866295518,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-28,5190.377964986986,4310.238300006897,6079.673597570826,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-29,5157.2890218473985,4279.454264786201,6041.898181136982,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-30,5179.043485218177,4279.516265362165,6054.83236292021,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-07-31,5258.192851842944,4347.9088961747475,6198.272568707981,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-01,5372.808411945116,4495.085541187355,6289.199090666621,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-02,5426.640035493621,4514.753234269911,6319.766189855422,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-03,5418.966314561111,4532.275770403179,6373.371793273869,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-04,5220.229056030333,4275.566755847922,6135.236003298847,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-05,5186.9254611015085,4283.830522711409,6082.374936363722,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-06,5208.780524775033,4285.498649210066,6100.555343147148,../data/all_df/B01N3P9W29_415_Health & Household.csv
2020-08-07,5288.359606847466,4407.172342602422,6169.65941243625,../data/all_df/B01N3P9W29_415_Health & Household.csv
